z_m,T_C,rho_kg_m3,u_m_s,residence_time_s,Y_H2,X_H2,Y_H,X_H,Y_O,X_O,Y_O2,X_O2,Y_OH,X_OH,Y_H2O,X_H2O,Y_HO2,X_HO2,Y_H2O2,X_H2O2,Y_C,X_C,Y_CH,X_CH,Y_CH2,X_CH2,Y_CH2(S),X_CH2(S),Y_CH3,X_CH3,Y_CH4,X_CH4,Y_CO,X_CO,Y_CO2,X_CO2,Y_HCO,X_HCO,Y_CH2O,X_CH2O,Y_CH2OH,X_CH2OH,Y_CH3O,X_CH3O,Y_CH3OH,X_CH3OH,Y_C2H,X_C2H,Y_C2H2,X_C2H2,Y_C2H3,X_C2H3,Y_C2H4,X_C2H4,Y_C2H5,X_C2H5,Y_C2H6,X_C2H6,Y_HCCO,X_HCCO,Y_CH2CO,X_CH2CO,Y_HCCOH,X_HCCOH,Y_N,X_N,Y_NH,X_NH,Y_NH2,X_NH2,Y_NH3,X_NH3,Y_NNH,X_NNH,Y_NO,X_NO,Y_NO2,X_NO2,Y_N2O,X_N2O,Y_HNO,X_HNO,Y_CN,X_CN,Y_HCN,X_HCN,Y_H2CN,X_H2CN,Y_HCNN,X_HCNN,Y_HCNO,X_HCNO,Y_HOCN,X_HOCN,Y_HNCO,X_HNCO,Y_NCO,X_NCO,Y_N2,X_N2,Y_AR,X_AR,Y_C3H7,X_C3H7,Y_C3H8,X_C3H8,Y_CH2CHO,X_CH2CHO,Y_CH3CHO,X_CH3CHO
0.0,1026.85,9.216097716258881,0.15020662953178354,0.00665749576511469,1.0632103703469642e-29,1.0298463163359908e-28,2.1264207406939285e-29,4.119385265343963e-28,1.3397287996871553e-30,1.6351884039780613e-30,0.2985939156207317,0.18222244249561506,1.2603234589401303e-30,1.4470983623065604e-30,0.20219455083153973,0.21916889819841062,1.0000000000000003e-30,5.916308998535131e-31,1.0000000000000003e-30,5.740980031917755e-31,1.7845575777366417e-30,2.9013167246528676e-30,1.6463876692675936e-30,2.469438537985608e-30,1.5280759297208814e-30,2.1272762011846875e-30,1.5280759297208814e-30,2.1272762011846875e-30,1.425628271778836e-30,1.8515976059171756e-30,0.483129521693603,0.5880601307161786,1.0000000000000003e-30,6.971570682101055e-31,0.0006239518565658042,0.0002768556077448928,1.0000000000000003e-30,6.729398814723638e-31,1.0000000000000003e-30,6.503486804957389e-31,1.0000000000000003e-30,6.29225026763068e-31,1.0000000000000003e-30,6.29225026763068e-31,1.0000000000000003e-30,6.094304188429265e-31,1.0000000000000003e-30,7.801585889159032e-31,1.0000000000000003e-30,7.4995658194043535e-31,1.0000000000000003e-30,7.220058226933763e-31,1.0000000000000003e-30,6.960636444202273e-31,1.0000000000000003e-30,6.719210474353126e-31,0.006069999784587541,0.003941839991373168,1.0000000000000003e-30,4.759406634469536e-31,1.0000000000000003e-30,4.645281414126854e-31,1.0000000000000003e-30,4.645281414126854e-31,1.53025780439743e-30,2.1333554327826702e-30,1.427527210535784e-30,1.8565335520274807e-30,1.337722091131174e-30,1.6302935490128284e-30,1.2585474174267397e-30,1.4430227484529904e-30,1.0000000000000003e-30,6.72847132539627e-31,1.0000000000000003e-30,6.507821595869177e-31,1.0000000000000003e-30,4.244618950236942e-31,1.0000000000000003e-30,4.436727666954094e-31,1.0000000000000003e-30,6.296307951430016e-31,1.0000000000000003e-30,7.505330725099952e-31,1.0000000000000003e-30,7.225401273057448e-31,1.0000000000000003e-30,6.965602297412091e-31,1.0000000000000003e-30,4.758942675545306e-31,1.0000000000000003e-30,4.538609989672296e-31,1.0000000000000003e-30,4.538609989672296e-31,1.0000000000000003e-30,4.538609989672296e-31,1.0000000000000003e-30,4.647492557908717e-31,0.008545574680571263,0.005956757128981106,1.0000000000000003e-30,4.887952310529426e-31,1.0000000000000003e-30,4.531868801913494e-31,0.0008424855324010342,0.0003730758616963864,1.0000000000000003e-30,4.536501215138821e-31,1.0000000000000003e-30,4.432699130720963e-31
0.001,1428.1787528786008,5.550421070491089,0.24940792019448224,0.010666991531007867,0.03741403712106002,0.28563507649009995,7.373657734953161e-07,1.125874379351389e-05,1.1105083376691267e-11,1.0683079951638796e-11,1.1398884595171049e-11,5.482858226229669e-12,7.038435450222069e-07,6.36965505200143e-07,0.3664254568614889,0.31305371724275416,9.832670447341758e-14,4.585071174972614e-14,9.024291507218216e-12,4.083409189173747e-12,1.4088725792931942e-14,1.8053443165795112e-14,1.1725914712361465e-12,1.3862341627718084e-12,1.0597797984405748e-08,1.1628356376474705e-08,2.0634634449936296e-10,2.264120182656944e-10,0.00015800940682222353,0.00016175101096677685,0.21106530709303314,0.20248775435277083,0.16775591462819672,0.09217904954917386,0.07883208007080515,0.027569505671640324,8.07720710476702e-08,4.2841161392272196e-08,1.0741783993083753e-05,5.50612958423334e-06,1.9540819286248896e-08,9.691087305377467e-09,3.3518624083013676e-10,1.662324939329444e-10,1.5249455390789057e-05,7.324908621835211e-06,1.5474474563775957e-08,9.515301533278121e-09,0.07283282266097789,0.04305137356888357,1.2497108177841585e-05,7.111709021224921e-06,0.0548511910122124,0.030092534208645667,1.3526814693236107e-05,7.16370239761787e-06,0.0019171141340216906,0.0009812553428087784,2.3347811193781075e-08,8.75835882654856e-09,8.619079523536652e-05,3.155706951242773e-05,2.7870931508574735e-05,1.0204395035344926e-05,7.685333691885775e-16,8.444716879409161e-16,4.2088592786626917e-16,4.314262464275327e-16,5.607690886801131e-14,5.386513179011683e-14,6.039387673505027e-10,5.457833124117568e-10,9.574706140664323e-12,5.077683294270417e-12,4.331507589843332e-13,2.2217667768700256e-13,8.94869295729011e-20,2.993795046689965e-20,1.0706690878304595e-13,3.74405125648444e-14,2.782956304935175e-16,1.3810712942032163e-16,3.2755736700587096e-16,1.9376750874467028e-16,9.982628668050308e-10,5.685002207451408e-10,2.8494965288416127e-15,1.5644099040393703e-15,4.113851240483256e-15,1.5430599756070313e-15,8.641548899550061e-16,3.091279019115066e-16,1.3706244599114949e-13,4.903036116859709e-14,1.4895652423335304e-11,5.328514407259145e-12,1.550258877698835e-16,5.678670630611547e-17,0.00854557365202712,0.004694978315626023,1.0000000000000003e-30,3.852571520201188e-31,2.4727385956310336e-07,8.832411323138026e-08,3.370035100735332e-05,1.1762316823917557e-05,7.3627022849310545e-09,2.6325826891139297e-09,8.683387390210427e-07,3.033759720763699e-07
0.002,1427.911837202229,5.504539199483459,0.25148680484003405,0.014643343294815439,0.039133083809524793,0.296242890142377,7.549067064679951e-07,1.1429497639412209e-05,1.0823998290641444e-11,1.0324981148679178e-11,1.0221932589483288e-11,4.875336195347356e-12,6.659730872865503e-07,5.976175713764505e-07,0.3541885798292767,0.30005072355126683,8.790481538391609e-14,4.064565828313805e-14,8.031371416074255e-12,3.6035154964387954e-12,1.272694987455698e-14,1.6171099803106035e-14,1.0787915805866316e-12,1.2646033039784414e-12,9.689539051823947e-09,1.0542235442620109e-08,1.960516801184996e-10,2.1330457100964057e-10,0.0001565657335203242,0.00015892333692521683,0.21365141649399488,0.20324252595163314,0.18208968880009346,0.09921255536074546,0.08252721232751431,0.028618710788350654,8.877902689342067e-08,4.669144287337893e-08,1.0053712382757583e-05,5.110029028986246e-06,1.8111852815543408e-08,8.906755184842633e-09,3.0857581214578006e-10,1.51746441556095e-10,1.393837151240982e-05,6.638757586220408e-06,1.3713821404984975e-08,8.361650876793236e-09,0.06600425592692576,0.03868643472191336,1.1515617596336276e-05,6.497983163709135e-06,0.05164617163438632,0.028095562552956484,1.2952450270897234e-05,6.801752515532879e-06,0.0018745961440447562,0.0009514121254382387,2.0313154742959075e-08,7.55580664501446e-09,7.65976148164487e-05,2.780852297750248e-05,2.333037419363468e-05,8.470018921504329e-06,6.848810281320479e-16,7.462157275004549e-16,3.9768468042492647e-16,4.04210802401266e-16,6.180324138889128e-14,5.886563201237984e-14,6.804737843345788e-10,6.097694194241085e-10,9.717534374273914e-12,5.110026338050134e-12,3.8461846965372527e-13,1.9562142644429122e-13,7.411499782722483e-20,2.4586429043281185e-20,1.0028463885995319e-13,3.477345425263581e-14,2.438194596058983e-16,1.199789267231631e-16,3.3886594382871556e-16,1.9876888690084984e-16,1.0559552448498708e-09,5.962908291225632e-10,3.0630297602039928e-15,1.6674796335778852e-15,3.75823284883411e-15,1.3977992552949714e-15,6.589890891155321e-16,2.3375006258954034e-16,1.3465452591772364e-13,4.7763315631641033e-14,1.677269469809243e-11,5.9494436254421884e-12,1.6742510796106707e-16,6.081209114560167e-17,0.008545573558454887,0.004655437315312509,9.999999999999947e-31,3.820125292538689e-31,2.2897349623979889e-07,8.10985690084513e-08,3.1849614604830475e-05,1.1022739089882419e-05,6.64875601807495e-09,2.3572849043820524e-09,8.085789512919497e-07,2.8011820413740234e-07
0.003,1426.8547511227925,5.467077098353968,0.2532100701143589,0.01859263330349623,0.04058189471103482,0.3049302053034025,7.636658539189934e-07,1.1476289477208536e-05,1.0430705848766701e-11,9.87596436056838e-12,9.136942269500895e-12,4.325503831019782e-12,6.298472741033669e-07,5.610043084387172e-07,0.3442208592505369,0.28944201442490025,7.818793622131655e-14,3.58843851110962e-14,7.1990239084731095e-12,3.2060815337782524e-12,1.1407037565404772e-14,1.438640754249495e-14,9.852345082769364e-13,1.1463589921332309e-12,8.863213098675343e-09,9.57161118179988e-09,1.8510509580805784e-10,1.9989974122469684e-10,0.0001542373221036044,0.00015539773987087294,0.2157500714337631,0.20371547403658072,0.1956388549235515,0.10580365179997046,0.08406513906573543,0.028935639800528146,9.584312835346434e-08,5.003249476561714e-08,9.502557335033869e-06,4.7940402123898e-06,1.681665166759695e-08,8.208436197973455e-09,2.844645159409581e-10,1.3885099577747414e-10,1.2874575223969074e-05,6.086560555448865e-06,1.213802923981628e-08,7.34591643979499e-09,0.06018090278437178,0.03501142036844313,1.0616100320568653e-05,5.9459413952650515e-06,0.04885898369371303,0.02638203490357329,1.2391024935007539e-05,6.458629719523522e-06,0.0018363609404596127,0.0009250884800207048,1.7872613490998374e-08,6.598660516691392e-09,6.908384535681896e-05,2.4894501994012452e-05,1.9844078611861807e-05,7.150853459600773e-06,6.103544383969654e-16,6.60078568958683e-16,3.7457837931904354e-16,3.778992447038555e-16,6.657373693158935e-14,6.293869836621388e-14,7.522864467975088e-10,6.691165052688498e-10,9.747826903850994e-12,5.087906538859073e-12,3.4143843076839197e-13,1.723705038108645e-13,6.17064320634604e-20,2.0318144978541137e-20,9.391715378063003e-14,3.2323814434735416e-14,2.1539395839913283e-16,1.0520451757314691e-16,3.4403254763843747e-16,2.0030153445730269e-16,1.1028842415983293e-09,6.181684177332324e-10,3.2277122929456647e-15,1.7440880299587113e-15,3.4262654025434134e-15,1.2648714349399674e-15,5.130941279320469e-16,1.8064869126544794e-16,1.3194812632060042e-13,4.6455913324935375e-14,1.863420919804785e-11,6.56067828716164e-12,1.7843903866587703e-16,6.43314719247895e-17,0.008545573474456825,0.0046208805532451,9.999999999999966e-31,3.7917689903594376e-31,2.126696378588875e-07,7.476489548161001e-08,3.028382208503529e-05,1.0403040653081614e-05,6.058843075463133e-09,2.1321887442798416e-09,7.602395531652096e-07,2.6141687939372085e-07
0.004,1425.446954341894,5.435629342408766,0.25467501335942117,0.022519206180862516,0.041852199724480725,0.31240736035590094,7.676080615079857e-07,1.1459680010240857e-05,1.000058703407455e-11,9.406458664448712e-12,8.202817624639742e-12,3.857746783027993e-12,5.965820447818572e-07,5.27880917175844e-07,0.33566985518470477,0.2803958429921764,6.982671577717576e-14,3.1836272737163236e-14,6.4985238448587335e-12,2.87508378564048e-12,1.0224090768376406e-14,1.2809701965915931e-14,8.995017879844467e-13,1.039723595375644e-12,8.138134935161654e-09,8.730790865875463e-09,1.7458483955259433e-10,1.8729890013255797e-10,0.00015154932992241419,0.00015168550577430464,0.21748874429633966,0.20400682565264608,0.20781558793616142,0.11164994343034187,0.08494946600541858,0.029047760077585468,1.0190543610185742e-07,5.28473690720253e-08,9.048190963733095e-06,4.5347961951951725e-06,1.5664028470998195e-08,7.595549598577877e-09,2.6309412423653296e-10,1.2757538544014477e-10,1.1983842743681892e-05,5.6282059544046615e-06,1.077559717298263e-08,6.478493002687575e-09,0.05517891120100285,0.03189032901834102,9.810838593227715e-06,5.458792460896109e-06,0.04639302090175946,0.024885785647237188,1.1860375830404585e-05,6.141386763964186e-06,0.001800959345547425,0.0009012888059227192,1.5880509465796673e-08,5.824611923712452e-09,6.29796223291585e-05,2.2545601850334007e-05,1.7095628443715312e-05,6.1199355921637924e-06,5.461033495835412e-16,5.867096179121353e-16,3.536912892379356e-16,3.544806419444966e-16,7.057394422252973e-14,6.628176325028662e-14,8.193084753604666e-10,7.239370345722312e-10,9.721091523980292e-12,5.040587872808537e-12,3.054430688441433e-13,1.5318479705652162e-13,5.2016001987556013e-20,1.7014744410958568e-20,8.813304173755057e-14,3.013361833815509e-14,1.92327399015702e-16,9.332046019360172e-17,3.4517457892678083e-16,1.9964497809433187e-16,1.140709929366285e-09,6.351655654580665e-10,3.3553261558728832e-15,1.801122158833865e-15,3.1312456804509367e-15,1.1483581840528087e-15,4.0875710875353606e-16,1.4296770167200506e-16,1.2896592043353403e-13,4.510737756860487e-14,2.0392666132156657e-11,7.132579581966115e-12,1.8771549188760244e-16,6.723084519945232e-17,0.008545573399202455,0.004590495652251249,9.999999999999978e-31,3.766835999611514e-31,1.981849884558864e-07,6.921461961631545e-08,2.8911733279780583e-05,9.866396855321878e-06,5.563334584976238e-09,1.94493890406148e-09,7.196870469049936e-07,2.458451772083551e-07
0.005,1423.8361248508654,5.4088773486952535,0.25593462120725363,0.02642645403690857,0.04298168860764597,0.3189566719507058,7.682498748952692e-07,1.140199146478166e-05,9.561223571602415e-12,8.940450038092659e-12,7.403544384353978e-12,3.461430337729511e-12,5.661822182176535e-07,4.980434803717057e-07,0.3282043259277861,0.27255162770822017,6.269418869784358e-14,2.8416666921939198e-14,5.904344665738248e-12,2.5968851299282155e-12,9.181684235396337e-15,1.1436204994212724e-14,8.224025990056142e-13,9.450299938857593e-13,7.50329543937443e-09,8.002505760655025e-09,1.6470509464363605e-10,1.7566327746849565e-10,0.00014868903290738388,0.00014794975481988816,0.21894431659151684,0.20416760680101903,0.2187150320294081,0.11681652132711359,0.0855103820537011,0.029068062943642514,1.070808284078766e-07,5.520558183532014e-08,8.667152300034895e-06,4.318348553621406e-06,1.4638750441399888e-08,7.056754303168606e-09,2.4417623448540144e-10,1.177075666624716e-10,1.122490972497123e-05,5.240853095435782e-06,9.603401518464455e-09,5.739882246726764e-09,0.050847360696371795,0.02921457265948597,9.092314594331958e-06,5.0293302646537484e-06,0.04419148014554195,0.023565816999607293,1.1363527800583628e-05,5.8496034493644545e-06,0.0017679309585553586,0.0008795704254115364,1.4233792745888162e-08,5.190013067665128e-09,5.792587381209318e-05,2.0614823679141226e-05,1.4888857304687722e-05,5.298688615655433e-06,4.908410345461004e-16,5.24245220368553e-16,3.349897752162573e-16,3.3376820287714353e-16,7.391514762285425e-14,6.901259554195463e-14,8.817514997992703e-10,7.745416985276041e-10,9.657770689365517e-12,4.978382910439776e-12,2.7540274410051585e-13,1.373089682293733e-13,4.437739822361959e-20,1.443097077183551e-20,8.290996283297906e-14,2.818152522887828e-14,1.733851148048627e-16,8.36359074319731e-17,3.434600966313829e-16,1.9748818746027088e-16,1.1710510115678238e-09,6.482354634896915e-10,3.4530381142023036e-15,1.8427017510183802e-15,2.8709661355539765e-15,1.0467272850311084e-15,3.3226346470840813e-16,1.1553151166395895e-16,1.2584212935782035e-13,4.375663586268666e-14,2.2034180849056467e-11,7.66151711564973e-12,1.9537774258908953e-16,6.95646800797075e-17,0.008545573331663982,0.004563571155554079,9.99999999999999e-31,3.744742518808287e-31,1.852834034389291e-07,6.432930358919065e-08,2.7692392260149382e-05,9.394857032965407e-06,5.142560622973042e-09,1.7872917610520066e-09,6.85161273417076e-07,2.3267839757698682e-07
0.006,1422.10034995159,5.3858972647244805,0.2570266210723256,0.030317101611965033,0.04399474713481939,0.3247547608025885,7.664951416639407e-07,1.1316030326284593e-05,9.126883829210009e-12,8.489359255428214e-12,6.717021978961267e-12,3.123914677401197e-12,5.384436548632537e-07,4.7114846453649497e-07,0.32161872710433675,0.2656759796138308,5.6591534075088555e-14,2.551548335563446e-14,5.396190610543376e-12,2.3608848368260997e-12,8.26748938063558e-15,1.0243295631953126e-14,7.53476921183079e-13,8.612665013580481e-13,6.945455190431828e-09,7.368534903850953e-09,1.55507305012937e-10,1.6497997228031638e-10,0.0001457567105079877,0.0001442681139784621,0.2201723399940737,0.20423134756612119,0.228505784612198,0.12140297188003096,0.08586672950660566,0.02903545591619516,1.1149536590174079e-07,5.717873843385554e-08,8.343308673361801e-06,4.1351004061157305e-06,1.3724141427987912e-08,6.581011615649113e-09,2.2738512518731427e-10,1.0903590275103517e-10,1.0569668395329474e-05,4.908931529261219e-06,8.593738005731265e-09,5.10935981622976e-09,0.04706730050765015,0.02690028592577288,8.450556727020743e-06,4.649727548037252e-06,0.04221211707472339,0.02239172592021311,1.09000094034589e-05,5.581444395291219e-06,0.0017369957357255908,0.0008596279989730878,1.2856834640487608e-08,4.663246301822835e-09,5.36812548148516e-05,1.9003612780496895e-05,1.3089800181873327e-05,4.633898646526752e-06,4.431584204680651e-16,4.708245558811067e-16,3.181911534063591e-16,3.153610062355142e-16,7.669016804743794e-14,7.1226414875991e-14,9.399150181001112e-10,8.212845788890785e-10,9.569566207009046e-12,4.906933156811785e-12,2.500795586906353e-13,1.2402673688400125e-13,3.826923107580735e-20,1.2379124464350084e-20,7.819476791162339e-14,2.6438812898768043e-14,1.5760300117571683e-16,7.562265645562112e-17,3.3970513831370286e-16,1.9430028379165197e-16,1.1952632939427012e-09,6.581532626742161e-10,3.526410017596844e-15,1.8719444886098226e-15,2.641229335638571e-15,9.578953617193435e-16,2.747889698797287e-16,9.504376795176502e-17,1.226796040891956e-13,4.243231389007827e-14,2.3559964660263484e-11,8.148899918005973e-12,2.0161722463059798e-16,7.14081562453693e-17,0.008545573270881249,0.004539534345034587,9.999999999999997e-31,3.7250185915618545e-31,1.737486836419934e-07,6.00067818217914e-08,2.659862855576179e-05,8.976260099136939e-06,4.781827526552479e-09,1.6531658443491848e-09,6.554630897729584e-07,2.2142057796222637e-07
0.007,1420.2896593894943,5.36599332154578,0.25798000341081934,0.034193371038970015,0.044909877074504556,0.32993205602328163,7.629783893616289e-07,1.1210497338293647e-05,8.705692559849291e-12,8.059046516458378e-12,6.123961751223799e-12,2.834541438193108e-12,5.131182383894266e-07,4.4685118578702677e-07,0.3157612162980856,0.2595958196886436,5.134213575585908e-14,2.303850057214841e-14,4.958134171770492e-12,2.1589060456133617e-12,7.466401888207753e-15,9.206729225872962e-15,6.919670499120386e-13,7.871925269769475e-13,6.452928485820172e-09,6.8134210818709776e-09,1.4698042757190773e-10,1.5519148337711088e-10,0.00014281477595152087,0.00014068340959624576,0.22121497189304593,0.2042218039688356,0.2373424471797597,0.12549761776777754,0.08608268685358804,0.02896993284256037,1.152616523010054e-07,5.8828874478087944e-08,8.064932028204375e-06,3.978106503670016e-06,1.2905244794200484e-08,6.1588789168240895e-09,2.1242745571215086e-10,1.0137854796277057e-10,9.997656940810054e-06,4.621168337765537e-06,7.721469214490284e-09,4.568906488838839e-09,0.043744972427452504,0.024882482043097738,7.876029371316569e-06,4.312980138504985e-06,0.04042158636582649,0.021339868349136523,1.0468161751452692e-05,5.334799490871853e-06,0.0017079311593939002,0.0008412210055238482,1.1693214515803375e-08,4.221007850188204e-09,5.00720958509939e-05,1.7641569908853002e-05,1.1603517941714446e-05,4.0881906275014105e-06,4.018301787723909e-16,4.24884215008425e-16,3.030225275241052e-16,2.988978249047293e-16,7.898047685940324e-14,7.300440970390733e-14,9.94124718680407e-10,8.645177181124039e-10,9.464401999409836e-12,4.8299097494966685e-12,2.285074423688462e-13,1.1278865540661326e-13,3.33167814145239e-20,1.0725836669189352e-20,7.393117750657833e-14,2.4878249921537954e-14,1.4427659205673582e-16,6.889873808320689e-17,3.345118076101225e-16,1.904191918363849e-16,1.2144513019467914e-09,6.655359310972439e-10,3.579966056434184e-15,1.8913287083746576e-15,2.437934061419439e-15,8.799578293883037e-16,2.3065377752593777e-16,7.939860415619456e-17,1.1954570017495874e-13,4.11515554983672e-14,2.497544468069084e-11,8.597368172754555e-12,2.0662350092471442e-16,7.283294146113154e-17,0.00854557321600492,0.0045179274224397105,9.999999999999987e-31,3.707288561522802e-31,1.6339426158250875e-07,5.6162128607029257e-08,2.5610052529528372e-05,8.601508037663817e-06,4.469835911921414e-09,1.5379493863366183e-09,6.296912675903305e-07,2.1170219277564692e-07
0.008,1418.4380780015194,5.348627728281841,0.258817596909012,0.03805709596317427,0.04574175259006709,0.3345897099515386,7.581657623745493e-07,1.1091593485780581e-05,8.302180456411073e-12,7.652258602326884e-12,5.608545980960394e-12,2.584745324115912e-12,4.899584590142937e-07,4.248365330291918e-07,0.31051373933678844,0.2541773587284511,4.6800279203110996e-14,2.0909606331408084e-14,4.577656169839876e-12,1.984612716460649e-12,6.7637077523282796e-15,8.3041650981113e-15,6.370640293686076e-13,7.215987377133395e-13,6.015902441967132e-09,6.324501435885651e-09,1.390916716447542e-10,1.4622668594162512e-10,0.0001399034195518618,0.00013721930172895983,0.22210487285191302,0.20415631164314982,0.2453561800005939,0.12917372996704124,0.08619953404677755,0.0288837598568441,1.1847611738800938e-07,6.020792287840154e-08,7.823261948967818e-06,3.8422064748635575e-06,1.2169168564383756e-08,5.7824709384713585e-09,1.990504687508902e-10,9.458358184057338e-11,9.493521206613126e-06,4.3691606786056306e-06,6.965063138195444e-09,4.103500736650569e-09,0.040805913427922065,0.023110310944734806,7.360202413943922e-06,4.013072650853542e-06,0.03879302735847869,0.020391500659942906,1.00658693371518e-05,5.107590821553721e-06,0.0016805487106997924,0.0008241532670981109,1.070031429411244e-08,3.8458815996182955e-09,4.696982098517403e-05,1.64769755750854e-05,1.0361147253538703e-05,3.6346821564490966e-06,3.658348643784385e-16,3.851503268755552e-16,2.8925234519437315e-16,2.840807853706993e-16,8.08570105320763e-14,7.441562873210884e-14,1.0447046679778505e-09,9.045731527487081e-10,9.347901271143682e-12,4.749819288742221e-12,2.0995184703549352e-13,1.0318151550892302e-13,2.9250508188623677e-20,9.37602352646398e-21,7.006643745274045e-14,2.3475744386940304e-14,1.328890101565962e-16,6.318610599117922e-17,3.283277922549267e-16,1.860904322761887e-16,1.2295094355715807e-09,6.70873135386473e-10,3.617396457605772e-15,1.9028359488922156e-15,2.25743909837043e-15,8.112843159689213e-16,1.9610971037821857e-16,6.721535968490966e-17,1.1648239151239349e-13,3.992360106679139e-14,2.6287558966789035e-11,9.009894144370963e-12,2.1056962391581083e-16,7.390281622909265e-17,0.008545573166297496,0.00449838249278195,9.999999999999989e-31,3.6912505444463474e-31,1.5406165132132057e-07,5.272522491821401e-08,2.471074128271624e-05,8.26355718456878e-06,4.197794746362213e-09,1.4380990361533114e-09,6.071485929005047e-07,2.0324029256905954e-07
0.009000000000000001,1416.5692268174053,5.333378314924548,0.25955761876502065,0.041909805063982085,0.04650221606275383,0.3388077836187736,7.524051726915295e-07,1.0963809922473682e-05,7.918637615904155e-12,7.26989079878141e-12,5.157954073107249e-12,2.367690294433177e-12,4.6873326288862265e-07,4.0482592701913215e-07,0.3057825960984709,0.2493151984234917,4.284758221832592e-14,1.9067935869873973e-14,4.2448620860722755e-12,1.8330576951937997e-12,6.146058434285033e-15,7.516017371874103e-15,5.87994245706848e-13,6.633850897834899e-13,5.626228794117701e-09,5.891458858004019e-09,1.3179878860445582e-10,1.3801200928937486e-10,0.0001370484265608898,0.00013388776087575638,0.22286771463882243,0.20404776085074325,0.2526568320104197,0.13249155421039507,0.08624551573745204,0.02878493680574721,1.212202585979226e-07,6.13589595730639e-08,7.611626827272835e-06,3.723490627548446e-06,1.1504935228344249e-08,5.445235651840216e-09,1.870393331870089e-10,8.852490041466292e-11,9.045497986986307e-06,4.1465138695915266e-06,6.306442148793786e-09,3.7007847319403195e-09,0.03819044885292985,0.021543556358035957,6.895627159336607e-06,3.744906551211596e-06,0.03730453303083356,0.01953156631294384,9.69088464486093e-06,4.897880475611553e-06,0.0016546859815757507,0.0008082624754807034,9.84555859754152e-09,3.524679936655826e-09,4.427740896124992e-05,1.5471083895503745e-05,9.311778149008418e-06,3.253652468366139e-06,3.343303960021062e-16,3.5059118411875646e-16,2.766886855809293e-16,2.706676303898186e-16,8.23808240799191e-14,7.551836112624698e-14,1.0919636232717992e-09,9.417557469359968e-10,9.224115285156934e-12,4.668395498440315e-12,1.9385074586994835e-13,9.489200620530079e-14,2.5873784487313937e-20,8.260858411101454e-21,6.65531981781329e-14,2.2210493862810068e-14,1.2305527108343482e-16,5.82790811739339e-17,3.2148568324343767e-16,1.8149220832878031e-16,1.241161905959607e-09,6.745543113236779e-10,3.641704085320645e-15,1.908050397093714e-15,2.0966050902532315e-15,7.505050567912714e-16,1.6861667780103442e-16,5.756385975671647e-17,1.1351472169808049e-13,3.875266435898737e-14,2.7503738831047913e-11,9.38947075403763e-12,2.1360888094699206e-16,7.46731584905985e-17,0.00854557312112363,0.0044806015775623285,1.0000000000000003e-30,3.6766600275969254e-31,1.4561684351244198e-07,4.963813486989006e-08,2.388800287601904e-05,7.956847879151676e-06,3.958801325055564e-09,1.3508628301352765e-09,5.872878355076187e-07,1.9581491724676174e-07
