cell,z,T,p,u,dz,dt_try,used_fallback,substeps,halvings,dt_min,dt_effective,X_H2,X_CO,X_CO2,X_CH4,X_H2O,X_O2,X_N2,X_O,X_OH,X_H,X_HO2,X_H2O2,H2_CO
0,0.0,2070.9417315820965,5100000.0,0.1733111301786072,0.001,0.005769969874233939,1,16,16,1e-08,0.005769969874233939,0.4418841150019653,0.26272784320741205,0.031550904802203655,0.00023342395639842803,0.2564859476211985,1.5631018381363044e-09,0.006720091409971097,6.288781214104429e-09,1.595157266065136e-05,0.00024284504417040233,1.2781028945001549e-11,1.683744475954593e-10,1.681908204350908
1,0.001,2069.6871286375604,5100000.0,0.19548294111065184,0.001,0.005115535884197469,0,52,0,1e-08,0.005115535884197469,0.4423456043861541,0.2628526695404426,0.03152179008401942,1.3178705700561532e-05,0.2561584451880151,1.5348727800827671e-09,0.006717105808632001,6.1914214448436706e-09,1.579738681081624e-05,0.00024157577659666895,1.2571298817427675e-11,1.6638335116305653e-10,1.6828651775138035
2,0.002,2069.6021966337516,5100000.0,0.19545218036333817,0.001,0.005116340979880798,0,52,0,1e-08,0.005116340979880798,0.44235948178495293,0.26285523156736734,0.03152184701627982,6.9579696040429645e-06,0.25614847511542105,1.5330729359731314e-09,0.00671705004604788,6.184655141333126e-09,1.578711715029549e-05,0.0002414709373266387,1.2557257193070338e-11,1.6625202970826843e-10,1.6829015696101157
3,0.003,2069.550277128229,5100000.0,0.19544661419417028,0.001,0.005116486689334666,0,52,0,1e-08,0.005116486689334666,0.44236084253582075,0.26285444251895757,0.031522713287962294,6.784872018186983e-06,0.2561473292020945,1.5319335759774744e-09,0.006717076149211523,6.180072833474871e-09,1.5780427204314724e-05,0.0002413919873450997,1.2547809515928407e-11,1.6616321377975182e-10,1.6829117982433066
4,0.004,2069.4992873447995,5100000.0,0.19544178191363132,0.001,0.0051166131940094325,0,52,0,1e-08,0.0051166131940094325,0.44236185077481094,0.26285355908752916,0.03152360243154129,6.7821266980181755e-06,0.25614643168466217,1.5308134535369493e-09,0.006717104502580516,6.175554568621417e-09,1.5773839852991554e-05,0.00024131377917170234,1.2538496371741383e-11,1.6607562390499633e-10,1.6829212901298638
5,0.005,2069.448323627836,5100000.0,0.19543697029033957,0.001,0.005116739164112134,0,52,0,1e-08,0.005116739164112134,0.44236284901888295,0.2628526729185654,0.031524492307746434,6.784190219868768e-06,0.2561455411300554,1.5296946123116983e-09,0.006717132864477016,6.171041088664192e-09,1.5767257729714926e-05,0.00024123561256112757,1.2529193263166026e-11,1.6598810903905673e-10,1.6829307615826747
6,0.006,2069.397360474374,5100000.0,0.1954321592139836,0.001,0.00511686512609767,0,52,0,1e-08,0.00511686512609767,0.44236384693455966,0.26285178659829894,0.031525382291789375,6.7863907109365215e-06,0.2561446507246916,1.5285765454736516e-09,0.006717161171785434,6.166530720740946e-09,1.5760678087221913e-05,0.00024115746775628245,1.2519896675658001e-11,1.6590063670245087e-10,1.6829402328187273
7,0.007,2069.346397161998,5100000.0,0.19542734811696688,0.001,0.005116991094826101,0,52,0,1e-08,0.005116991094826101,0.44236484479583116,0.26285090019992036,0.031526272365964184,6.7885958939247625e-06,0.2561437602755626,1.5274592382103051e-09,0.0067171894228647095,6.1620234156226625e-09,1.575410084698143e-05,0.00024107934419302448,1.2510606505722781e-11,1.6581320595819067e-10,1.6829497044117987
8,0.008,2069.295433669938,5100000.0,0.1954225369832436,0.0010000000000000009,0.005117117070718129,0,52,0,1e-08,0.005117117070718129,0.44236584261075446,0.26285001372547806,0.03152716252975203,6.790802022398033e-06,0.2561428697771033,1.52634268963131e-09,0.006717217617813986,6.15751917002409e-09,1.5747526005999937e-05,0.0002410012418505753,1.2501322746388184e-11,1.657258167619942e-10,1.6829591763794378
9,0.009000000000000001,2069.2444699972934,5100000.0,0.19541772581238778,0.0009999999999999992,0.005117243053785491,0,52,0,1e-08,0.005117243053785491,0.4423668403798582,0.26284912717500347,0.03152805278312146,6.79300898776175e-06,0.2561419792290538,1.5252268992408796e-09,0.006717245756781083,6.15301798196231e-09,1.574095356342373e-05,0.00024092316072354223,1.249204539341843e-11,1.6563846909488912e-10,1.6829686487234665
10,0.01,2069.1935061437375,5100000.0,0.19541291460441712,0.0009999999999999992,0.005117369044028348,0,52,0,1e-08,0.005117369044028348,0.44236783810344943,0.2628482405484688,0.031528943126055024,6.7952167891693435e-06,0.25614108863131363,1.5241118665546872e-09,0.006717273839914862,6.148519849492213e-09,1.5734383518460146e-05,0.00024084510080696968,1.2482774442657194e-11,1.6555116293861533e-10,1.6829781214452433
11,0.011,2069.1425421089407,5100000.0,0.19540810335936049,0.0010000000000000009,0.005117495041446543,0,52,0,1e-08,0.005117495041446543,0.4423688357818341,0.26284735384584806,0.03152983355853547,6.797425424020085e-06,0.2561401979837806,1.5229975910887287e-09,0.00671730186736356,6.144024770669897e-09,1.57278158703167e-05,0.00024076706209590553,1.2473509889951307e-11,1.654638982749319e-10,1.6829875945461104
12,0.012,2069.091577892607,5100000.0,0.19540329207724624,0.0010000000000000009,0.005117621046039919,0,52,0,1e-08,0.005117621046039919,0.4423698334153072,0.2628464670671117,0.03153072408054611,6.799634895879311e-06,0.2561393072863596,1.5218840723600613e-09,0.00671732983927499,6.1395327435552545e-09,1.5721250618205206e-05,0.00024068904458542255,1.2464251731154957e-11,1.6537667508564305e-10,1.6829970680273914
13,0.013000000000000001,2069.0406134944215,5100000.0,0.19539848075810454,0.0009999999999999992,0.005117747057808289,0,52,0,1e-08,0.005117747057808289,0.4423708310041718,0.26284558021223065,0.031531614692070095,6.8018452037344585e-06,0.2561384165389509,1.520771309885628e-09,0.006717357755796425,6.135043766208171e-09,1.5714687761335763e-05,0.00024061104827058474,1.2454999962122948e-11,1.6528949335255148e-10,1.683006541890437
14,0.014,2068.9896489140842,5100000.0,0.19539366940196454,0.0009999999999999992,0.005117873076751507,0,52,0,1e-08,0.005117873076751507,0.4423718285487276,0.2628446932811797,0.03153250539308975,6.804056347816407e-06,0.2561375257414547,1.519659303182988e-09,0.006717385617074623,6.13055783669066e-09,1.5708127298920638e-05,0.0002405330731464762,1.2445754578714699e-11,1.652023530574802e-10,1.6830160161365617
15,0.015,2068.9386841512796,5100000.0,0.19538885800885689,0.0010000000000000009,0.005117999102869373,0,52,0,1e-08,0.005117999102869373,0.44237282604927064,0.26284380627392784,0.031533396183589184,6.806268328503635e-06,0.25613663489377625,1.5185480517695948e-09,0.006717413423255791,6.126074953064467e-09,1.570156923016933e-05,0.00024045511920815663,1.2436515576788715e-11,1.6511525418222676e-10,1.6830254907671025
16,0.016,2068.887719205708,5100000.0,0.19538404657880948,0.0010000000000000009,0.005118125136161739,0,52,0,1e-08,0.005118125136161739,0.44237382350609605,0.2628429191904491,0.03153428706355195,6.808481147335993e-06,0.25613574399581834,1.5174375551636515e-09,0.006717441174485745,6.121595113394183e-09,1.56950135542952e-05,0.00024037718645070815,1.2427282952210465e-11,1.6502819670864392e-10,1.6830349657833603
17,0.017,2068.83675407705,5100000.0,0.19537923511185123,0.0010000000000000009,0.005118251176628459,0,52,0,1e-08,0.005118251176628459,0.4423748209195027,0.26284203203071693,0.031535178032961214,6.8106948028711084e-06,0.25613485304748057,1.516327812883203e-09,0.006717468870909658,6.117118315743872e-09,1.5688460270508243e-05,0.00024029927486919118,1.241805670084286e-11,1.649411806185392e-10,1.6830444411866543
18,0.018000000000000002,2068.785788765009,5100000.0,0.1953744236080106,0.0009999999999999974,0.00511837722426937,0,52,0,1e-08,0.00511837722426937,0.44237581828978423,0.262841144794702,0.03153606909180069,6.812909296331342e-06,0.2561339620486686,1.5152188244471233e-09,0.006717496512672262,6.112644558180673e-09,1.5681909378022474e-05,0.0002402213844586951,1.2408836818557651e-11,1.648542058937858e-10,1.683053916978302
19,0.019,2068.734823269283,5100000.0,0.1953696120673167,0.0010000000000000009,0.005118503279084365,0,52,0,1e-08,0.005118503279084365,0.4423768156172346,0.2628402574823782,0.031536960240054104,6.815124627893073e-06,0.2561330709992844,1.5141105893744755e-09,0.006717524099917747,6.108173838772549e-09,1.5675360876051076e-05,0.00024014351521430393,1.2399623301226695e-11,1.6476727251625075e-10,1.6830633931596006
