z_m,T_C,rho_kg_m3,u_m_s,residence_time_s,Y_H2,X_H2,Y_H,X_H,Y_O,X_O,Y_O2,X_O2,Y_OH,X_OH,Y_H2O,X_H2O,Y_HO2,X_HO2,Y_H2O2,X_H2O2,Y_C,X_C,Y_CH,X_CH,Y_CH2,X_CH2,Y_CH2(S),X_CH2(S),Y_CH3,X_CH3,Y_CH4,X_CH4,Y_CO,X_CO,Y_CO2,X_CO2,Y_HCO,X_HCO,Y_CH2O,X_CH2O,Y_CH2OH,X_CH2OH,Y_CH3O,X_CH3O,Y_CH3OH,X_CH3OH,Y_C2H,X_C2H,Y_C2H2,X_C2H2,Y_C2H3,X_C2H3,Y_C2H4,X_C2H4,Y_C2H5,X_C2H5,Y_C2H6,X_C2H6,Y_HCCO,X_HCCO,Y_CH2CO,X_CH2CO,Y_HCCOH,X_HCCOH,Y_N,X_N,Y_NH,X_NH,Y_NH2,X_NH2,Y_NH3,X_NH3,Y_NNH,X_NNH,Y_NO,X_NO,Y_NO2,X_NO2,Y_N2O,X_N2O,Y_HNO,X_HNO,Y_CN,X_CN,Y_HCN,X_HCN,Y_H2CN,X_H2CN,Y_HCNN,X_HCNN,Y_HCNO,X_HCNO,Y_HOCN,X_HOCN,Y_HNCO,X_HNCO,Y_NCO,X_NCO,Y_N2,X_N2,Y_AR,X_AR,Y_C3H7,X_C3H7,Y_C3H8,X_C3H8,Y_CH2CHO,X_CH2CHO,Y_CH3CHO,X_CH3CHO
0.0,1026.85,9.43187504618347,0.14005710801128637,0.007139944656856801,1.0940506001621976e-29,1.0845300562218167e-28,2.1881012003243952e-29,4.338120224887267e-28,1.3785899180742485e-30,1.7220151624264374e-30,0.34003681089624027,0.2123722712858692,1.296881290014106e-30,1.5239377403558182e-30,0.1878391448082186,0.20837544835888977,1e-30,6.054828076567534e-31,1e-30,5.87539411698677e-31,1.836321713368571e-30,3.0553735451518515e-30,1.6941439510922424e-30,2.600563087865711e-30,1.5724003777906829e-30,2.2402322962890164e-30,1.5724003777906829e-30,2.2402322962890164e-30,1.4669810508327173e-30,1.949915461940034e-30,0.45656756821430033,0.568740540719509,1e-30,7.134796697436203e-31,0.00044982896599540887,0.00020426813735843836,1e-30,6.886954838210353e-31,1e-30,6.655753530113503e-31,1e-30,6.43957129262061e-31,1e-30,6.43957129262061e-31,1e-30,6.236990683951939e-31,1e-30,7.984245125656734e-31,1e-30,7.675153832674863e-31,1e-30,7.389102103645198e-31,1e-30,7.123606455235904e-31,1e-30,6.876527957304661e-31,0.005292104703868942,0.0035171404505948004,1e-30,4.870839052747765e-31,1e-30,4.75404180829241e-31,1e-30,4.75404180829241e-31,1.5746455414628333e-30,2.246634328594383e-30,1.468935071546447e-30,1.9551135015189513e-30,1.3765250015146918e-30,1.7168603958885245e-30,1.2950537313880515e-30,1.5196457157579377e-30,1e-30,6.886005633491421e-31,1e-30,6.660189811877226e-31,1e-30,4.3439985978738835e-31,1e-30,4.540605173362144e-31,1e-30,6.443723979337977e-31,1e-30,7.681053712629258e-31,1e-30,7.394570246991345e-31,1e-30,7.1286885744163525e-31,1e-30,4.870364231111252e-31,1e-30,4.644872876122906e-31,1e-30,4.644872876122906e-31,1e-30,4.644872876122906e-31,1e-30,4.7563047217837555e-31,0.009003012777116222,0.006422549403420948,1e-30,5.0023943803551455e-31,1e-30,4.637973856325002e-31,0.0008115296342600676,0.00036778164435783247,1e-30,4.642714728660425e-31,1e-30,4.5364823166455875e-31
0.001,1496.8968825072784,5.140726714806577,0.25696778206230286,0.011031483090097223,0.046744506166852544,0.34387662473620545,1.5594111402279076e-06,2.2943660483373445e-05,3.722134167077588e-11,3.4503391993779883e-11,3.071940013511136e-11,1.4238115246497344e-11,1.3307747471411068e-06,1.1604847732835206e-06,0.34461185876345496,0.28369949250703974,2.768205195327941e-13,1.2438499445567766e-13,1.716626921463841e-11,7.484810664039906e-12,6.895677432271249e-14,8.514524076451097e-14,4.470280976611971e-12,5.092368245827853e-12,2.291833755468726e-08,2.423153474482414e-08,5.240965021799435e-10,5.541266931735528e-10,0.00020344634504310984,0.00020068229857938673,0.16114720322199638,0.14897033559642384,0.24414003382662935,0.12926724667866227,0.08475910140962258,0.02856323878421687,1.9375348655019432e-07,9.90249557473276e-08,1.1411961578514963e-05,5.636706573841772e-06,2.9983248392371487e-08,1.4328592574112573e-08,5.731900830421984e-10,2.739198588476829e-10,1.3629931768064802e-05,6.308653472673674e-06,3.450382015688455e-08,2.044414436153968e-08,0.07004763479192545,0.03989775508251128,1.5717403884608167e-05,8.618672466166437e-06,0.03806820101835047,0.020124734908192533,1.2256000439449439e-05,6.254403217559694e-06,0.0010884095421070516,0.0005368111397122845,4.0460879309791645e-08,1.4625374375607041e-08,8.793954229793762e-05,3.1025235965713144e-05,2.743173968320095e-05,9.677969368295043e-06,2.66180047916993e-15,2.8183373576242918e-15,2.128149715344527e-15,2.1020326035716647e-15,3.1221412684562584e-13,2.889823538557152e-13,1.89829964772829e-09,1.6530547021377433e-09,2.1838157114674105e-11,1.1159667511125856e-11,1.2683700522822121e-12,6.269031924105577e-13,3.4004142875745365e-19,1.0961990070293054e-19,2.2270185120417359e-13,7.504218353069493e-14,1.0445468797158493e-15,4.994968578821739e-16,2.374888090964746e-15,1.353729357931575e-15,3.4247515072719907e-09,1.8793596580337534e-09,1.459050370209942e-14,7.718765076339604e-15,1.1155935802349178e-14,4.032137590215316e-15,2.1438886833387895e-15,7.389991858150928e-16,4.858356213290255e-13,1.674677101438775e-13,5.926587409100223e-11,2.042896771658052e-11,1.0522752883192254e-15,3.7142141305751e-16,0.009003009399338947,0.004766232089850739,1e-30,3.712323575801399e-31,1.6491355859717753e-07,5.676132896425264e-08,1.3991222471972409e-05,4.705537347727896e-06,9.908485040409547e-09,3.413871366032557e-09,8.244911541515904e-07,2.77570379057922e-07
0.002,1492.1966808297889,5.076989410899539,0.2601937950188122,0.01487477228124684,0.04972242055687499,0.36028926167031256,1.554400067754652e-06,2.2526403440516855e-05,3.327473027525026e-11,3.0381645282690515e-11,2.3562044266069334e-11,1.0756716359609719e-11,1.1651625826187515e-06,1.0008025454716233e-06,0.32545731096702496,0.2639060514741349,2.100562404929978e-13,9.296774063169516e-14,1.348081919059346e-11,5.789594672129629e-12,5.219933671789116e-14,6.348562524131384e-14,3.5354198527926007e-12,3.966915529682927e-12,1.8676094477206337e-08,1.944960782351614e-08,4.515207363579607e-10,4.702215046655302e-10,0.00019401708771481251,0.00018850641425479566,0.1639390689265169,0.14927478840127362,0.2734671495036583,0.1426203961575241,0.08513141248335634,0.028257772367792828,2.1512231285313583e-07,1.0829479053746511e-07,1.0270135730125484e-05,4.996527551561541e-06,2.528071989569235e-08,1.1899843901808687e-08,4.74580000455131e-10,2.233887305281459e-10,1.1601415628130623e-05,5.289089954510242e-06,2.6158173813511222e-08,1.5266383050396057e-08,0.0578401463942311,0.032449749184551714,1.3116030187961024e-05,7.084169557989144e-06,0.034046683896470246,0.017728402752667568,1.1078882194687166e-05,5.568779595625416e-06,0.0010448735887784663,0.0005075980056449712,3.0835926209249175e-08,1.0978819605821106e-08,7.150943032346619e-05,2.4849702116896814e-05,1.971960880995771e-05,6.85261234179317e-06,2.0252663920135767e-15,2.1121590130906807e-15,1.92550531116964e-15,1.873307051338286e-15,3.562949998504057e-13,3.2482951107705943e-13,2.3207464660273308e-09,1.9905685234411174e-09,2.1356021061802523e-11,1.0749359465895631e-11,9.984152667376485e-13,4.860631440428412e-13,2.33694116721138e-19,7.420485616052809e-20,1.903600535087714e-13,6.318069950653307e-14,8.376487833507392e-16,3.9454247352235905e-16,2.2582696147764123e-15,1.2679188697220509e-15,3.5260953141962393e-09,1.9059076737283725e-09,1.5050742097107586e-14,7.842642678892665e-15,8.895954378715026e-15,3.167005811678685e-15,1.3132774050448453e-15,4.458873760508637e-16,4.433187631709285e-13,1.505167448286751e-13,7.187265011189324e-11,2.440238996354282e-11,1.1688451827580233e-15,4.063699018948633e-16,0.009003008995862568,0.004694638362275288,1.0000000000000055e-30,3.6565608062387296e-31,1.4086736092852847e-07,4.7756616144350295e-08,1.2694946088390814e-05,4.205439599178458e-06,8.130230953194134e-09,2.7591146933959396e-09,7.25574770667474e-07,2.4060035712281146e-07
0.003,1487.212007993653,5.0325909514682925,0.26248927338449063,0.018684451766835624,0.05201129115536465,0.37252381966962483,1.530129521069557e-06,2.1918690388800012e-05,2.9693349667563005e-11,2.679867329368209e-11,1.876948975162089e-11,8.469866643106899e-12,1.0363924960324103e-06,8.799206060703307e-07,0.3112268070295015,0.24945353965077102,1.6561800574444395e-13,7.245387134497826e-14,1.0992856181028842e-11,4.6665914266482634e-12,4.0603568361513856e-14,4.8812603875231e-14,2.8602232255029742e-12,3.1722634099014077e-12,1.5638955799601446e-08,1.6098666189918773e-08,3.934075864420374e-10,4.049718850713407e-10,0.00018465386730741627,0.00017733804456551803,0.16574156816763616,0.1491738849216279,0.29594780514752106,0.15256290675987508,0.08486259042368545,0.027843365224979297,2.29265391581056e-07,1.140822203337852e-07,9.501796859798569e-06,4.56935816460206e-06,2.1790183848529364e-08,1.0138415334904376e-08,4.024871969162565e-10,1.872670004844339e-10,1.017765971763841e-05,4.586435078926368e-06,2.0397309974291134e-08,1.176681664823486e-08,0.048987813959889964,0.027166105143539735,1.1148741354126451e-05,5.9520933858680844e-06,0.03089599160924121,0.015902092885778898,1.0091556276938342e-05,5.013945258287679e-06,0.0010066567294579136,0.0004833869405334037,2.459120432393091e-08,8.6543769283176e-09,6.060175406752536e-05,2.081615053839803e-05,1.494875642548361e-05,5.134761673201489e-06,1.5951493615473438e-15,1.6443837099140852e-15,1.7641832451472038e-15,1.6965446605658804e-15,3.840537354191913e-13,3.4609482131347775e-13,2.6680621091157994e-09,2.2620527398303584e-09,2.0692011765711506e-11,1.0294904421628228e-11,8.204170192146643e-13,3.947966839196358e-13,1.7138173992948858e-19,5.3790607934124585e-20,1.6594476232242948e-13,5.444142918147344e-14,7.003754863669676e-16,3.260769458314107e-16,2.1164716883772527e-15,1.1745878227184468e-15,3.5665977410786087e-09,1.9055453886485195e-09,1.513809286554213e-14,7.797098778402892e-15,7.293618116057357e-15,2.5665911377163845e-15,8.866190287373529e-16,2.9755216119692187e-16,4.082599145908365e-13,1.3701332362511282e-13,8.22666526677663e-11,2.7608949844659594e-11,1.2393656769951342e-15,4.2591345885331344e-16,0.009003008686569008,0.004640443453536024,1.0000000000000062e-30,3.6143495897460395e-31,1.2241977381536858e-07,4.1023442126045595e-08,1.1672187071613847e-05,3.8219951786320256e-06,6.904945109407414e-09,2.316244805807986e-09,6.56044425997345e-07,2.1503279545830858e-07
0.004,1482.2897669547729,5.00018676673989,0.26419036002400453,0.022469601232202714,0.05384281432340097,0.38208738888541194,1.4973764596483344e-06,2.125181117796281e-05,2.6583954888020963e-11,2.3771261646445387e-11,1.5388530463174752e-11,6.8801798967703325e-12,9.339313069241346e-07,7.856203085733338e-07,0.30017096075741534,0.2383745511000557,1.3451996932627112e-13,5.830681833816054e-14,9.219282403359844e-12,3.8776168187392295e-12,3.233829678553619e-14,3.8517975703957297e-14,2.3602647991081093e-12,2.5936333493939885e-12,1.3373334193476482e-08,1.3639560608234314e-08,3.4642455771178224e-10,3.533209207764744e-10,0.00017587006244232443,0.0001673454715897806,0.1669364411047434,0.14886446689464675,0.3137706796064062,0.16025984890151815,0.08437225246678921,0.027427335725076975,2.3869789204040343e-07,1.176810641070963e-07,8.95019638578721e-06,4.26442581643938e-06,1.91076460925131e-08,8.808357085869465e-09,3.4783575143205943e-10,1.603474070542795e-10,9.115356369507558e-06,4.06986042639948e-06,1.6287676720167793e-08,9.309444573833138e-09,0.04229324673883707,0.023237472176309823,9.624190255816169e-06,5.090807033454285e-06,0.028346044513597343,0.01445516826819133,9.259393750840092e-06,4.558086195052598e-06,0.0009727925573737854,0.0004628201838676542,2.02759099212843e-08,7.0699265270724555e-09,5.286567718791982e-05,1.7991507921375455e-05,1.1772850622211284e-05,4.006594571252077e-06,1.2906430219407904e-15,1.318215726121944e-15,1.629988329848681e-15,1.5530471389355555e-15,4.0114766477430207e-13,3.5816728516108313e-13,2.958382426113509e-09,2.485075824249626e-09,1.997815485061272e-11,9.848124190008146e-12,6.943455758086843e-13,3.3104958446808473e-13,1.3154108123482634e-19,4.090551376492164e-20,1.4695817642195156e-13,4.7768132389589096e-14,6.01951750095218e-16,2.776702672576888e-16,1.973249367687263e-15,1.0850095040017688e-15,3.5723526509168854e-09,1.8910283136395128e-09,1.502244440141453e-14,7.666215367160338e-15,6.112882286473699e-15,2.1312688722076835e-15,6.393615642484474e-16,2.125940596168753e-16,3.7907886177155144e-13,1.260474802449061e-13,9.085207283364767e-11,3.0209215048791685e-11,1.2784403756459113e-15,4.3529223171900183e-16,0.009003008442775897,0.004597672288124096,1.0000000000000045e-30,3.5810360722517674e-31,1.0788373489894035e-07,3.581913034412473e-08,1.0836762607850091e-05,3.5157338828386252e-06,6.014768320379813e-09,1.999040858972266e-09,6.046591151372184e-07,1.963634231579054e-07
0.005,1477.5560894209325,4.975714144586187,0.26548975759179944,0.02623622488303876,0.05535312754265119,0.3898285311466109,1.4612672721457491e-06,2.0582167606492166e-05,2.3918138659590752e-11,2.122543139970739e-11,1.2902574413384382e-11,5.725000427261423e-12,8.506048730518876e-07,7.101042954752575e-07,0.2912919478485558,0.22957056242449345,1.1184821232826853e-13,4.8112523567854426e-14,7.900360317298283e-12,3.2977002453485588e-12,2.6274687875848768e-14,3.105849330976377e-14,1.9806569566732994e-12,2.1599993560919054e-12,1.1626260273427559e-08,1.1767852850435129e-08,3.0794045862473707e-10,3.1169076887722847e-10,0.0001677951814221201,0.0001584521139554529,0.16773507630226703,0.14844319460327873,0.3282891583096076,0.16640463415567563,0.08381710726159841,0.027040402560657848,2.449733494086835e-07,1.1985974483181893e-07,8.535384457525127e-06,4.035966869018288e-06,1.698681526988256e-08,7.771345066699614e-09,3.051607918155549e-10,1.3960885406404706e-10,8.287770281560435e-06,3.672316245114787e-06,1.3266950341528402e-08,7.52544591742702e-09,0.03706537677115381,0.020210766354378306,8.415966482711001e-06,4.417971790729483e-06,0.026231026516913357,0.013275242980428089,8.551237766605143e-06,4.177586669990521e-06,0.000942511627120154,0.00044501563894460685,1.714651188576632e-08,5.933443863438329e-09,4.710499846617229e-05,1.5909526863798808e-05,9.541896669635635e-06,3.2227378482174953e-06,1.0668199272920185e-15,1.081354210775303e-15,1.5153330237061945e-15,1.432863224790988e-15,4.111489017704751e-13,3.643151962857713e-13,3.2047694750453458e-09,2.671644271259775e-09,1.9269975264280487e-11,9.42704986741176e-12,6.003976710942768e-13,2.840879932885602e-13,1.0441403906055053e-19,3.22237326685221e-20,1.3180354405181778e-13,4.251753729415277e-14,5.275548040618282e-16,2.415081463929184e-16,1.8378105256815925e-15,1.0028796299396063e-15,3.5577537315900615e-09,1.8690292386515277e-09,1.4796093881428372e-14,7.49348762219261e-15,5.2143860754072035e-15,1.804229993207381e-15,4.834063774893188e-16,1.5951939053726707e-16,3.544763110552808e-13,1.1697372590142652e-13,9.799378388944425e-11,3.233699307748625e-11,1.2963089184665186e-15,4.380316113307778e-16,0.00900300824611581,0.004562832314772296,1.0000000000000029e-30,3.5538999832506796e-31,9.616604055576571e-08,3.168672137278828e-08,1.013701897101029e-05,3.263797456683773e-06,5.340855850052278e-09,1.7616114700104516e-09,5.651993178537824e-07,1.8215794783066128e-07
0.006,1473.052466455145,4.95674662704021,0.26650568235340194,0.029988490092430965,0.056627906845790686,0.3962639997106296,1.4243615016869419e-06,1.9934453421679363e-05,2.1635281999821477e-11,1.9077187996072723e-11,1.1013382819947012e-11,4.855595931926848e-12,7.815400740707937e-07,6.48288290850239e-07,0.28397606367791983,0.22237814648726711,9.47622586595954e-14,4.050299569810396e-14,6.886239936381994e-12,2.856071535454852e-12,2.1711425143883432e-14,2.5500799828898225e-14,1.6858865411331934e-12,1.8268183030487425e-12,1.024263839863394e-08,1.030129161170781e-08,2.760051852438537e-10,2.775856950997673e-10,0.00016042350115563466,0.0001505251939678138,0.1682636289944873,0.14796169756987548,0.3403771476799935,0.17143201246202988,0.0832608527619184,0.026689718415679662,2.4907658687102903e-07,1.210904985132744e-07,8.21239494644743e-06,3.858486494039704e-06,1.527087159886652e-08,6.941777786198602e-09,2.7102209510704047e-10,1.232002474254779e-10,7.622013483461181e-06,3.3557896807188497e-06,1.0988506302907113e-08,6.193304736177118e-09,0.03287851613581748,0.01781349859214799,7.439664282923519e-06,3.880564731030925e-06,0.02444278334292354,0.012291375972563433,7.942379849128154e-06,3.855403104926993e-06,0.0009152124708639493,0.0004293714253403183,1.4789698388945168e-08,5.085258365900443e-09,4.265211432209916e-05,1.431375197050102e-05,7.909069267206408e-06,2.654228462237065e-06,8.972412442682216e-16,9.036676551432879e-16,1.415663476257386e-15,1.3300847943432475e-15,4.1634946656541326e-13,3.665716019906126e-13,3.416668799023152e-09,2.8301364213849114e-09,1.859093050664777e-11,9.036878167672907e-12,5.27709008619434e-13,2.4810244308949186e-13,8.505067380003107e-20,2.6080586954806598e-20,1.1943984476467238e-13,3.828361111860698e-14,4.691567234068755e-16,2.1340510269583205e-16,1.7132830088075539e-15,9.289660362239795e-16,3.531102462347272e-09,1.8432030691077664e-09,1.4510921097471863e-14,7.302213881319551e-15,4.512387437947789e-15,1.5513784303028678e-15,3.787082172724365e-16,1.2417337555086033e-16,3.334654672058923e-13,1.0933888097498677e-13,1.0398438701182528e-10,3.409509419373554e-11,1.2998953886925225e-15,4.364434699998852e-16,0.00900300808440412,0.004533745665863215,1.0000000000000041e-30,3.5312450302460772e-31,8.653859052141752e-08,2.8332705005326234e-08,9.539617112105428e-06,3.0518735615280514e-06,4.813756282928406e-09,1.5776331522562952e-09,5.33969104498531e-07,1.709957348541231e-07
0.007,1468.785513940038,4.94174722732077,0.26731459164666177,0.033729400731988594,0.05772398293913997,0.4017276120124528,1.3879632507124428e-06,1.931894279913521e-05,1.9673687880190463e-11,1.725277108505286e-11,9.538825754074458e-12,4.1825197735540205e-12,7.233597814851507e-07,5.967501929450782e-07,0.2778239512637009,0.21637213903330485,8.153156086107438e-14,3.465762375019101e-14,6.085242633661766e-12,2.5100716190632037e-12,1.820067652497676e-14,2.1260539728098995e-14,1.4524821569403684e-12,1.5653054606451252e-12,9.122794381969624e-09,9.124918847840088e-09,2.4918385021088023e-10,2.4924187876694307e-10,0.00015370280086356568,0.00014343141087755937,0.16860179691574026,0.14744923943075142,0.35062297250086766,0.17562776707516609,0.08272947053115323,0.026374526152583268,2.516512910538626e-07,1.216739501736265e-07,7.954025089053755e-06,3.71668194187723e-06,1.3855800373198444e-08,6.264115880141764e-09,2.431614710204139e-10,1.0993169582638809e-10,7.073011913056549e-06,3.097067670900821e-06,9.231532309626191e-09,5.1746248016623695e-09,0.029456436131017984,0.015872250170753662,6.637532578604519e-06,3.4432578266758957e-06,0.022907365372797243,0.011456349956638372,7.413773213366926e-06,3.5791485161900115e-06,0.0008904239667588499,0.0004154601123527375,1.2960203218888858e-08,4.431867836060482e-09,3.910727048815535e-05,1.3052440188760045e-05,6.6747302396142445e-06,2.227757553549025e-06,7.655333104404444e-16,7.66804910628692e-16,1.3279657270623064e-15,1.2408733329050146e-15,4.1825352915977526e-13,3.6623656564196957e-13,3.601021336022741e-09,2.9665485952147397e-09,1.795010267560183e-11,8.67771775832075e-12,4.698267759939846e-13,2.196825598276905e-13,7.07129195874259e-20,2.156550611750018e-20,1.0916682840064797e-13,3.47997114195945e-14,4.2200818985511515e-16,1.9091014966038303e-16,1.6002109461972164e-15,8.6291744482998765e-16,3.4973680645958696e-09,1.815622219354059e-09,1.4196895447136011e-14,7.1051661205600235e-15,3.951828620160638e-15,1.3512345873387214e-15,3.049865217139037e-16,9.945478646705181e-17,3.1530865407069395e-13,1.028207892125509e-13,1.0905134508242818e-10,3.5561172271381864e-11,1.2938664889539867e-15,4.3204635491430935e-16,0.009003007949276439,0.004508981262985416,1.0000000000000032e-30,3.511956578256606e-31,7.850103195202709e-08,2.5560825295959327e-08,9.021848805576817e-06,2.8704660937665534e-06,4.39050218518904e-09,1.4310585633486534e-09,5.086442461365155e-07,1.6199610338262894e-07
0.008,1464.7472657764151,4.929695888535008,0.26796807997112493,0.037461188488604066,0.05868067835865451,0.4064453385356936,1.3527302862321984e-06,1.8739078501264216e-05,1.7979280647007056e-11,1.569195385297684e-11,8.362301624966282e-12,3.649224175870685e-12,6.736656855867011e-07,5.531135065855024e-07,0.27256385670504485,0.2112669431072658,7.105285997751965e-14,3.005980904172892e-14,5.438491920814206e-12,2.232638088311332e-12,1.5447738057954515e-14,1.795904665928412e-14,1.2645197821321362e-12,1.356268108923343e-12,8.200011238643022e-09,8.162951191323358e-09,2.2641205631120848e-10,2.2538878435749534e-10,0.00014756823546675652,0.00013705251229317452,0.16880222869533965,0.14692311988254372,0.3594371707563511,0.17918738328754708,0.08223261218291784,0.026091565336251888,2.5313040927246783e-07,1.2180760218017935e-07,7.742859449935876e-06,3.600820270623517e-06,1.2670107661898279e-08,5.700856359811364e-09,2.2004154694769946e-10,9.900667664504919e-11,6.6112946139759475e-06,2.881140542454808e-06,7.85072561526795e-09,4.379721532186747e-09,0.02661217793637445,0.01427152376502977,5.96901804988662e-06,3.0817499498154593e-06,0.021572259022277218,0.010737381471843851,6.950755108206075e-06,3.339673713124497e-06,0.0008677733860839066,0.0004029678957933545,1.1504536527033969e-08,3.915396465112109e-09,3.62174212161276e-05,1.2030491163514857e-05,5.71692624810196e-06,1.8990151258927902e-06,6.6110607217812e-16,6.590578945039034e-16,1.2500956509059528e-15,1.162560215912511e-15,4.1787061153165324e-13,3.641627710456494e-13,3.763023113065948e-09,3.0852778836037794e-09,1.734990029256108e-11,8.347706951627533e-12,4.2267526275115596e-13,1.9669633844350066e-13,5.97809844280863e-20,1.8144941671769734e-20,1.0049857007251772e-13,3.188426865471585e-14,3.831038361639079e-16,1.7248695972036804e-16,1.4980646341127031e-15,8.039965611561783e-16,3.4596131641826237e-09,1.7874887521097533e-09,1.3871658003417607e-14,6.909408232743698e-15,3.4959804232348736e-15,1.1896885201639607e-15,2.510879855666803e-16,8.148967815422567e-17,2.9945178065423646e-13,9.71859691858618e-14,1.1337056922803016e-10,3.6793999432920307e-11,1.2813893644687028e-15,4.258470307519162e-16,0.00900300783481394,0.004487557774402029,1.0000000000000015e-30,3.495270289957665e-31,7.169930733510794e-08,2.3235182823042762e-08,8.567589248895911e-06,2.712983432707781e-06,4.0432259713664825e-09,1.3116043585815621e-09,4.876942404352834e-07,1.5458583162921416e-07
0.009000000000000001,1460.9239974386446,4.919889532683816,0.2685021956929314,0.041185552817987935,0.0595261587416202,0.41057606543320047,1.3189752767442685e-06,1.8195015132084724e-05,1.6507039754219053e-11,1.4346721140628735e-11,7.406145463324832e-12,3.2184421092854164e-12,6.307133354888987e-07,5.156803702957011e-07,0.2680040206311479,0.20686324883585422,6.259508838589371e-14,2.6370821543945105e-14,4.906619918363712e-12,2.005861802843233e-12,1.325306890860989e-14,1.534311666211719e-14,1.1109150787533553e-12,1.1865322114392754e-12,7.428059645586911e-09,7.363543953762535e-09,2.0688995306918656e-10,2.0509303044192935e-10,0.0001419554329030675,0.00013128795516257483,0.16890097434323678,0.14639386251556422,0.36711510782668183,0.1822491227920345,0.0817726192794584,0.02583703697625637,2.538126344429213e-07,1.216247774623164e-07,7.567232239607948e-06,3.5044178244845203e-06,1.1663122574107949e-08,5.225807191872463e-09,2.0058233116085287e-10,8.987340929348851e-11,6.216722456471296e-06,2.6978522463410373e-06,6.7476018818611955e-09,3.748563733839642e-09,0.024214739999234354,0.012931487541316188,5.404940914921886e-06,2.778844245346864e-06,0.020398998193535633,0.010110912336309986,6.541948853256769e-06,3.1300980649911692e-06,0.0008469621776510511,0.00039165789617850235,1.0322337489888623e-08,3.498351313998832e-09,3.3815018859786156e-05,1.1185469485908455e-05,4.957510357375912e-06,1.6398654414015032e-06,5.768543266013415e-16,5.726606261869541e-16,1.1804478621320144e-15,1.0931953395844233e-15,4.1589212722070663e-13,3.6092184166084913e-13,3.906635062358677e-09,3.189620344675529e-09,1.678961581862332e-11,8.04432705190706e-12,3.835516465936664e-13,1.7774281119548113e-13,5.1244019226653026e-20,1.548868147426088e-20,9.308818259488646e-14,2.9409651470138586e-14,3.50439564688262e-16,1.5712006415483628e-16,1.4059114475978362e-15,7.513812543279562e-16,3.419766747942404e-09,1.7595070481338881e-09,1.3545685231010389e-14,6.7188076583080634e-15,3.1195182693496183e-15,1.0571352665016055e-15,2.1046806668236202e-16,6.802078362692242e-17,2.8547371380414017e-13,9.226171943295903e-14,1.1707870950377284e-10,3.7838450706607037e-11,1.2646344945216548e-15,4.1852006203368083e-16,0.009003007736716587,0.004468778173555372,1.000000000000001e-30,3.480643266974478e-31,6.587627029004359e-08,2.125880683168631e-08,8.165001247338362e-06,2.5746814790680527e-06,3.753126891965377e-09,1.2124025300789269e-09,4.700721714260598e-07,1.4837657789872235e-07
