cell,z,T,p,u,dz,dt_try,used_fallback,substeps,halvings,dt_min,dt_effective,X_H2,X_CO,X_CO2,X_CH4,X_H2O,X_O2,X_N2,X_O,X_OH,X_H,X_HO2,X_H2O2,H2_CO
0,0.0,2071.6957445569083,5100000.0,0.18982096213916488,0.001,0.005268122070031772,1,16,16,1e-08,0.005268122070031772,0.4416055505306171,0.26265792682490813,0.03157377942214651,0.00031893164110818737,0.25672014624903544,1.581803296680451e-09,0.0067215663097073145,6.347796988090372e-09,1.6060696213215092e-05,0.00024381398900378417,1.2936863814324115e-11,1.6991278618531633e-10,1.6812953481697062
1,0.001,2069.9915453888657,5100000.0,0.19549636779749646,0.001,0.005115184549289647,0,52,0,1e-08,0.005115184549289647,0.4422434624043622,0.262837651672652,0.031532913806773574,1.5488177929306608e-05,0.25626140813910625,1.5433270535005251e-09,0.006717417090587781,6.221608715576128e-09,1.5844143384116903e-05,0.00024201081602053467,1.26400023788276e-11,1.6706261159270218e-10,1.6825727196617515
2,0.002,2069.895355987448,5100000.0,0.19545690052513534,0.001,0.005116217423448819,0,52,0,1e-08,0.005116217423448819,0.44226191686254346,0.2628423320809382,0.03153265814300286,7.000233121146756e-06,0.2562473864669416,1.5412952552072117e-09,0.006717323531777025,6.214231177233189e-09,1.5832499741419738e-05,0.00024189624508674478,1.2624143070787375e-11,1.6691367639683147e-10,1.6826129693840783
3,0.003,2069.8433105507993,5100000.0,0.19545116167183757,0.001,0.005116367646251188,0,52,0,1e-08,0.005116367646251188,0.4422633699509484,0.2628417237317556,0.031533516000890126,6.766730523531409e-06,0.25624603051943873,1.540145273229238e-09,0.006717341295670059,6.209621521738739e-09,1.5825759050357374e-05,0.00024181696843401,1.2614598094212838e-11,1.6682395583958097e-10,1.6826223921826902
4,0.004,2069.7923604002567,5100000.0,0.1954463385544689,0.001,0.005116493905161135,0,52,0,1e-08,0.005116493905161135,0.44226436358901194,0.26284086717919714,0.031534405963647684,6.762368946580676e-06,0.2562451138816713,1.5390199248094915e-09,0.006717362045845965,6.205085587139799e-09,1.5819156275963702e-05,0.0002417386630499837,1.2605239328329337e-11,1.667360373317374e-10,1.6826316559345742
5,0.005,2069.7414184686536,5100000.0,0.1954415288198682,0.001,0.005116619819944542,0,52,0,1e-08,0.005116619819944542,0.4422653465282138,0.2628399864400493,0.03153529709529863,6.764381191836341e-06,0.2562442243243727,1.53789593120181e-09,0.00671738283268206,6.200553769883683e-09,1.5812559747964712e-05,0.00024166040273587317,1.2595893111212381e-11,1.6664823278554608e-10,1.6826410338789501
6,0.006,2069.690472807586,5100000.0,0.19543671738280669,0.001,0.005116745785497796,0,52,0,1e-08,0.005116745785497796,0.44226632951688033,0.26283910202990496,0.03153618837577507,6.766571984399302e-06,0.25624333799423826,1.5367727033026105e-09,0.0067174035837455496,6.196024895065616e-09,1.5805965737653918e-05,0.00024158216383895331,1.2586553685650456e-11,1.6656047580447028e-10,1.6826504355754524
7,0.007,2069.6395261858024,5100000.0,0.19543190551913908,0.001,0.005116871768423031,0,52,0,1e-08,0.005116871768423031,0.4422673125610319,0.2628382169444307,0.031537079749526,6.768768605172843e-06,0.2562424521242618,1.5356502341163257e-09,0.0067174242987091655,6.1914990571421786e-09,1.579937412888661e-05,0.00024150394605152847,1.257722073004056e-11,1.664727612209378e-10,1.6826598418697085
8,0.008,2069.5885792073027,5100000.0,0.19542709355210527,0.0010000000000000009,0.005116997760258755,0,52,0,1e-08,0.005116997760258755,0.4422682956111376,0.26283733167905005,0.031537971210385984,6.770966204997535e-06,0.2562415662799769,1.5345285246585188e-09,0.006717444977915101,6.186976278783172e-09,1.5792784915720636e-05,0.0002414257494208649,1.2567894204714089e-11,1.6638508831299092e-10,1.6826692494017184
9,0.009000000000000001,2069.537631978445,5100000.0,0.1954222815396126,0.0009999999999999992,0.005117123759489506,0,52,0,1e-08,0.005117123759489506,0.4422692786574942,0.26283644631763986,0.03153886275739342,6.773164644346478e-06,0.2562406803884333,1.5334075747783857e-09,0.006717465621496904,6.18245656247737e-09,1.5786198096921507e-05,0.00024134757395403184,1.2558574100037342e-11,1.6629745694796539e-10,1.6826786575976165
