z_m,T_C,rho_kg_m3,u_m_s,residence_time_s,Y_N2,X_N2,Y_AR,X_AR,Y_HE,X_HE,Y_H,X_H,Y_O2,X_O2,Y_OH,X_OH,Y_O,X_O,Y_H2,X_H2,Y_H2O,X_H2O,Y_HO2,X_HO2,Y_H2O2,X_H2O2,Y_CO,X_CO,Y_CO2,X_CO2,Y_HCO,X_HCO,Y_CH3,X_CH3,Y_CH4,X_CH4,Y_CH2O,X_CH2O,Y_T-CH2,X_T-CH2,Y_S-CH2,X_S-CH2,Y_C2H4,X_C2H4,Y_CH3O,X_CH3O,Y_C2H5,X_C2H5,Y_C2H6,X_C2H6,Y_CH,X_CH,Y_C2H2,X_C2H2,Y_C2H4OOH,X_C2H4OOH,Y_OC2H3OOH,X_OC2H3OOH,Y_C2H3,X_C2H3,Y_CH2CHO,X_CH2CHO,Y_C2H4O,X_C2H4O,Y_HCCO,X_HCCO,Y_CH2CO,X_CH2CO,Y_C2H,X_C2H,Y_CH2OH,X_CH2OH,Y_CH3OH,X_CH3OH,Y_CH3CHO,X_CH3CHO,Y_CH3CO,X_CH3CO,Y_C2H5OH,X_C2H5OH,Y_CH2CH2OH,X_CH2CH2OH,Y_CH3CHOH,X_CH3CHOH,Y_CH3CH2O,X_CH3CH2O,Y_C3H4,X_C3H4,Y_C3H3,X_C3H3,Y_C3H5,X_C3H5,Y_C3H6,X_C3H6,Y_C3H8,X_C3H8,Y_I-C3H7,X_I-C3H7,Y_N-C3H7,X_N-C3H7,Y_C3H6OOH,X_C3H6OOH,Y_OC3H5OOH,X_OC3H5OOH,Y_C4H10,X_C4H10,Y_PC4H9,X_PC4H9,Y_SC4H9,X_SC4H9,Y_C4H8,X_C4H8,Y_SC4H9O2,X_SC4H9O2,Y_C4H8OOH1-3,X_C4H8OOH1-3,Y_NC4KET13,X_NC4KET13
0.0,1026.85,9.216097716258883,0.15020662953178351,0.006657495765114691,0.008545574680571263,0.005956757128981107,1.0000000000000003e-30,4.887952310529427e-31,5.3550967760958485e-30,2.61257435415778e-29,2.1264207406939285e-29,4.119385265343963e-28,0.2985939156207317,0.1822224424956151,1.2603234589401303e-30,1.4470983623065607e-30,1.3397287996871553e-30,1.6351884039780616e-30,1.0632103703469642e-29,1.0298463163359908e-28,0.20219455083153973,0.21916889819841068,1.0000000000000003e-30,5.916308998535132e-31,1.0000000000000003e-30,5.740980031917756e-31,1.0000000000000003e-30,6.971570682101056e-31,0.0006239518565658042,0.00027685560774489283,1.0000000000000003e-30,6.72939881472364e-31,1.425628271778836e-30,1.851597605917176e-30,0.483129521693603,0.5880601307161787,1.0000000000000003e-30,6.50348680495739e-31,1.5280759297208814e-30,2.1272762011846878e-30,1.5280759297208814e-30,2.1272762011846878e-30,1.0000000000000003e-30,6.960636444202275e-31,1.0000000000000003e-30,6.2922502676306815e-31,1.0000000000000003e-30,6.719210474353127e-31,0.006069999784587541,0.003941839991373169,1.6463876692675936e-30,2.4694385379856088e-30,1.0000000000000003e-30,7.499565819404355e-31,1.0000000000000003e-30,3.198062476345407e-31,1.0000000000000003e-30,2.567667680972645e-31,1.0000000000000003e-30,7.220058226933764e-31,1.0000000000000003e-30,4.5365012151388215e-31,1.0000000000000003e-30,4.432699130720963e-31,1.0000000000000003e-30,4.7594066344695365e-31,1.0000000000000003e-30,4.645281414126855e-31,1.0000000000000003e-30,7.801585889159033e-31,1.0000000000000003e-30,6.2922502676306815e-31,1.0000000000000003e-30,6.094304188429266e-31,1.0000000000000003e-30,4.432699130720963e-31,1.0000000000000003e-30,4.5365012151388215e-31,1.0000000000000003e-30,4.2387222385042126e-31,1.0000000000000003e-30,4.333541084433336e-31,1.0000000000000003e-30,4.333541084433336e-31,1.0000000000000003e-30,4.333541084433336e-31,1.0000000000000003e-30,4.873922246490718e-31,1.0000000000000003e-30,4.99971054626957e-31,1.0000000000000003e-30,4.754308056524982e-31,1.0000000000000003e-30,4.640424296134849e-31,0.0008424855324010342,0.00037307586169638645,1.0000000000000003e-30,4.531868801913495e-31,1.0000000000000003e-30,4.531868801913495e-31,1.0000000000000003e-30,2.6006325303401465e-31,1.0000000000000003e-30,2.1678289349857964e-31,1.0000000000000003e-30,3.3596052371765635e-31,1.0000000000000003e-30,3.4188965404729075e-31,1.0000000000000003e-30,3.4188965404729075e-31,1.0000000000000003e-30,3.4803182221011375e-31,1.0000000000000003e-30,2.191279650847797e-31,1.0000000000000003e-30,2.191279650847797e-31,1.0000000000000003e-30,1.875737906975175e-31
0.001,1391.3139644062871,5.216915988284394,0.2653519777783605,0.010426075175648673,0.008545574680571263,0.004317255090634489,1.0000000000000003e-30,3.5426216880226123e-31,5.3550967760958485e-30,1.8935050877385805e-29,6.279881870271841e-07,8.817236767740165e-06,1.7582111188796782e-12,7.776599782253038e-13,3.0957930643138273e-07,2.5762367546784403e-07,4.164759774076622e-12,3.684161657771531e-12,0.053570514825257175,0.37607706859904716,0.26476244491010864,0.20800016387189613,1.402398873273453e-14,6.013401748636444e-15,1.7388209311943228e-12,7.235002953499893e-13,0.32449683642967314,0.16396038108067804,0.07856017385262047,0.025264022312298733,1.35194919012149e-07,6.593780021195753e-08,0.00010170435573287934,9.573652978122595e-05,0.2281370798028001,0.20125739887629632,7.635824058728287e-06,3.5991503858629454e-06,2.2138539460746957e-09,2.2337045539956687e-09,6.860180465192254e-11,6.921692541417113e-11,0.021125339179597098,0.01065738017944591,9.091793483717159e-11,4.1462297863589626e-11,5.303148744561475e-06,2.5825567332044248e-06,0.001258315869164386,0.0005922400953939701,9.87217928641061e-14,1.0731908657354853e-13,0.015724213781363273,0.008546786941086165,2.330042465536289e-19,5.400681885821819e-20,3.0629474085248905e-23,5.700017271996182e-24,2.7506271589064036e-06,1.4393626990342138e-06,1.2866016276133825e-08,4.230219910596886e-09,0.0026248477438181503,0.0008432768702995157,3.6898664390877505e-09,1.2728032486219752e-09,0.00012529736514115008,4.218439105998289e-05,1.6419005260362059e-09,9.283837990563656e-10,1.7281924529738258e-08,7.881264612877288e-09,1.299464676264829e-05,5.739663385898346e-06,1.4261690382268489e-06,4.5818099960518224e-07,1.1952089013749363e-08,3.929729594153901e-09,1.8014269540477542e-06,5.534130959258581e-07,3.6336417414901946e-09,1.1412553886826772e-09,5.222126177506259e-10,1.6401671007928593e-10,2.7817114023658487e-12,8.73680828646612e-13,0.0004601318852034012,0.00016253943385772713,6.200924181095964e-05,2.2469794484084533e-05,1.4806927535336762e-05,5.102113158657865e-06,0.0003699734497016857,0.0001244302770321145,1.5011273231820013e-05,4.817814185838856e-06,7.707142837438576e-08,2.5314453344832585e-08,7.92142394307836e-08,2.6018269164236835e-08,7.452427727754265e-21,1.4046708847945647e-21,3.262347334567331e-24,5.125698103099252e-25,1.2528590190067823e-07,3.050621103745234e-08,5.153410409221637e-10,1.2769635656303884e-10,1.4605986383333848e-09,3.6192173668597757e-10,1.2402302431013342e-05,3.1283770401052635e-06,1.591681035658769e-22,2.5278521231870962e-23,1.5758650662268586e-23,2.5027337539830744e-24,3.078655872956411e-24,4.1853436142977565e-25
0.002,1376.7139625543327,5.195656597884225,0.2664377349262336,0.01417929729441823,0.008545574680571414,0.004261947009531743,1.0000000000000181e-30,3.4972373863021634e-31,5.355096776095941e-30,1.8692475141733088e-29,5.639312847440216e-07,7.81641396963007e-06,1.1523703363844985e-12,5.031658206750808e-13,2.4205177244836265e-07,1.9884856056731194e-07,2.897053480819012e-12,2.5299129041959715e-12,0.056303085490932825,0.3901966745508429,0.2507867192770581,0.19449666717301636,9.153758777173246e-15,3.8747926239405404e-15,1.2025926668913197e-12,4.93972463703315e-13,0.34282484659072837,0.1710019558175387,0.08125834301984391,0.025796949761549778,1.326670841470435e-07,6.387598404472587e-08,8.663832747070777e-05,8.050975840900483e-05,0.22738172735372114,0.19802128480111084,6.678741018969134e-06,3.1076995079580408e-06,1.5887632263213422e-09,1.5824728881105303e-09,4.809948041044339e-11,4.790904171288708e-11,0.017265140301025,0.008598391498227718,6.258439817064905e-11,2.8175408450120333e-11,4.254939547351734e-06,2.0455485505989957e-06,0.0011581643142695133,0.0005381193973954235,6.372364438240794e-14,6.838563350062829e-14,0.011014483168342734,0.0059101485519954715,1.2654369109535307e-19,2.895513500425541e-20,2.2776211628053617e-23,4.184258013723833e-24,1.890297491839426e-06,9.764927214182228e-07,8.25227869241145e-09,2.6785087553331557e-09,0.002624847740242635,0.0008324737026730502,2.5888098155881527e-09,8.81558445978148e-10,8.140928035715725e-05,2.7057277577698533e-05,9.171335442513994e-10,5.119335880205771e-10,1.2119306951669242e-08,5.456095024906786e-09,1.0362112206016927e-05,4.518253261366931e-06,1.266165744469789e-06,4.015660296543944e-07,1.0946012003412146e-08,3.552835535484535e-09,1.421700914550759e-06,4.3116286948001207e-07,2.4767796635321186e-09,7.679420411345589e-10,3.689872799815953e-10,1.1440696526781727e-10,1.9225917921548317e-12,5.961123982382798e-13,0.00029699948970745346,0.00010356963653749209,3.527181809420605e-05,1.2617428734490812e-05,9.893937031523017e-06,3.3655388869822673e-06,0.0002784956527998859,9.246433802744727e-05,1.2751596005339002e-05,4.040149133685825e-06,5.706588088430422e-08,1.8503419986141477e-08,5.7936665211034176e-08,1.8785768875971116e-08,3.724906846417645e-21,6.930946704185659e-22,1.5895790817336412e-24,2.4655016647266805e-25,9.877126284704268e-08,2.374198402928554e-08,3.5123491954763036e-10,8.591753289108217e-11,9.825572161744071e-10,2.403488014425253e-10,8.54087112985866e-06,2.126763884625815e-06,7.589980175642933e-23,1.1899716084346258e-23,7.320012983007242e-24,1.147645635637462e-24,1.8061984797077168e-24,2.4240176626494206e-25
0.003,1366.1771608880626,5.187419236774691,0.2668608246623079,0.017926568934103163,0.008545574680571408,0.004228014351463052,1.0000000000000174e-30,3.4693931732819095e-31,5.3550967760959375e-30,1.8543649882755585e-29,5.18406337309964e-07,7.128203227736806e-06,8.528149497802766e-13,3.694045786467084e-13,2.0387387075094844e-07,1.661514593107883e-07,2.229351011328979e-12,1.931327473111895e-12,0.05796676311919687,0.398527986860484,0.242916245581643,0.1868928113561108,6.7430375836004e-15,2.8316070713235784e-15,9.35265203870059e-13,3.811073922647081e-13,0.354431549916428,0.17538383744036637,0.08176566134577536,0.025751335476634888,1.2947573066011082e-07,6.184309232721698e-08,7.706165101847108e-05,7.104036435194018e-05,0.2264744961940871,0.19566088878126014,6.227312099802439e-06,2.8745737486633386e-06,1.2485935218480709e-09,1.2337483463613058e-09,3.715986174042507e-11,3.671804888544242e-11,0.014956476734628294,0.007389325715636825,4.850778899332756e-11,2.1664268382350516e-11,3.6235856911103826e-06,1.7281575810633445e-06,0.0010902554976352206,0.0005025336647027407,4.610867830377729e-14,4.9088001326984753e-14,0.008569787510359597,0.004561763166458482,8.178248076612672e-20,1.856409505329015e-20,1.8876689648346772e-23,3.440259556212767e-24,1.4449558229456155e-06,7.404944861327514e-07,6.137762985999541e-09,1.976321998986666e-09,0.002624847737414559,0.0008258457344620359,2.039485636667509e-09,6.889695408544753e-10,6.1310786096713e-05,2.0215080400986198e-05,6.04984356026313e-10,3.350067813018907e-10,9.51685551644702e-09,4.250363010623336e-09,8.899420343000994e-06,3.849571649577809e-06,1.179241859241593e-06,3.7102032452099536e-07,1.0210388219104178e-08,3.2876823203566083e-09,1.2115378033442524e-06,3.6450080165537063e-07,1.8975738730858467e-09,5.836710728817098e-10,2.895711061256041e-10,8.90686157651521e-11,1.4750669534775218e-12,4.537129876838426e-13,0.00021889877666032622,7.572660566413106e-05,2.3785254627246317e-05,8.440714804363183e-06,7.451704304600871e-06,2.514603357791504e-06,0.00022824884642240709,7.517835919777308e-05,1.13497847366286e-05,3.5673759758145396e-06,4.6027109313081996e-08,1.480531283280264e-08,4.634816305860223e-08,1.490858460479765e-08,2.2772001111049106e-21,4.2034583304776935e-22,1.0058508959846614e-24,1.5476942723323251e-25,8.335807268817263e-08,1.9877532579442257e-08,2.669628955436844e-10,6.478335305411202e-11,7.429755949701597e-10,1.8029640479257035e-10,6.588289124126811e-06,1.6274893850583909e-06,4.50525040999975e-23,7.007180425121938e-24,4.244990286429501e-24,6.6023883542365e-25,1.2209895921243763e-24,1.6255887188396502e-25
0.004,1358.0116692021847,5.1839720523561965,0.26703827902884225,0.021671350407518785,0.008545574680571417,0.004204158965600232,1.0000000000000187e-30,3.449818094774943e-31,5.355096776095943e-30,1.8439022536089865e-29,4.842970132847104e-07,6.621619757640595e-06,6.760043703584964e-13,2.9116532206680133e-13,1.788293596307334e-07,1.449185864126993e-07,1.8181334836735681e-12,1.5661952630676404e-12,0.05913673292476486,0.4042776936420357,0.237673023768788,0.18182709678931508,5.324252392487221e-15,2.2232009473362314e-15,7.73821745552695e-13,3.1354234487129374e-13,0.36266667956854154,0.1784462914609844,0.08170753735893097,0.025587838458884234,1.264591608679038e-07,6.006144807159371e-08,7.030191007362122e-05,6.444313680542156e-05,0.2256065440628082,0.19381129740946015,5.964362438763865e-06,2.737660095678665e-06,1.034443186055782e-09,1.016376993012112e-09,3.0375873191443856e-11,2.984536905516636e-11,0.013384478901866602,0.006575361799801956,4.005053461536316e-11,1.7786215144384945e-11,3.1952854821609424e-06,1.5152948499397674e-06,0.0010397696903355327,0.00047655903182611844,3.573442806738318e-14,3.782876717339218e-14,0.007064637874653669,0.0037393426420686544,5.83387751674216e-20,1.3167808024685552e-20,1.648918538228147e-23,2.9881834157219337e-24,1.1731275432748701e-06,5.977989766302761e-07,4.934552215619823e-09,1.5799306203882368e-09,0.0026248477350867515,0.0008211861306621997,1.70596104517363e-09,5.730482062460969e-10,4.9829167444310086e-05,1.6336721130677932e-05,4.3832442886032216e-10,2.413502791261084e-10,7.931801282491357e-09,3.522467938262763e-09,7.9407539794599e-06,3.4155064064091837e-06,1.1229024796277241e-06,3.513011174059604e-07,9.644377031846395e-09,3.0879086736483504e-09,1.0743439611932899e-06,3.2140123495539825e-07,1.5485907933559616e-09,4.736404957409538e-10,2.4063068463846616e-10,7.359751669171284e-11,1.201423881931705e-12,3.674585987948288e-13,0.00017332412192842204,5.962204130533141e-05,1.7590693114202886e-05,6.207218735771075e-06,5.992739412545263e-06,2.0108605202046e-06,0.00019592360898288642,6.416729026861823e-05,1.0369410364026524e-05,3.240843030735189e-06,3.895760815182528e-08,1.2460596969472675e-08,3.899048278528858e-08,1.2471111926050833e-08,1.5582053453537077e-21,2.860045328502371e-22,7.242828270724654e-25,1.1081599047785624e-25,7.308462046252914e-08,1.7329398204785333e-08,2.1578519449349527e-10,5.206871237218932e-11,5.991259428354839e-10,1.445683818365858e-10,5.402019673976997e-06,1.3269188164319684e-06,3.0178786382217246e-23,4.667333266851183e-24,2.7878596833173216e-24,4.311594932434839e-25,8.993976668811071e-25,1.190674760164352e-25
0.005,1351.3844092928898,5.18268726252361,0.2671044779037558,0.025415203778484448,0.008545574680571422,0.004186040133521244,1.0000000000000192e-30,3.434950275723919e-31,5.3550967760959445e-30,1.835955514302367e-29,4.575696200554286e-07,6.229223140700548e-06,5.599312575458233e-13,2.401314904005329e-13,1.6090175234315374e-07,1.2982857803900692e-07,1.539480010632137e-12,1.3204393375544669e-12,0.060029020985014614,0.4086090402900378,0.2338276380031211,0.17811431068412764,4.396194968294688e-15,1.827768918327765e-15,6.650683305082315e-13,2.6831552295500496e-13,0.36891662092738337,0.18073919828099405,0.08149916215442331,0.025412587202772834,1.2374577622369794e-07,5.851943792460603e-08,6.520624405718508e-05,5.951452763435738e-05,0.22481075830461736,0.19229533354206918,5.792372451605658e-06,2.647257804642768e-06,8.869540887707382e-10,8.677079597312969e-10,2.5759884320186245e-11,2.5200917329736378e-11,0.012228326362993019,0.005981491180714178,3.438648948725027e-11,1.520503147431513e-11,2.8823579007442627e-06,1.3610047650972354e-06,0.0010000511212934992,0.00045637937711759526,2.898128642132483e-14,3.054761231631677e-14,0.006040798107690034,0.0031836398838920063,4.433633046786465e-20,9.964148326365482e-21,1.4850331645912393e-23,2.679590700621441e-24,9.89982000879938e-07,5.022980512017437e-07,4.160069011712684e-09,1.3262184375480752e-09,0.002624847733109361,0.0008176470313278471,1.4799006941644439e-09,4.949700032506032e-10,4.240279558918786e-05,1.3842037255992803e-05,3.3724237037829754e-10,1.8489217093892182e-10,6.857455419746727e-09,3.0322323402515982e-09,7.251464414130194e-06,3.1055844409346884e-06,1.0825868663519342e-06,3.372286804532505e-07,9.190871999130559e-09,2.9300244462466448e-09,9.760404388021794e-07,2.907342952018234e-07,1.3146114919065284e-09,4.003444730663619e-10,2.0726873078454137e-10,6.312046663210731e-11,1.0169670560704057e-12,3.0970149180569015e-13,0.00014353677808823798,4.916265002883997e-05,1.378519568407637e-05,4.843410644829915e-06,5.023033762778444e-06,1.6782123408969894e-06,0.00017313719376086783,5.6460089292805644e-05,9.633059064994509e-06,2.997729327868367e-06,3.40083803004706e-08,1.0830706112549433e-08,3.38725573281277e-08,1.0787450341948722e-08,1.1455581660807046e-21,2.0935803370828944e-22,5.626406954917934e-25,8.571358194444171e-26,6.565630133567799e-08,1.5500944374993155e-08,1.8143095330007405e-10,4.359039815001767e-11,5.031752115288147e-10,1.2089231418788693e-10,4.6015783740894965e-06,1.1254320356250505e-06,2.1822138971467213e-23,3.360381750300935e-24,1.982045724769712e-24,3.0521436466364486e-25,7.010894823170056e-25,9.241428370217193e-26
0.006,1345.8283892786344,5.182502208881897,0.26711401550824904,0.02915892347098077,0.00854557468057143,0.004171574630751635,1.00000000000002e-30,3.423080278986656e-31,5.35509677609595e-30,1.8296110888477844e-29,4.3589115050800866e-07,5.91359241304515e-06,4.781083119219783e-13,2.0433244325801512e-13,1.4730814178597865e-07,1.1844941155709795e-07,1.3380769289206813e-12,1.1437263119498412e-12,0.060745387531955825,0.4120563842805767,0.2308300720927968,0.1752233539258246,3.744224350286248e-15,1.5513251600193012e-15,5.864451719998779e-13,2.35778160975005e-13,0.37388139740221055,0.18253855845480824,0.0812634960393742,0.02525154003549448,1.2132518354787662e-07,5.717647127206981e-08,6.118744462768212e-05,5.565353458139519e-05,0.22408700499035178,0.19101389336163874,5.671328522818439e-06,2.5829808907062264e-06,7.789794684723625e-10,7.594428230392441e-10,2.2414538562920608e-11,2.1852386529171244e-11,0.011333234398424576,0.005524499601115223,3.031531693908178e-11,1.3358516318997504e-11,2.6418382755037604e-06,1.2431244195887995e-06,0.000967580039387495,0.00044003512084861174,2.4270974353882026e-14,2.5494321159992195e-14,0.005297015149588752,0.002782002144700881,3.520707862554048e-20,7.885097327426338e-21,1.3641585263493517e-23,2.4529787215272247e-24,8.581569364630914e-07,4.339078844007249e-07,3.6201079547744116e-09,1.1500922520716476e-09,0.0026248477313893866,0.0008148215262552713,1.3154774703950749e-09,4.384563362624089e-10,3.72005059614437e-05,1.2101828667795963e-05,2.7050803702044465e-10,1.477927708227755e-10,6.077141523120355e-09,2.677906827515408e-09,6.72555597284808e-06,2.870400145853176e-06,1.0518631242173026e-06,3.2652588035371856e-07,8.816261099075677e-09,2.8008870754572432e-09,9.012614114580113e-07,2.6753207589214595e-07,1.1464016534905512e-09,3.479123508795894e-10,1.8296793144992095e-10,5.552748722273386e-11,8.841719049265461e-13,2.683303230486965e-13,0.00012257360745974804,4.1837496497859196e-05,1.124000199122706e-05,3.935513210487175e-06,4.3316956838343165e-06,1.4422328432125421e-06,0.00015608254457638416,5.072267544812849e-05,9.053075587687095e-06,2.8075077898951055e-06,3.0331097694089704e-08,9.626215519386219e-09,3.008930115168123e-08,9.549476271353006e-09,8.849699269837796e-22,1.6117498105790258e-22,4.591922329795418e-25,6.971234095472207e-26,5.998632905783134e-08,1.41133677986136e-08,1.5677634307307126e-10,3.753674526751414e-11,4.345854146898519e-10,1.0405219109229217e-10,4.0232773620345555e-06,9.805935975711185e-07,1.6631484324202978e-23,2.5522248970062264e-24,1.4885299075665935e-24,2.2842597906317045e-25,5.686596543096713e-25,7.46989842394741e-26
0.007,1341.0575778532066,5.182919431626628,0.2670925129469655,0.032902944555534955,0.008545574680571422,0.004159616666727258,1.0000000000000194e-30,3.4132679001005326e-31,5.3550967760959445e-30,1.8243664449145886e-29,4.1783238652684147e-07,5.652345854022801e-06,4.1741154149826414e-13,1.7788067928718286e-13,1.3657107570229695e-07,1.0950102350581991e-07,1.1855894878156717e-12,1.0104821859568633e-12,0.06134111762999321,0.4149046640437286,0.2283941295286145,0.17287724406390093,3.2620610879789358e-15,1.3476786692438465e-15,5.267233941317875e-13,2.1116019796027742e-13,0.3779583419675487,0.18400006924209394,0.08103849024362203,0.025109438507976416,1.1915984568632407e-07,5.599504730398063e-08,5.791175751059016e-05,5.252311473777529e-05,0.22342779305038143,0.1899060376155696,5.581738997768604e-06,2.5348905061796774e-06,6.963615490896049e-10,6.76950862399321e-10,1.98768266658256e-11,1.9322771297157088e-11,0.010614347634475356,0.005159239330745773,2.7239816382849766e-11,1.196888185546583e-11,2.4500422891558424e-06,1.1495695253031415e-06,0.0009402852684823442,0.00042639623770446614,2.0815746420542404e-14,2.1802260365627544e-14,0.0047308340881420845,0.002477520489836277,2.887051870411815e-20,6.447404928501578e-21,1.270507928254568e-23,2.2780308994879997e-24,7.586697259751157e-07,3.825047835052604e-07,3.221988821387685e-09,1.0206773497272122e-09,0.002624847729866026,0.0008124858114888462,1.1898655266444884e-09,3.9545230400666403e-10,3.334786548740911e-05,1.0817414877991809e-05,2.2370069490429723e-10,1.2186911116988767e-10,5.482251045547237e-09,2.4088420473888033e-09,6.307380406362846e-06,2.6842104863513495e-06,1.027410186843644e-06,3.180208093184025e-07,8.499485742603456e-09,2.69250859103489e-09,8.419572588578877e-07,2.4921169574421517e-07,1.0193762836876225e-09,3.0847563008371986e-10,1.644171660992087e-10,4.975462910080343e-11,7.839299561908512e-13,2.3722671504841484e-13,0.00010703054201649646,3.642753111229428e-05,9.432578535586823e-06,3.2932045609014316e-06,3.8136956467983223e-06,1.2661255302319908e-06,0.00014276445962231704,4.6261660190576635e-05,8.580460490172797e-06,2.653314383857236e-06,2.7479906369591946e-08,8.69632963923119e-09,2.71682899494614e-08,8.597715070680436e-09,7.088387145551899e-22,1.2872705582597692e-22,3.878880853078191e-25,5.871848810917625e-26,5.548777212154093e-08,1.3017540991071299e-08,1.3821650296695534e-10,3.299812594720905e-11,3.830851294924688e-10,9.145862527369538e-11,3.5848520488411557e-06,8.71231578340897e-07,1.3170206163421313e-23,2.015272578175916e-24,1.1635509793145284e-24,1.7804371114819045e-25,4.749377203021399e-25,6.220885886979953e-26
0.008,1336.8850276395547,5.183681627626333,0.2670532403103447,0.03664751623284504,0.00854557468057143,0.004149474640848566,1.0000000000000206e-30,3.4049456304907805e-31,5.355096776095948e-30,1.819918253367385e-29,4.024694537221891e-07,5.431244542053687e-06,3.7062881053162036e-13,1.5755903309799586e-13,1.2782781543065724e-07,1.0224088978744801e-07,1.0660243380028866e-12,9.063610770773377e-13,0.06184934547786532,0.41732225507991255,0.22635434019652143,0.1709155295737463,2.8914130659528123e-15,1.191637630067709e-15,4.796710182045585e-13,1.9182832602302056e-13,0.3813917634302681,0.18521884264534688,0.08083461147808298,0.024985199420416913,1.1721131478007299e-07,5.494510736947413e-08,5.517398697066279e-05,4.9918083224527834e-05,0.22282472483832824,0.18893166879313247,5.5129525603780014e-06,2.49754740583457e-06,6.309966584326098e-10,6.119123628261563e-10,1.78841350859485e-11,1.734323504141611e-11,0.010020837530689561,0.004858880224605942,2.4829101053191466e-11,1.08830395006962e-11,2.292769901653352e-06,1.0731537282062149e-06,0.0009168525495716009,0.0004147563406870641,1.8182199836982717e-14,1.899746989332012e-14,0.004284524502342682,0.0022383189594828135,2.4261065881600606e-20,5.404805158976251e-21,1.1953048609230063e-23,2.137965643173642e-24,6.808664118114466e-07,3.4244105929941097e-07,2.9160542844889174e-09,9.215095863748585e-10,0.0026248477284976156,0.0008105047986830962,1.0903708896901984e-09,3.615016480508254e-10,3.037544346584597e-05,9.829193337904302e-06,1.893464536589865e-10,1.029018756787909e-10,5.012165438810595e-09,2.196921843353995e-09,5.964597063953642e-06,2.53214434800056e-06,1.007321368868625e-06,3.1104234901708027e-07,8.226624247780975e-09,2.5997160437507764e-09,7.934593717286763e-07,2.3428413147353195e-07,9.198796213796985e-10,2.776880160025308e-10,1.4975213301903395e-10,4.520632020071445e-11,7.05509877078489e-13,2.1297529968353175e-13,9.505027022922034e-05,3.22712043969627e-05,8.090579054068211e-06,2.817783938453169e-06,3.4109029549287214e-06,1.1296395869327184e-06,0.00013202971006827797,4.267883766179021e-05,8.18537216736463e-06,2.5249707473265264e-06,2.519724728678757e-08,7.95451395745822e-09,2.4838099462190627e-08,7.841134652527352e-09,5.835954824041919e-22,1.0572413329479343e-22,3.3602428334412864e-25,5.074332177855742e-26,5.1813424328910575e-08,1.2125893978633491e-08,1.2373415045224792e-10,2.946854960825027e-11,3.4297088692030234e-10,8.168201388586744e-11,3.2403510662788726e-06,7.8558691668758e-07,1.0736866174569582e-23,1.6389230652560257e-24,9.376493369954013e-25,1.431269702479446e-25,4.056264575866243e-25,5.300070560791655e-26
0.009000000000000001,1333.1823136121134,5.184645814555354,0.26700357650439355,0.04039278441648506,0.008545574680571435,0.004140701838833272,1.0000000000000211e-30,3.397746908610405e-31,5.355096776095953e-30,1.8160705897707363e-29,3.8917735178845365e-07,5.240766810557338e-06,3.334805717482897e-13,1.4146712025903914e-13,1.2053803972533922e-07,9.620645726040158e-08,9.696774888448878e-13,8.227014917705253e-13,0.062291400691133696,0.4194163712572281,0.22460733754180923,0.16923784361374414,2.597772692845319e-15,1.068356167813978e-15,4.415444028261887e-13,1.7620753919618181e-13,0.38434106180569677,0.18625652089026296,0.08065305836980274,0.024876378140497042,1.1544622381051494e-07,5.400327090086638e-08,5.28402753939584e-05,4.770560958216917e-05,0.22227017630083215,0.1880630261539421,5.458647212082646e-06,2.467717020307156e-06,5.779117888003717e-10,5.592481632148354e-10,1.6276575560521857e-11,1.575092455640087e-11,0.00952020050768384,0.004606373109649659,2.2884880924851303e-11,1.0009645823878157e-11,2.160952898518872e-06,1.009317055509847e-06,0.0008963996627401888,0.0004046467587597111,1.6113669938588582e-14,1.680059436360131e-14,0.003923041142028671,0.002045140031728738,2.0783520554366327e-20,4.620299461856892e-21,1.1332509269072548e-23,2.022688305893123e-24,6.183100906370568e-07,3.103209528249433e-07,2.673362451737926e-09,8.430298287587402e-10,0.0026248477272544186,0.0008087912324280296,1.0093483034449265e-09,3.339319203630513e-10,2.8008952394594846e-05,9.044258367427118e-06,1.632276581006195e-10,8.851985822975558e-11,4.63030428989696e-09,2.0252544092690476e-09,5.676976807202708e-06,2.4049459127307164e-06,9.904146247340785e-07,3.051752894600493e-07,7.988060894921043e-09,2.5189901219648905e-09,7.528529044268968e-07,2.2182431779452395e-07,8.397133689253012e-10,2.529519616968536e-10,1.378410494441224e-10,4.152269708873176e-11,6.424286630579301e-13,1.935226906995288e-13,8.553497510054386e-05,2.8979200247537985e-05,7.0592478827914955e-06,2.4533943465990993e-06,3.088558892479255e-06,1.0207215204339703e-06,0.0001231622568465876,3.972824645195147e-05,7.848450711201544e-06,2.415920840867987e-06,2.3323558781763658e-08,7.347442763707043e-09,2.2931334039544748e-08,7.223883195849994e-09,4.909667669373098e-22,8.875547503953627e-23,2.9673280364665463e-25,4.4715144100262245e-26,4.8743623000728626e-08,1.1383350853157852e-08,1.1211328077424568e-10,2.664447002404927e-11,3.1082336084500614e-10,7.386924781449682e-11,2.9620542825711793e-06,7.165987305386074e-07,8.954838500994443e-24,1.364016517733076e-24,7.7389416847460625e-25,1.178809007733016e-25,3.525739661691308e-25,4.5971265826930077e-26
