cell,z,T,p,u,dz,dt_try,used_fallback,substeps,halvings,dt_min,dt_effective,X_H2,X_CO,X_CO2,X_CH4,X_H2O,X_O2,X_N2,X_O,X_OH,X_H,X_HO2,X_H2O2,H2_CO
0,0.0,1698.3781359583252,5101300.0,0.14005237079871133,0.001,0.007140186162483737,1,16,16,1e-08,0.007140186162483737,0.4415895677598368,0.2030447796165333,0.023824546216098613,0.14041484601255694,0.17582322986663979,1.0056491910585625e-12,0.004331698425225751,6.000353002878878e-12,3.0766450079760874e-07,1.3308697423247414e-05,8.043500555649764e-15,7.588337614320194e-13,2.174838321841196
1,0.001,1682.2226617979613,5101300.0,0.2712905567718244,0.001,0.003686084808477409,0,37,0,1e-08,0.003686084808477409,0.4509343524649135,0.2080288382142069,0.023293448940803006,0.1371067631040995,0.16781008081055793,6.498461207835607e-13,0.004290074715363455,4.093916381825406e-12,2.4047934030994845e-07,1.1579058928208322e-05,5.166172675907329e-15,5.358651840280648e-13,2.1676530827932003
2,0.002,1671.0772467625136,5101300.0,0.2713169863134265,0.001,0.0036857257394300996,0,37,0,1e-08,0.0036857257394300996,0.45683150684107476,0.21100824581197417,0.022938204282893886,0.1347928116769788,0.16296042486309453,4.806889862761533e-13,0.004263829490351157,3.1340782691058718e-12,2.0301965411715817e-07,1.0488826534680876e-05,3.8070498035313195e-15,4.227620372456484e-13,2.1649936242214416
3,0.003,1662.6265403526586,5101300.0,0.2711783169176753,0.001,0.003687610467409094,0,37,0,1e-08,0.003687610467409094,0.4610755679793829,0.21305377848129978,0.02268702067777257,0.13302224003439359,0.1595672018469759,3.8224604512498395e-13,0.0042450193494226384,2.554170843159147e-12,1.7855214839955775e-07,9.717265927697669e-06,3.0197041918625106e-15,3.5351123355702635e-13,2.1641276266773772
4,0.004,1655.8487722927298,5101300.0,0.2710024544635788,0.001,0.0036900034797817463,0,37,0,1e-08,0.0036900034797817463,0.46436012202537835,0.2145774332354477,0.02249837622451931,0.13159357504370298,0.15699477990021274,3.1791639344915815e-13,0.004230522357645015,2.164747622832112e-12,1.610528483996194e-07,9.131848907330203e-06,2.506879349506412e-15,3.063480071377077e-13,2.1640678379997844
5,0.005,1650.2059305244513,5101300.0,0.270822538963077,0.001,0.0036924548592919605,0,37,0,1e-08,0.0036924548592919605,0.4670227071683442,0.2157746655997336,0.02234992755062892,0.1303992948610672,0.15494252143528625,2.725904006255959e-13,0.004218813404740893,1.8844986326595777e-12,1.4777611110040402e-07,8.666528556779589e-06,2.146430597930169e-15,2.7194267644253723e-13,2.1644000970655233
6,0.006,1645.3811641613943,5101300.0,0.2706486750213583,0.001,0.003694826881827834,0,37,0,1e-08,0.003694826881827834,0.46925178001268797,0.2167514197194228,0.022228931647276302,0.12937534563184352,0.1532463251856764,2.389197098538553e-13,0.0042090415163825,1.672714917369456e-12,1.3727605925317015e-07,8.284171416605578e-06,1.8791761338735538e-15,2.4560832977922076e-13,2.164930594780501
7,0.007,1641.1727215369413,5101300.0,0.2704838550002272,0.001,0.003697078333932944,0,37,0,1e-08,0.003697078333932944,0.4711627108847458,0.21757072341546252,0.022127632115609704,0.128480554320991,0.15180757094111869,2.1290812652374055e-13,0.004200686847250269,1.506745103358881e-12,1.2871236147060699e-07,7.96205757639658e-06,1.6730275001639438e-15,2.2472310646945404e-13,2.1655611724240873
8,0.008,1637.4445031040868,5101300.0,0.2703285907728915,0.0010000000000000009,0.0036992017645670378,0,37,0,1e-08,0.0036992017645670378,0.4728309762697805,0.21827274432884797,0.02204103182594796,0.127686929049217,0.15056273224811229,1.921981206424916e-13,0.004193410174402536,1.3729730612104037e-12,1.2156017673494972e-07,7.685385884725515e-06,1.5090999646893632e-15,2.0770120815909257e-13,2.166239205557507
9,0.009000000000000001,1634.1005166104303,5101300.0,0.2701824955834016,0.0009999999999999992,0.0037012020258407633,0,38,0,1e-08,0.0037012020258407633,0.47430850176770734,0.2188844732709063,0.021965755119833043,0.126974598791164,0.14946867977340733,1.7530978708459944e-13,0.0041869787186761985,1.2627153916362493e-12,1.154731822094713e-07,7.444035204842671e-06,1.375562457885874e-15,1.9352474482952296e-13,2.166935345755068
10,0.01,1631.0706163591976,5101300.0,0.27004487968548113,0.0009999999999999992,0.003703088172472258,0,38,0,1e-08,0.003703088172472258,0.4756324512980798,0.21942482436394625,0.02189943036012583,0.12632896372358646,0.14849489820863768,1.6126750408899083e-13,0.004181226279542976,1.1701693487710072e-12,1.1021271074274894e-07,7.230812399069345e-06,1.264628369745822e-15,1.815090356572229e-13,2.167632822206014
11,0.011,1628.3020425905704,5101300.0,0.2699149862613911,0.0010000000000000009,0.003704870240259949,0,38,0,1e-08,0.003704870240259949,0.4768302864745884,0.21990751130075775,0.02184033591481058,0.1257389916912758,0.14761906579538836,1.4940208510412423e-13,0.004176030321049751,1.0913072832731862e-12,1.0560839494582621e-07,7.04044191651574e-06,1.17096436254638e-15,1.7117575974409927e-13,2.1683219625110883
12,0.012,1625.7541486991038,5101300.0,0.26979208500616353,0.0010000000000000009,0.0037065579591675397,0,38,0,1e-08,0.0037065579591675397,0.47792284130004764,0.22034276160257701,0.02178718717528251,0.12519614947733743,0.14682439958147325,1.3923924180569696e-13,0.004171298071331515,1.0232444350135227e-12,1.0153502938225634e-07,6.868952087517924e-06,1.0907950274604769e-15,1.6218014625090988e-13,2.1689972378673232
13,0.013000000000000001,1623.3949790852505,5101300.0,0.2696755063991963,0.0009999999999999992,0.003708160275111212,0,38,0,1e-08,0.003708160275111212,0.4789262753352655,0.2207383859348835,0.021739002983506506,0.12469370513702563,0.1460979867777883,1.3043343493603312e-13,0.004166957709085251,9.63859267875602e-13,9.789831733278181e-08,6.713286088077591e-06,1.0213727464719653e-15,1.5426707216434677e-13,2.169655600709819
