z_m,T_C,rho_kg_m3,u_m_s,residence_time_s,Y_H2,X_H2,Y_H,X_H,Y_O,X_O,Y_O2,X_O2,Y_OH,X_OH,Y_H2O,X_H2O,Y_HO2,X_HO2,Y_H2O2,X_H2O2,Y_C,X_C,Y_CH,X_CH,Y_CH2,X_CH2,Y_CH2(S),X_CH2(S),Y_CH3,X_CH3,Y_CH4,X_CH4,Y_CO,X_CO,Y_CO2,X_CO2,Y_HCO,X_HCO,Y_CH2O,X_CH2O,Y_CH2OH,X_CH2OH,Y_CH3O,X_CH3O,Y_CH3OH,X_CH3OH,Y_C2H,X_C2H,Y_C2H2,X_C2H2,Y_C2H3,X_C2H3,Y_C2H4,X_C2H4,Y_C2H5,X_C2H5,Y_C2H6,X_C2H6,Y_HCCO,X_HCCO,Y_CH2CO,X_CH2CO,Y_HCCOH,X_HCCOH,Y_N,X_N,Y_NH,X_NH,Y_NH2,X_NH2,Y_NH3,X_NH3,Y_NNH,X_NNH,Y_NO,X_NO,Y_NO2,X_NO2,Y_N2O,X_N2O,Y_HNO,X_HNO,Y_CN,X_CN,Y_HCN,X_HCN,Y_H2CN,X_H2CN,Y_HCNN,X_HCNN,Y_HCNO,X_HCNO,Y_HOCN,X_HOCN,Y_HNCO,X_HNCO,Y_NCO,X_NCO,Y_N2,X_N2,Y_AR,X_AR,Y_C3H7,X_C3H7,Y_C3H8,X_C3H8,Y_CH2CHO,X_CH2CHO,Y_CH3CHO,X_CH3CHO
0.0,1026.85,9.499813942411178,0.14121973023936496,0.0070811635053049425,1.1035033712950145e-29,1.1017800617433941e-28,2.207006742590029e-29,4.4071202469735765e-28,1.3905011541538527e-30,1.749404694777047e-30,0.34297478300617606,0.2157501609361325,1.3080865505560938e-30,1.5481767499479152e-30,0.18946210488464732,0.21168976649523918,9.999999999999999e-31,6.098441709525593e-31,9.999999999999999e-31,5.917715266202202e-31,1.8521878249361e-30,3.1039708248878886e-30,1.7087816241883012e-30,2.641926374542313e-30,1.585986167056926e-30,2.2758643373365708e-30,1.585986167056926e-30,2.2758643373365708e-30,1.4796560003530091e-30,1.9809298651758955e-30,0.4438426208978307,0.5568717577623298,9.999999999999999e-31,7.1861894703535075e-31,0.0011995746510752184,0.000548652739321813,9.999999999999999e-31,6.936562377303802e-31,9.999999999999999e-31,6.703695699214072e-31,9.999999999999999e-31,6.485956275845902e-31,9.999999999999999e-31,6.485956275845902e-31,9.999999999999999e-31,6.281916455421064e-31,9.999999999999999e-31,8.041756574694436e-31,9.999999999999999e-31,7.730438861072347e-31,9.999999999999999e-31,7.442326668069279e-31,9.999999999999999e-31,7.174918623533249e-31,9.999999999999999e-31,6.926060390358604e-31,0.009642734695181558,0.00645473716022365,9.999999999999999e-31,4.9059242746496805e-31,9.999999999999999e-31,4.788285726017597e-31,9.999999999999999e-31,4.788285726017597e-31,1.588250729300171e-30,2.2823681972418114e-30,1.481626904116383e-30,1.9862105822342644e-30,1.3884183963869122e-30,1.744167939039544e-30,1.3062432015329396e-30,1.5438164585024841e-30,9.999999999999999e-31,6.93560633535255e-31,9.999999999999999e-31,6.708163936032851e-31,9.999999999999999e-31,4.375288926521068e-31,9.999999999999999e-31,4.573311682107599e-31,9.999999999999999e-31,6.490138874850123e-31,9.999999999999999e-31,7.736381238550301e-31,9.999999999999999e-31,7.447834199089831e-31,9.999999999999999e-31,7.1800373498110055e-31,9.999999999999999e-31,4.90544603281753e-31,9.999999999999999e-31,4.678330437294636e-31,9.999999999999999e-31,4.678330437294636e-31,9.999999999999999e-31,4.678330437294636e-31,9.999999999999999e-31,4.7905649395388e-31,0.010709719995837608,0.007695108797662879,9.999999999999999e-31,5.038427210628329e-31,9.999999999999999e-31,4.671381723052327e-31,0.002168461869251356,0.000989816109090137,9.999999999999999e-31,4.676156744444226e-31,9.999999999999999e-31,4.569159127973163e-31
0.001,1505.779219726539,5.105551041499156,0.26276520425844935,0.010886842430039683,0.047610359524574396,0.34959526737206226,1.7011554279526282e-06,2.4982625320002788e-05,3.433409061450405e-11,3.176781332989768e-11,3.3451691337259454e-11,1.5475684180819592e-11,1.4475252670235615e-06,1.2599492519683012e-06,0.3425915886930975,0.28151208348403645,3.169138897409155e-13,1.4213564024431092e-13,1.8838021465797227e-11,8.198458291231915e-12,8.546910836846384e-14,1.0533789073523707e-13,5.35702991413613e-12,6.091174706026042e-12,2.5744100279214522e-08,2.716861709082323e-08,5.790193194764294e-10,6.110586118150457e-10,0.00020669259654635926,0.0002035054761248156,0.15295260904908045,0.1411321369846733,0.2547454742309554,0.1346319015485011,0.08566770918403084,0.02881577237557713,2.1436004504067e-07,1.0935306868094914e-07,1.1511788094119493e-05,5.6754449809851925e-06,3.103656273732903e-08,1.4804388498294803e-08,6.239117792346286e-10,2.9760487482534525e-10,1.370740123670554e-05,6.3327175890810675e-06,3.76863202740592e-08,2.2288328319746675e-08,0.06871208774476581,0.03906430779532547,1.588898595321059e-05,8.69656503211327e-06,0.03563154189498249,0.018801583811456888,1.1820083173668223e-05,6.020736847508951e-06,0.0009871430964510232,0.00048596086459616535,4.343191473345628e-08,1.5670132024570334e-08,8.828304792949072e-05,3.1088532014014e-05,2.7281843433361102e-05,9.607195071660425e-06,1.1385423942126986e-14,1.2032578101731469e-14,3.4482180407204673e-14,3.3995700516861165e-14,1.1125707527868907e-13,1.0278705377132836e-13,6.270948333890648e-10,5.450642337272959e-10,2.8497952317093438e-11,1.4535866618456478e-11,1.4913890384530718e-11,7.357621682814802e-12,4.0322272942371966e-18,1.2974618040714687e-18,2.758298746021801e-13,9.277157754981741e-14,1.606325100573279e-14,7.667084941394764e-15,5.273664745285618e-15,3.0004971580533495e-15,6.9080264426937245e-09,3.7837883036575955e-09,3.0866595532604716e-14,1.6298899190159247e-14,1.5192015911726616e-14,5.4807090532946816e-15,2.5037622217173457e-14,8.614435324832389e-15,1.7331119205572105e-12,5.962938661202306e-13,1.7577643607721552e-09,6.047757758634519e-10,3.1916745902905854e-14,1.1244707861917453e-14,0.01070971529215178,0.005659230888333962,1.0000000000000003e-30,3.7054232983420743e-31,1.5168434897567773e-07,5.2110947321819066e-08,1.2097620075200543e-05,4.061117062570011e-06,1.0261662591249102e-08,3.5289835187160448e-09,8.144039124697277e-07,2.73664821236861e-07
0.002,1500.562853457242,5.042588301853605,0.2660461417757068,0.014645588914110335,0.050629694331889186,0.36610437887165864,1.688641445360876e-06,2.4421203234537295e-05,3.069340658816561e-11,2.796677573058547e-11,2.5379012203100763e-11,1.1562241234271711e-11,1.260306551157195e-06,1.0802857012923642e-06,0.3233675906897412,0.2616690575113127,2.3791127650188743e-13,1.0507811602471325e-13,1.4682607253817318e-11,6.292679610141944e-12,6.367314284987572e-14,7.728002707417312e-14,4.1781156505183376e-12,4.67835286998909e-12,2.079087605858346e-08,2.160718240481244e-08,4.944598552541826e-10,5.138736941257204e-10,0.00019631118435242144,0.00019034074134606697,0.15556596900252675,0.14135759925947866,0.2845549736891707,0.14809596224848814,0.08574625105281958,0.02840297205705889,2.366760397005658e-07,1.1889866079119854e-07,1.0330436484137265e-05,5.015466538665755e-06,2.601211559098512e-08,1.2218786184183263e-08,5.116852922098614e-10,2.4035619698962176e-10,1.160697054561636e-05,5.280674664769597e-06,2.8220802252268383e-08,1.643609533746583e-08,0.05637652330155851,0.03156318441725427,1.3155435132142273e-05,7.090752381971323e-06,0.03175503872490239,0.016500913960226765,1.0631378426241978e-05,5.332786839432497e-06,0.0009461641181769889,0.00045869413982432226,3.2846036158701794e-08,1.1670304301317365e-08,7.149934173590033e-05,2.4794792288860637e-05,1.9442119367778595e-05,6.742206287156031e-06,8.926457862606152e-15,9.29018101972272e-15,3.1563321227604144e-14,3.064414470604016e-14,1.3997161575098107e-13,1.2734628760059136e-13,8.492664239178759e-10,7.269322745542549e-10,2.7736325824629165e-11,1.3931944586283483e-11,1.1961513183942588e-11,5.811231332454299e-12,2.8144956796374153e-18,8.918374331030277e-19,2.339628948773406e-13,7.749187340053152e-14,1.3062840004531864e-14,6.1400226154734635e-15,5.323757589453723e-15,2.982871252266214e-15,7.591409087738796e-09,4.094781841692435e-09,3.389372400742934e-14,1.762480681763901e-14,1.1971930755973516e-14,4.2532515779762735e-15,1.5578902008066693e-14,5.278446357086335e-15,1.7261320049977465e-12,5.848483538129127e-13,1.872903513899917e-09,6.345775026378797e-10,3.1535121195779025e-14,1.0941065285021422e-14,0.010709714719889532,0.005573049800310955,1.0000000000000041e-30,3.6489957882616678e-31,1.2876769887477785e-07,4.356429249874782e-08,1.0946582554812525e-05,3.6187589719320055e-06,8.373328944026298e-09,2.8357346263601574e-09,7.148489230982955e-07,2.3655325255869264e-07
0.003,1495.1693883599419,4.999225651409764,0.26835379233044804,0.01837201286853171,0.05293490197154662,0.37832788687234803,1.6566417515612179e-06,2.3680171298307164e-05,2.7479950897347796e-11,2.4747987230987536e-11,2.008602485841539e-11,9.04457014086838e-12,1.1166302441940341e-06,9.460159183898288e-07,0.30918933916661256,0.24729026154758024,1.862545644514602e-13,8.130753571272321e-14,1.1914130658178781e-11,5.046861893190352e-12,4.892673773464368e-14,5.869266936041007e-14,3.3440574118606232e-12,3.700947012666988e-12,1.7286170449992683e-08,1.7756230059673002e-08,4.279832501793457e-10,4.3962131889508617e-10,0.00018621927409313808,0.00017845879913200538,0.15720674746516597,0.14118948959649374,0.3071883529021802,0.15801867133392825,0.08529377220638387,0.02792496200628565,2.510438662878335e-07,1.2465190147267764e-07,9.547166776210397e-06,4.581353444314491e-06,2.2325147440949954e-08,1.0365096488040785e-08,4.310185296075714e-10,2.0011283953813133e-10,1.0148130109172829e-05,4.563343698746352e-06,2.1800389523801636e-08,1.2549319408988396e-08,0.04751634881036092,0.026293730567966293,1.1114460998084069e-05,5.921096400179946e-06,0.028734906708704874,0.014758144834306574,9.64484987173065e-06,4.781748637883869e-06,0.0009102257410561202,0.00043614656291343716,2.6057238040881095e-08,9.150697896387545e-09,6.043932873456056e-05,2.0715942018243125e-05,1.4649097356273034e-05,5.021065882199647e-06,7.20335079366203e-15,7.409795214868483e-15,2.8847246847990014e-14,2.7681894147094338e-14,1.6001536155502353e-13,1.4389132566968065e-13,1.0390276393953017e-09,8.790300479117638e-10,2.677291531801488e-11,1.3291839725524932e-11,9.916285305823666e-12,4.761652280935202e-12,2.0793938443461818e-18,6.512511275924594e-19,2.030007575469141e-13,6.645588655454748e-14,1.0926119271571017e-14,5.076038691544639e-15,5.230109649569633e-15,2.8963674218751644e-15,8.081569024439188e-09,4.308545498226236e-09,3.580511420805413e-14,1.8402497340426784e-14,9.727380634675466e-15,3.4156975588342777e-15,1.0591961530609337e-14,3.547090630064821e-15,1.6988748106849308e-12,5.689279464638497e-13,1.9482002056052066e-09,6.52423318836869e-10,3.058156503844909e-14,1.0487004048339962e-14,0.0107097142871729,0.005508324663816565,1.0000000000000029e-30,3.606616669680572e-31,1.1135213789629233e-07,3.723479042404417e-08,1.0040864030291652e-05,3.280792857124862e-06,7.0845834896141765e-09,2.3714194624459927e-09,6.453175696989365e-07,2.1106429416691623e-07
0.004,1489.915920267429,4.967861700089411,0.270048009236513,0.022075058126399844,0.054771315775407954,0.3878412649926009,1.6166712549948716e-06,2.289562760133332e-05,2.4719066405047954e-11,2.205619506860873e-11,1.640250388817857e-11,7.31776879116681e-12,1.0033171659967764e-06,8.421741353432343e-07,0.2982295077853537,0.23632393726001918,1.5052762687432277e-13,6.510505165646068e-14,9.957766810549057e-12,4.179223648233012e-12,3.858800360250626e-14,4.586321672336988e-14,2.735770986345644e-12,2.999808150055469e-12,1.4694980286655824e-08,1.495531548909479e-08,3.7490692888140167e-10,3.815487527778747e-10,0.00017687370320060156,0.0001679388614660043,0.15825973113651595,0.14082384837714115,0.32501606128466626,0.1656468121874022,0.08468242317223487,0.027469018680704217,2.603495541509217e-07,1.2807982638097826e-07,8.990379525691624e-06,4.274368038252471e-06,1.951374359681371e-08,8.976234849619042e-09,3.7057423175957345e-10,1.704624905512354e-10,9.066935122291702e-06,4.0395432318922855e-06,1.7278312287068235e-08,9.854437464138154e-09,0.04086183777340108,0.022402765909625408,9.54744542331041e-06,5.0393614460190494e-06,0.02630061104911913,0.013383275381210497,8.819725765697287e-06,4.3323242289529445e-06,0.0008784204449827835,0.00041702335267882764,2.1401246442025076e-08,7.446282426253472e-09,5.262919306415993e-05,1.7872543584215764e-05,1.1483963284133e-05,3.899881840578184e-06,5.946379392093918e-15,6.0603660180572835e-15,2.6375625902429583e-14,2.507660886988679e-14,1.7408309076982188e-13,1.5509725960954995e-13,1.2030825644551854e-09,1.0084320784226439e-09,2.5770962613090293e-11,1.2676363124558001e-11,8.408127501826996e-12,4.0002077979681854e-12,1.5981862991168239e-18,4.959224130040249e-19,1.7925133207275946e-13,5.81397002300659e-14,9.318584337827868e-15,4.2892713917232194e-15,5.072157872433451e-15,2.782980873388606e-15,8.446740177594484e-09,4.461683212070649e-09,3.7016085938453874e-14,1.8849368031264845e-14,8.093943407541774e-15,2.8159067027899244e-15,7.642637479071408e-15,2.535792710319057e-15,1.6615305413449693e-12,5.512883538245454e-13,1.994234755422273e-09,6.616781143044793e-10,2.934428225412611e-14,9.969877426412907e-15,0.01070971394969256,0.005457504659904967,1.0000000000000034e-30,3.5733420055675917e-31,9.772579436237347e-08,3.237681788066563e-08,9.302587214740132e-06,3.0115222348747736e-06,6.153953195547181e-09,2.040905260042109e-09,5.941101541456908e-07,1.9252310365067968e-07
0.005,1484.9076060988968,4.94435793103109,0.27133172415608214,0.025760583669387053,0.056281018898193355,0.3955193615389647,1.574026842685702e-06,2.2123199048346502e-05,2.2358400768282724e-11,1.979904408667358e-11,1.3718897362580088e-11,6.074250491287159e-12,9.117510349898644e-07,7.595299047188115e-07,0.2894595904672286,0.227640746680837,1.2469656798531156e-13,5.352515453610744e-14,8.511820535152379e-12,3.545366000116346e-12,3.1100186293881736e-14,3.668429254461423e-14,2.279349967060395e-12,2.4804456109429907e-12,1.2711246367503495e-08,1.2838658996055438e-08,3.31831253851944e-10,3.3515740229298525e-10,0.00016835921888953985,0.0001586462439310486,0.158934409909762,0.14035525413947036,0.3394698001116774,0.17170556084928712,0.0840449110598406,0.027056165460404655,2.663237882783449e-07,1.3002857646239595e-07,8.574618570756358e-06,4.04588612052058e-06,1.7303665086017357e-08,7.899446634234104e-09,3.2377615506901853e-10,1.4780986835395876e-10,8.228506380325326e-06,3.63829340110071e-06,1.3987008671293642e-08,7.916994060276397e-09,0.03569272374865567,0.019420857096186267,8.314442472186793e-06,4.355383621950644e-06,0.024287955197951763,0.012265704144290674,8.12169576164264e-06,3.959292096376144e-06,0.000850016581629955,0.0004004887253699425,1.8042501791954724e-08,6.2302023123765974e-09,4.682884632839916e-05,1.578258251271605e-05,9.273634650709579e-06,3.125464655721105e-06,4.998942200295251e-15,5.056258991346563e-15,2.416842206554687e-14,2.2804433320653942e-14,1.8394825109214916e-13,1.62647785645209e-13,1.3464307250811554e-09,1.1200571665682286e-09,2.4795425029984673e-11,1.2104324108713615e-11,7.2530569433936344e-12,3.4245956978765035e-12,1.2655816375868255e-18,3.897458096287553e-19,1.6047568217644387e-13,5.1656453162220365e-14,8.069817896418086e-15,3.686398465126928e-15,4.88790028765688e-15,2.6616120437056117e-15,8.726547094584337e-09,4.574640694020731e-09,3.7769678867050174e-14,1.9087741634137113e-14,6.863031425751565e-15,2.369621828892887e-15,5.758626254806626e-15,1.896244519253411e-15,1.6198738454880798e-12,5.334044554158801e-13,2.020348348036129e-09,6.652757641196911e-10,2.8006198728682792e-14,9.443336166381105e-15,0.010709713679780644,0.005416254471289931,1.0000000000000027e-30,3.5463332253414325e-31,8.680241087743396e-08,2.8540507869035143e-08,8.685293529877542e-06,2.7904341642811584e-06,5.4522811157069985e-09,1.7945346653446547e-09,5.548578260342913e-07,1.784442471910073e-07
0.006,1480.1716194315986,4.926270593274876,0.2723279480633694,0.029432626906636082,0.05755247579783505,0.40188949560744947,1.531258158524334e-06,2.1385581087279165e-05,2.0334338665922265e-11,1.7892473631051684e-11,1.1692498302701221e-11,5.144197728761236e-12,8.362202404602323e-07,6.921912984138983e-07,0.2822533849028791,0.22056574454147257,1.05348746129039e-13,4.493343783026169e-14,7.405042557572906e-12,3.064806240468132e-12,2.5523556579957362e-14,2.9915426294001855e-14,1.928326979505976e-12,2.0851448147962648e-12,1.1149750795304248e-08,1.119008886799573e-08,2.963415952265722e-10,2.974137132522768e-10,0.00016063817668526408,0.00015041062139300603,0.15935422714746036,0.13983348346497876,0.35146051008508655,0.17664306756401998,0.08343112399652691,0.02668822964655203,2.7004116829800663e-07,1.3100735357201873e-07,8.252615828421652e-06,3.8692547116081986e-06,1.552329168057382e-08,7.041727810810606e-09,2.8658372293875277e-10,1.3000107280525308e-10,7.556283215291829e-06,3.3198753903205605e-06,1.1524109357034253e-08,6.48156219989959e-09,0.03157062581114646,0.017069026002750367,7.3238605229279805e-06,3.8121518626339743e-06,0.022590716177645753,0.011336222946166158,7.524387364462302e-06,3.6448429399868385e-06,0.0008244410055252817,0.0003859751352441357,1.55228111709125e-08,5.3261404466841945e-09,4.235297792221896e-05,1.4183565185361356e-05,7.663276047830686e-06,2.5663502471405496e-06,4.265548513738237e-15,4.287093238334898e-15,2.221577570255646e-14,2.0829043036316158e-14,1.9080743458987744e-13,1.6764269413590924e-13,1.4729082520087054e-09,1.2174992944939806e-09,2.3871530893428708e-11,1.1579401306389092e-11,6.343875139036147e-12,2.9763204850358785e-12,1.0261686811921557e-18,3.140124682450959e-19,1.4526268677559086e-13,4.646289568482396e-14,7.0768824645795934e-15,3.2123094257311814e-15,4.696236142906571e-15,2.5410264697755123e-15,8.945609773699722e-09,4.659736393169198e-09,3.821518924605349e-14,1.9190403989569244e-14,5.908929992844679e-15,2.027256708576798e-15,4.485313140120545e-15,1.4675910729179226e-15,1.5770546473056044e-12,5.16011089880611e-13,2.0330945861935717e-09,6.652270135625925e-10,2.6666888452030612e-14,8.934710299120518e-15,0.010709713459413425,0.005381903406851406,1.0000000000000025e-30,3.523841680849107e-31,7.786866374998093e-08,2.544072472329488e-08,8.159100217467476e-06,2.6047520876935993e-06,4.905062414236548e-09,1.604187018536414e-09,5.238171496221888e-07,1.6739303966594872e-07
0.007,1475.7047325665385,4.912064774832097,0.2731155275364465,0.033094081123539044,0.05864390972751346,0.40728979734642246,1.489606274836209e-06,2.069102966098312e-05,1.858933825745125e-11,1.6268302301261552e-11,1.0117978846263702e-11,4.427331846597852e-12,7.728312118196979e-07,6.362504227866605e-07,0.2762064278932142,0.214669654417342,9.043679029488744e-14,3.8363956274010256e-14,6.533870087662013e-12,2.6895766773702344e-12,2.1270374402428883e-14,2.479517111681073e-14,1.6526104684345585e-12,1.777313398074122e-12,9.89261048882422e-09,9.874548673076349e-09,2.667079464448143e-10,2.6622099410876296e-10,0.0001536359616507246,0.00014307395845061194,0.15959638229893655,0.13928636398150684,0.3615950173779698,0.1807509010520962,0.08285875425943916,0.026361373931882856,2.7219291807777007e-07,1.31335002739215e-07,7.996121181281568e-06,3.7286621078674734e-06,1.4060172402982952e-08,6.343428257446899e-09,2.563897309974596e-10,1.1567353642004028e-10,7.003360963661124e-06,3.0602579677332034e-06,9.63741459381235e-09,5.3910186604398815e-09,0.028213578239079152,0.015171261337654271,6.513911380261263e-06,3.3721737582114033e-06,0.02113669815548817,0.01054905350616396,7.007854502895434e-06,3.376219860845516e-06,0.0008012448112414338,0.0003730808386285928,1.3572832288892577e-08,4.631809542174302e-09,3.8793947614903436e-05,1.2921216478770814e-05,6.4504186731964434e-06,2.1484602928900544e-06,3.685256978201278e-15,3.683780892388702e-15,2.0493773138636573e-14,1.9110309915215648e-14,1.9548416862711112e-13,1.708200722632903e-13,1.5854880543710685e-09,1.3034487731260688e-09,2.3007395746308016e-11,1.1099700674399627e-11,5.612654109238555e-12,2.6189747792602104e-12,8.48226785478835e-19,2.581535430060124e-19,1.3268562716072722e-13,4.220987364057366e-14,6.2724137196456506e-15,2.8317053142332344e-15,4.5067119065745276e-15,2.425252882709877e-15,9.120041231383739e-09,4.7248298313567135e-09,3.844815968410776e-14,1.920267052715607e-14,5.152131912039818e-15,1.7580241877291713e-15,3.5865174587621915e-15,1.1671406966390514e-15,1.5347588784783296e-12,4.994481602825901e-13,2.036860765735597e-09,6.628444223154209e-10,2.537665628484311e-14,8.456302282061301e-15,0.010709713276389832,0.005352711814113781,1.0000000000000025e-30,3.504728326130711e-31,7.043934762988255e-08,2.2888643360623466e-08,7.703700846296695e-06,2.44602846895145e-06,4.4666120702782955e-09,1.4528696961074188e-09,4.98651436997159e-07,1.5848666550197127e-07
0.008,1471.4920550846678,4.900728460419314,0.27374729555137983,0.036747085249062214,0.059595370149455436,0.4119478979963116,1.4496556197822766e-06,2.0041240918219415e-05,1.707536846518271e-11,1.4872964556746827e-11,8.865747119384734e-12,3.861115587185031e-12,7.188514940649195e-07,5.890223382511815e-07,0.2710450494542636,0.20966575888964703,7.867025502156147e-14,3.3215283230476454e-14,5.832365259388648e-12,2.389501483257549e-12,1.7959993698149747e-14,2.0837581448365872e-14,1.432099992878857e-12,1.5329077255515688e-12,8.861525552766779e-09,8.80367485727827e-09,2.4167038504378377e-10,2.400926883175814e-10,0.0001472718527206917,0.00013650124589832598,0.15971144026202266,0.13873011300099955,0.3702934331172672,0.18422696555755963,0.08233227720277264,0.026070473836182075,2.7323790439147745e-07,1.3121810660546714e-07,7.787214059389917e-06,3.614139654069193e-06,1.2837709175489681e-08,5.76461190881349e-09,2.3144166573217318e-10,1.0392597029870212e-10,6.539283300748824e-06,2.844008132847715e-06,8.163013645268324e-09,4.544749706399073e-09,0.025432027557531763,0.013611113648919142,5.841663929050653e-06,3.009912164046572e-06,0.019874864041513417,0.009872557485289047,6.5569411458692035e-06,3.1440980735624314e-06,0.0007800730764778511,0.00036151153415891747,1.2025155891657588e-08,4.084323004946057e-09,3.589490266734611e-05,1.1899298597187875e-05,5.5121978849769406e-06,1.8273148465672543e-06,3.217615439034059e-15,3.201174184201182e-15,1.8974559768448148e-14,1.7610296552261297e-14,1.9855579009098636e-13,1.726867518695007e-13,1.6864949851652273e-09,1.3799558839865096e-09,2.2203563178572455e-11,1.0661434283517692e-11,5.0140375580224864e-12,2.3286261769716684e-12,7.124698202743386e-19,2.1581505388443637e-19,1.2211283593266113e-13,3.866345344980908e-14,5.6102598842180974e-15,2.520841235889412e-15,4.324078881098823e-15,2.3160076838817486e-15,9.260827484073121e-09,4.775164299298094e-09,3.8531841344821026e-14,1.9153801918883152e-14,4.5402226644365685e-15,1.5419283003894897e-15,2.9296995878110975e-15,9.489045047330915e-16,1.493861338975679e-12,4.838488423516922e-13,2.0345706832271307e-09,6.58979949529416e-10,2.4158625176985077e-14,8.01248948256236e-15,0.01070971312217255,0.0053274945089757985,1.0000000000000024e-30,3.488217156123615e-31,6.417378884836525e-08,2.0754465974636546e-08,7.304699803930404e-06,2.30841360658841e-06,4.107487061403308e-09,1.3297616055381651e-09,4.778298709077078e-07,1.5115346382465065e-07
0.009000000000000001,1467.5148633571093,4.891567804776757,0.2742599542341806,0.040393261019755065,0.06043541266915302,0.41602317628467694,1.411649508576184e-06,1.943492685566857e-05,1.5753393729714278e-11,1.3664629175677282e-11,7.850422530528303e-12,3.4047620021618338e-12,6.723112851623046e-07,5.486043549479064e-07,0.2665769986256,0.2053548521155864,6.920147609539603e-14,2.909638430214613e-14,5.256729271741187e-12,2.14473907764552e-12,1.533796711865443e-14,1.7721692506456306e-14,1.2529768833673116e-12,1.3356171682491679e-12,8.002586281471569e-09,7.917391665505101e-09,2.2029488384193018e-10,2.1794964976782286e-10,0.0001414700179998569,0.00013058026260259192,0.15973376325821884,0.1381744362605374,0.37785615361564706,0.1872103916531448,0.08185068454972408,0.025810557001323318,2.7348914414114704e-07,1.307944081766105e-07,7.613975911911728e-06,3.5190916658917004e-06,1.1801988279357312e-08,5.277569783079178e-09,2.105204617653374e-10,9.41397670827989e-11,6.143347404930821e-06,2.6607374384541446e-06,6.990902970417743e-09,3.876046567656078e-09,0.023093868060527052,0.012308513857026571,5.276482535149829e-06,2.7074348983705154e-06,0.018767960884428777,0.009284079662404953,6.160000151980934e-06,2.9415198655933136e-06,0.000760641730072583,0.00035104539556737814,1.0770877749682084e-08,3.643147257115537e-09,3.348632771113402e-05,1.1054837668185377e-05,4.770292315243368e-06,1.5748160750775183e-06,2.8348575317562325e-15,2.808682643986096e-15,1.763111340775773e-14,1.6295622813081418e-14,2.0043406772015778e-13,1.7359782075271278e-13,1.7777654115668182e-09,1.4486079510818077e-09,2.145727683229478e-11,1.0260389034067416e-11,4.516582535925385e-12,2.0889036430274133e-12,6.066118408512084e-19,1.8298791536435177e-19,1.1309958490925912e-13,3.5661253159795525e-14,5.05778011789544e-15,2.2631780566869323e-15,4.150549255987912e-15,2.2138501646475573e-15,9.375710310694801e-09,4.814364510733852e-09,3.850929746465033e-14,1.906325635130103e-14,4.037408526074728e-15,1.365482023046928e-15,2.4359017009540264e-15,7.856976261126572e-16,1.4547848523323708e-12,4.692393804456599e-13,2.0281891399657023e-09,6.541903525722771e-10,2.3021298369165395e-14,7.603636279802624e-15,0.01070971299061644,0.005305413880919394,1.0000000000000008e-30,3.4737597412647165e-31,5.8826084073519284e-08,1.894611134977429e-08,6.951542078318566e-06,2.187704562905092e-06,3.807915667665976e-09,1.2276686643548493e-09,4.603090923359084e-07,1.4500755358343017e-07
