z_m,T_C,rho_kg_m3,u_m_s,residence_time_s,Y_H2,X_H2,Y_H,X_H,Y_O,X_O,Y_O2,X_O2,Y_OH,X_OH,Y_H2O,X_H2O,Y_HO2,X_HO2,Y_H2O2,X_H2O2,Y_C,X_C,Y_CH,X_CH,Y_CH2,X_CH2,Y_CH2(S),X_CH2(S),Y_CH3,X_CH3,Y_CH4,X_CH4,Y_CO,X_CO,Y_CO2,X_CO2,Y_HCO,X_HCO,Y_CH2O,X_CH2O,Y_CH2OH,X_CH2OH,Y_CH3O,X_CH3O,Y_CH3OH,X_CH3OH,Y_C2H,X_C2H,Y_C2H2,X_C2H2,Y_C2H3,X_C2H3,Y_C2H4,X_C2H4,Y_C2H5,X_C2H5,Y_C2H6,X_C2H6,Y_HCCO,X_HCCO,Y_CH2CO,X_CH2CO,Y_HCCOH,X_HCCOH,Y_N,X_N,Y_NH,X_NH,Y_NH2,X_NH2,Y_NH3,X_NH3,Y_NNH,X_NNH,Y_NO,X_NO,Y_NO2,X_NO2,Y_N2O,X_N2O,Y_HNO,X_HNO,Y_CN,X_CN,Y_HCN,X_HCN,Y_H2CN,X_H2CN,Y_HCNN,X_HCNN,Y_HCNO,X_HCNO,Y_HOCN,X_HOCN,Y_HNCO,X_HNCO,Y_NCO,X_NCO,Y_N2,X_N2,Y_AR,X_AR,Y_C3H7,X_C3H7,Y_C3H8,X_C3H8,Y_CH2CHO,X_CH2CHO,Y_CH3CHO,X_CH3CHO
0.0,1026.85,9.28746916295854,0.1513721819874017,0.006606233634679503,1.0736375977303091e-29,1.0479999007931767e-28,2.1472751954606182e-29,4.191999603172707e-28,1.352867927385651e-30,1.664012637578895e-30,0.3015223169421415,0.18543456302987896,1.272683834317812e-30,1.4726070444480395e-30,0.20417753427112537,0.2230322912510641,1.0000000000000003e-30,5.962126170330383e-31,1.0000000000000003e-30,5.78543941841373e-31,1.8020592765167792e-30,2.9524595965188564e-30,1.662534293743224e-30,2.5129684903193174e-30,1.543062234992731e-30,2.1647746973868807e-30,1.543062234992731e-30,2.1647746973868807e-30,1.439609841718858e-30,1.8842365861092207e-30,0.46901691515471905,0.5753034521336846,1.0000000000000003e-30,7.025560027773105e-31,0.0016616208310159888,0.0007429925950068092,1.0000000000000003e-30,6.781512729268891e-31,1.0000000000000003e-30,6.553851208217034e-31,1.0000000000000003e-30,6.3409788096257215e-31,1.0000000000000003e-30,6.3409788096257215e-31,1.0000000000000003e-30,6.141499793331397e-31,1.0000000000000003e-30,7.862003051455241e-31,1.0000000000000003e-30,7.557644073197813e-31,1.0000000000000003e-30,7.275971913699795e-31,1.0000000000000003e-30,7.014541112779806e-31,1.0000000000000003e-30,6.771245488195054e-31,0.011044891406165101,0.0072280655056690775,1.0000000000000003e-30,4.796264505055563e-31,1.0000000000000003e-30,4.681255474413604e-31,1.0000000000000003e-30,4.681255474413604e-31,1.5452655079776565e-30,2.1709610904540048e-30,1.4415274039455898e-30,1.8892595404586855e-30,1.3508415384286984e-30,1.659031498707406e-30,1.2708903746252736e-30,1.4684595878358635e-30,1.0000000000000003e-30,6.780578057264305e-31,1.0000000000000003e-30,6.558219568683751e-31,1.0000000000000003e-30,4.277490194064224e-31,1.0000000000000003e-30,4.471086642081309e-31,1.0000000000000003e-30,6.345067917002793e-31,1.0000000000000003e-30,7.5634536235654035e-31,1.0000000000000003e-30,7.2813563375240394e-31,1.0000000000000003e-30,7.019545422626977e-31,1.0000000000000003e-30,4.795796953133445e-31,1.0000000000000003e-30,4.573757963461351e-31,1.0000000000000003e-30,4.573757963461351e-31,1.0000000000000003e-30,4.573757963461351e-31,1.0000000000000003e-30,4.683483741769395e-31,0.010328646152870208,0.007255416237269982,1.0000000000000003e-30,4.92580566653128e-31,1.0000000000000003e-30,4.56696457049188e-31,0.002248075241962809,0.0010032192474265387,1.0000000000000003e-30,4.571632858123467e-31,1.0000000000000003e-30,4.467026907995475e-31
0.001,1436.5679589277584,5.519237736113379,0.25472076753260947,0.01053210120208144,0.03814661574887146,0.29101969576984227,8.056434566686087e-07,1.2292472559146946e-05,1.134874719520662e-11,1.0909679161823106e-11,1.28040065216663e-11,6.15431821392012e-12,7.686950734826457e-07,6.951576100151009e-07,0.36533000633836243,0.3118946845431462,1.1427798522971039e-13,5.325085375344692e-14,9.97789402302872e-12,4.511677777904478e-12,1.7597852587500036e-14,2.253395402251121e-14,1.4165331787843594e-12,1.6734241016833211e-12,1.2001097825129766e-08,1.3158702683001217e-08,2.312218526450105e-10,2.5352510721122404e-10,0.00016210313347381994,0.00016582304006399073,0.20213049845235284,0.19377741535136173,0.17593499071186333,0.09660420014178735,0.08123049029032117,0.028387978628930475,9.00040316769881e-08,4.7703625059909957e-08,1.0994948888382572e-05,5.631870110409944e-06,2.0417540845573235e-08,1.0118649967406108e-08,3.759801176957375e-10,1.8633052993216667e-10,1.5805645810408533e-05,7.586640846168373e-06,1.719644694747131e-08,1.056658789695538e-08,0.07257598595692241,0.04286888790277773,1.2854056242946563e-05,7.309607332500245e-06,0.05218973938006889,0.028611935075123888,1.3282241213881388e-05,7.029149172760492e-06,0.0017693472670152037,0.0009049749269429119,2.5433130979117897e-08,9.533794603876935e-09,8.764309486299203e-05,3.206585952783022e-05,2.8239691916438612e-05,1.0332017548185536e-05,2.8512061646534916e-15,3.1306923218611986e-15,8.522267938773612e-15,8.729447212551995e-15,1.6654556428670374e-14,1.5986232798842088e-14,1.6550769568009572e-10,1.4946342796123029e-10,1.2732378066140293e-11,6.7474408084425844e-12,5.586601662323785e-12,2.8634954459065298e-12,1.18463950644837e-18,3.9603910663609935e-19,1.3769821588542395e-13,4.811763094764265e-14,5.310258792672705e-15,2.6333876808766406e-15,6.912956578334004e-16,4.0864558866926275e-16,1.91098438711511e-09,1.0875075027381001e-09,5.732952056086195e-15,3.1452135374221393e-15,5.7382234212858486e-15,2.1508052057952148e-15,1.1187699086676204e-14,3.999233789824443e-15,5.445326570831817e-13,1.9465248260595933e-13,8.39425341594372e-10,3.0006690063170974e-10,8.359455043327652e-15,3.0599182315705524e-15,0.010328644737844048,0.005670549042869759,1.0000000000000003e-30,3.8498172290820227e-31,2.335231976617832e-07,8.33528606105014e-08,2.9902139358710304e-05,1.0429178771840497e-05,7.737182909860045e-09,2.7645028826436983e-09,8.719355964244353e-07,3.0441483584886336e-07
0.002,1435.9870539744002,5.4729107783976385,0.2568769214888154,0.014425016121040172,0.0399041662755942,0.30177015931335566,8.225724556522055e-07,1.2441198208456894e-05,1.098078386991741e-11,1.0463791651365014e-11,1.1368691617489956e-11,5.4167180523392616e-12,7.243207452289635e-07,6.493095503662697e-07,0.3529799819256864,0.2987200604847609,1.0112259589890821e-13,4.6709357437184523e-14,8.82829173660385e-12,3.957013640541579e-12,1.5719906052133185e-14,1.9953512513090542e-14,1.2906366128291675e-12,1.5113843903633413e-12,1.0902474180072997e-08,1.184974073348179e-08,2.1821115991162414e-10,2.371705383014049e-10,0.0001602115929861179,0.00016245724522691255,0.2046621158018546,0.19449142329971122,0.19118060111465426,0.10405891479557637,0.08434793340364037,0.029220088339018176,9.884044250569604e-08,5.192969635186835e-08,1.0254381061438047e-05,5.20667596439945e-06,1.8843275062621973e-08,9.256934918553109e-09,3.435165941358797e-10,1.6875573618657285e-10,1.4378995102365699e-05,6.841597148257578e-06,1.5108599858958262e-08,9.202629725282811e-09,0.06548893661094327,0.03834501344197305,1.178232837780963e-05,6.641660273193791e-06,0.0490370116224941,0.026648807622647257,1.2679342817111695e-05,6.651503504648749e-06,0.0017291771032466997,0.0008767073077141568,2.200060037218465e-08,8.175083153861823e-09,7.766196602327895e-05,2.8166004498249173e-05,2.3488862594710568e-05,8.51880841264134e-06,2.5693992651223993e-15,2.7966302143392736e-15,7.655681837358862e-15,7.773330234242849e-15,2.114512230060741e-14,2.0119396391472822e-14,2.1601524698384534e-10,1.933716644850097e-10,1.2879617019223334e-11,6.7658784285764294e-12,4.643558647624654e-12,2.3593447687081374e-12,9.153639986577353e-19,3.03345370265407e-19,1.2815860282752664e-13,4.4393089535212305e-14,4.412619112833118e-15,2.1691382751031754e-15,7.458684540869451e-16,4.370558206788298e-16,2.1165493329757213e-09,1.1939749124700315e-09,6.440621863923345e-15,3.5026061948854225e-15,5.1985881776860385e-15,1.931526731892643e-15,7.960527735538477e-15,2.8207822315766683e-15,5.375282018498323e-13,1.9047104050405012e-13,8.051653788392314e-10,2.853072396156622e-10,7.822299907309925e-15,2.838298061424545e-15,0.01032864460122323,0.005621041454524017,9.999999999999903e-31,3.8162058664250803e-31,2.1542344873365605e-07,7.62210869165569e-08,2.8224825717287855e-05,9.758224441507496e-06,6.9595815375740066e-09,2.4649549909805477e-09,8.10524063901815e-07,2.8050396378738407e-07
0.003,1434.6831423131148,5.435243261671243,0.2586571390928808,0.01829113790490832,0.04138784435025155,0.3105989787734158,8.304095956409532e-07,1.246377415489423e-05,1.0530825981018202e-11,9.95834898739557e-12,1.0091716545453946e-11,4.7715552143131896e-12,6.827603712291182e-07,6.073769945564882e-07,0.34288527526367824,0.2879600981882473,8.930508181519257e-14,4.093558691187471e-14,7.875908230407204e-12,3.5031657313208056e-12,1.3965164600363042e-14,1.7590761323181507e-14,1.1696793858925148e-12,1.359273822640206e-12,9.922185471500709e-09,1.0701885200748938e-08,2.0496759198609514e-10,2.2107424272702796e-10,0.00015750474125974476,0.00015849221804775074,0.20670091781469152,0.19492815205022054,0.20527268007306776,0.11087555017265201,0.08561476805450739,0.02943234924284899,1.064831285059219e-07,5.5517649418247385e-08,9.667102809200453e-06,4.870982857481415e-06,1.7435757014238922e-08,8.500036611859378e-09,3.1476921779755255e-10,1.5345189046741964e-10,1.3230589668724223e-05,6.24708375400835e-06,1.3279192815670157e-08,8.026543643251893e-09,0.05949253778828656,0.034567869722841406,1.0814684144410872e-05,6.049626191562836e-06,0.046301985206467486,0.02497023118896832,1.2098170630067625e-05,6.298134791304843e-06,0.0016928440957454261,0.000851728695269139,1.9265497417107753e-08,7.1040668351134275e-09,6.986435943855297e-05,2.5144425128149147e-05,1.987108007882577e-05,7.151670598181602e-06,2.3158206434434478e-15,2.501367693510323e-15,7.007304712596024e-15,7.0606293027843286e-15,2.474435019231895e-14,2.3364148869042746e-14,2.6033564867958685e-10,2.312657060323298e-10,1.2887668477498645e-11,6.718383057510729e-12,3.980037213697098e-12,2.006766173961104e-12,7.33907961846416e-19,2.4135389296936006e-19,1.1943232691428277e-13,4.105430137366813e-14,3.7866322386634655e-15,1.8471964685155357e-15,7.820023831561934e-16,4.547282245858261e-16,2.2898226932921987e-09,1.2818518272565661e-09,7.0205899087832325e-15,3.788840129673906e-15,4.70801080345836e-15,1.7358888941045191e-15,5.9685249293790246e-15,2.098765310174238e-15,5.333557019368093e-13,1.875485917296938e-13,7.913535721743862e-10,2.7827066905371313e-10,7.471365736330145e-15,2.690250370041755e-15,0.010328644479772544,0.005578095543064384,9.999999999999908e-31,3.787049314161708e-31,1.9942793366588802e-07,7.002245261109121e-08,2.6802070176519728e-05,9.19553579864878e-06,6.321184114962275e-09,2.2217412170796995e-09,7.608618751304913e-07,2.6130521558865593e-07
0.004,1433.0564925706672,5.4038029625649955,0.2601620529240073,0.022134896011676095,0.04268556469502178,0.3181814958573823,8.331586938719714e-07,1.2420858498502357e-05,1.006162204329298e-11,9.450604242188446e-12,9.01105010455545e-12,4.231915489284924e-12,6.44883267011528e-07,5.698201627886164e-07,0.33424266231404787,0.2788123656410763,7.930756730368032e-14,3.6108225745931386e-14,7.0815573969077126e-12,3.1286392399376284e-12,1.2421444030092848e-14,1.5540941859556013e-14,1.0608155468778488e-12,1.2244658148370562e-12,9.070434778053395e-09,9.717347275848316e-09,1.9247464314834968e-10,2.062021275752877e-10,0.00015447504349765684,0.00015439716070859389,0.20837503820285813,0.19518413970707993,0.21781121034129128,0.11685613967768924,0.08632698251826393,0.029477420469059,1.1295194452953963e-07,5.849390984788969e-08,9.187454495539665e-06,4.59813943401521e-06,1.6193577549664366e-08,7.841325198957895e-09,2.8964469278208695e-10,1.402530244654721e-10,1.2276381468660072e-05,5.757516281201142e-06,1.1717456784330842e-08,7.03488377435768e-09,0.054374363405722784,0.03138130346495624,9.956343612654546e-06,5.531988246269113e-06,0.04389019993943659,0.023510246490601655,1.1553140240427899e-05,5.973913949621045e-06,0.001659171480170753,0.0008291674819011302,1.7050279155983453e-08,6.2448926568321756e-09,6.355751034951868e-05,2.2720588597624802e-05,1.7040810846753967e-05,6.0917624131256e-06,2.0941399551034687e-15,2.246699507979527e-15,6.519570359731039e-15,6.524963039338481e-15,2.7696420538218334e-14,2.5975518661602867e-14,3.0014528650248774e-10,2.6483525278368576e-10,1.2824235660101573e-11,6.6403132640566395e-12,3.495744824701789e-12,1.750717344270938e-12,6.0616879725055585e-19,1.9800354142214094e-19,1.1162872788299186e-13,3.81135515431616e-14,3.3323613985299756e-15,1.6146512322073794e-15,8.053045469705069e-16,4.651260439202794e-16,2.437195467079034e-09,1.355167585505729e-09,7.501530985713324e-15,4.021140561019103e-15,4.2781304165100706e-15,1.5667697044984924e-15,4.658898776573932e-15,1.6272220160014726e-15,5.303171898394145e-13,1.8522484564588901e-13,7.885914913782242e-10,2.754327788477374e-10,7.227781709702232e-15,2.585022948459302e-15,0.010328644371842553,0.005540546650609995,9.999999999999908e-31,3.761556870179232e-31,1.8530362884561875e-07,6.46252036928863e-08,2.5556536091241132e-05,8.709181890568743e-06,5.78821903135258e-09,2.020722422549176e-09,7.193408559612813e-07,2.453825380172397e-07
0.005,1431.244770247029,5.377209230649067,0.2614487203370444,0.0259597378342364,0.04383561905217453,0.32480078133783397,8.324145571492913e-07,1.2335580261215215e-05,9.595190215629295e-12,8.958621728884111e-12,8.09695558597675e-12,3.779891832273779e-12,6.105308498179731e-07,5.362414130424301e-07,0.3267229973055851,0.2709105307362014,7.087230764608416e-14,3.20748125917701e-14,6.412729106715488e-12,2.816213888838449e-12,1.1079161463605457e-14,1.3778697754260136e-14,9.641430758404736e-13,1.1062271385900772e-12,8.329888383078537e-09,8.870637540527652e-09,1.8088251980627754e-10,1.9262482242598784e-10,0.00015130227700575614,0.00015032197755786536,0.20976404817874586,0.19531064814366958,0.22896566965707094,0.12210619851369996,0.08675383901702804,0.02944609106396624,1.1840910664380718e-07,6.095341984904522e-08,8.788469265748409e-06,4.372161614338682e-06,1.5095603892055267e-08,7.265963043910439e-09,2.676392333644856e-10,1.2882272167662908e-10,1.1468817694223102e-05,5.346622014485036e-06,1.0386806730445633e-08,6.198714727734241e-09,0.04996568959761392,0.028664522525904613,9.195859872319004e-06,5.078901030773325e-06,0.041743853307385885,0.02222686398697723,1.104580447373633e-05,5.67743671415439e-06,0.0016277683638652922,0.0008086109617935647,1.5231045450522783e-08,5.545225746997712e-09,5.835817802756598e-05,2.0737216356056732e-05,1.4783458538169464e-05,5.253210236481415e-06,1.9007728729652802e-15,2.0270550609662268e-15,6.131682244018812e-15,6.100069080269609e-15,3.015328640311485e-14,2.8110674672659183e-14,3.364946321231765e-10,2.9513345410446643e-10,1.2715093521433898e-11,6.544442706798917e-12,3.1240224623879724e-12,1.5552008750353008e-12,5.117438245621502e-19,1.6616058956920987e-19,1.0466470609730173e-13,3.5522190208844323e-14,2.98492410945296e-15,1.43765924104598e-15,8.191770325479874e-16,4.703101017502758e-16,2.5637774487062527e-09,1.4170298526979054e-09,7.902127196743322e-15,4.210555497840773e-15,3.902729964595702e-15,1.420743512577673e-15,3.747608851420037e-15,1.3011094345456377e-15,5.275486429070254e-13,1.8315639216403002e-13,7.915436002199778e-10,2.7481118946290024e-10,7.0415808373845516e-15,2.5033730794436023e-15,0.010328644275664706,0.005507425676599611,9.999999999999915e-31,3.7390705990068654e-31,1.727870846662353e-07,5.989979152715834e-08,2.445155297068038e-05,8.282812908743439e-06,5.338030746525005e-09,1.8524172125589807e-09,6.841220199431323e-07,2.3197358229759142e-07
0.006,1429.3237367316037,5.354484113790614,0.2625583422158077,0.029768415142147103,0.04486394927908867,0.3306422511326442,8.291662392911737e-07,1.2221723514216289e-05,9.142490760741916e-12,8.490300617405512e-12,7.318866604937033e-12,3.398383399053216e-12,5.793804896992475e-07,5.061596611620995e-07,0.32011172500688667,0.26400897512149585,6.371655264797046e-14,2.868208715084918e-14,5.844273057059336e-12,2.552843358459903e-12,9.91493139823454e-15,1.2264841005089311e-14,8.78611770157038e-13,1.0026994248853467e-12,7.682969369284637e-09,8.137962432469861e-09,1.7019141548836625e-10,1.8027031984668093e-10,0.00014808524819376643,0.00014633888478923223,0.2109255934041508,0.1953417490699553,0.23893841072481734,0.1267430744681707,0.08699868852755885,0.02937126024716464,1.230119711907123e-07,6.298415067998581e-08,8.451699727110634e-06,4.1821341030723085e-06,1.4121279312147087e-08,6.760637707799384e-09,2.482784026320706e-10,1.1886460806866952e-10,1.0775523160005974e-05,4.9965486978035025e-06,9.250066626020157e-09,5.490796993284233e-09,0.046135859186983194,0.026325847800281046,8.520684763113355e-06,4.680829588656492e-06,0.03981952295652481,0.021088837292165496,1.0574822477925512e-05,5.4062853308968336e-06,0.0015983751229115067,0.000789762774532622,1.3718123377351433e-08,4.967697569409079e-09,5.4006877030431254e-05,1.908836478657857e-05,1.2953600138286019e-05,4.578362207460224e-06,1.7317117336675005e-15,1.8368844890442433e-15,5.807118118175366e-15,5.746278876122228e-15,3.221736323551807e-14,2.98742861690899e-14,3.7005268424604374e-10,3.2283066876073243e-10,1.2575557083496549e-11,6.4380044285050995e-12,2.8267441468338088e-12,1.3996832730175686e-12,4.391833551788909e-19,1.4183787402843035e-19,9.843803223951413e-14,3.3230228511093285e-14,2.7074687549914326e-15,1.2970509819432717e-15,8.260343875617022e-16,4.717105546656849e-16,2.6734559964619334e-09,1.4697472076846276e-09,8.23674503852938e-15,4.365378748659767e-15,3.574187824328136e-15,1.2941823622611913e-15,3.0845870420515886e-15,1.0651910942485134e-15,5.246394199533647e-13,1.8117214077847487e-13,7.972068295293911e-10,2.7529701821090577e-10,6.885101190246882e-15,2.4346507057588803e-15,0.010328644189654932,0.005477968976006528,9.999999999999934e-31,3.7190720517663385e-31,1.6164616823469742e-07,5.573787086018156e-08,2.3461991516366608e-05,7.905097025297815e-06,4.953792219676913e-09,1.7098832205101628e-09,6.53924783310871e-07,2.2054828446070643e-07
0.007,1427.3421868357145,5.3348940296869545,0.26352247383257515,0.03356315790338626,0.045790399560614,0.33584405421329305,8.241107702626058e-07,1.2088678188512493e-05,8.70929356892658e-12,8.049035632431008e-12,6.651725932102495e-12,3.0737268540172276e-12,5.510901295973196e-07,4.791248314212808e-07,0.31424865281389697,0.2579246896615563,5.760507736489034e-14,2.580605553103642e-14,5.356811081590942e-12,2.3286401521093333e-12,8.904491696663987e-15,1.0961846716692153e-14,8.02964938979389e-13,9.119535411343216e-13,7.114747208483868e-09,7.499778473934518e-09,1.603575066325718e-10,1.6903562995782867e-10,0.00014488494569402327,0.00014248645727682835,0.2119031234036663,0.19530147948202048,0.2479040357031078,0.1308652221061001,0.08712020980021067,0.029270569398883752,1.2689579374922866e-07,6.46596737327408e-08,8.163896387390473e-06,4.020256497627996e-06,1.325283127709338e-08,6.314292146696771e-09,2.3115966288396098e-10,1.1013568447853886e-10,1.0173157443623354e-05,4.694506106932409e-06,8.275059277972632e-09,4.888369463308385e-09,0.04278316066885552,0.024295117369927233,7.919395224254577e-06,4.3295497284071905e-06,0.03808304816246711,0.02007200090609726,1.013789405696987e-05,5.157936706813763e-06,0.0015707789062135507,0.000772387774448995,1.2445481725011673e-08,4.485124862485653e-09,5.0317803085233025e-05,1.7698795655596414e-05,1.144920793628891e-05,4.027147038585215e-06,1.5833793185267865e-15,1.6714508021321666e-15,5.524916000951242e-15,5.440691506235633e-15,3.396203189710149e-14,3.1340331900845327e-14,4.012698583542849e-10,3.483775401115222e-10,1.2416016487009775e-11,6.325701602487452e-12,2.581484284160848e-12,1.2720820929068468e-12,3.8174760509306787e-19,1.2269448575687327e-19,9.285287049258226e-14,3.119378834137326e-14,2.4784870976754126e-15,1.1816330741442014e-15,8.276551625190027e-16,4.703588041658595e-16,2.7692153784597287e-09,1.5150561228881448e-09,8.516828834380388e-15,4.4920709669874635e-15,3.285599652921677e-15,1.1839548265858938e-15,2.585155501676676e-15,8.884225051484996e-16,5.21418012920924e-13,1.7919212092592223e-13,8.038955605965537e-10,2.7626922533663204e-10,6.743538727209815e-15,2.3731029206803287e-15,0.010328644112445374,0.005451574453665079,9.999999999999945e-31,3.7011524579844384e-31,1.5168432619941966e-07,5.2050876857644425e-08,2.256888547137522e-05,7.56754176737009e-06,4.622702894204877e-09,1.5879141846155398e-09,6.277882186206222e-07,2.1071304869642017e-07
0.008,1425.332928919629,5.317876121096381,0.26436578068461963,0.03734579572213244,0.04663064567884511,0.34051294309246416,8.177554610029516e-07,1.1943060822011174e-05,8.298383324728865e-12,7.635779468198155e-12,6.075598145782588e-12,2.7952388895041333e-12,5.253365236792135e-07,4.547394239259014e-07,0.30900958747508434,0.2525168777762484,5.23494807348983e-14,2.3349210793678684e-14,4.93533197916689e-12,2.1360498651145207e-12,8.025639276446818e-15,9.836785288892429e-15,7.359753804081887e-13,8.322204488107239e-13,6.612902863377582e-09,6.940329179686729e-09,1.5132043050998402e-10,1.588127968985162e-10,0.00014173961056280208,0.00013878435962514973,0.21273002840887015,0.19520724746085422,0.2560073247146361,0.13455257252745767,0.08715649043016838,0.02915485975954818,1.3017390831175283e-07,6.6040323337366e-08,7.915285747602447e-06,3.880805174245759e-06,1.2475255386860348e-08,5.9178562606111806e-09,2.1594803978024698e-10,1.0243874129633102e-10,9.644396399546144e-06,4.431065392196267e-06,7.434934895594454e-09,4.372894940104914e-09,0.03982761843033176,0.02251798047019575,7.382032561473261e-06,4.018145287875423e-06,0.03650707261051212,0.019157328221684217,9.732402146237581e-06,4.930003986819731e-06,0.001544797977561561,0.000756294578540252,1.1363803476298774e-08,4.077420532608711e-09,4.7154385218107795e-05,1.651365075089351e-05,1.0196972249104606e-05,3.571019697519103e-06,1.4527185795865662e-15,1.5268243778127678e-15,5.272840869296583e-15,5.169779872565614e-15,3.544228628523277e-14,3.256346565743939e-14,4.304678023048243e-10,3.7209449704757995e-10,1.2243755179296339e-11,6.210692430175655e-12,2.374356754439015e-12,1.1649052210866184e-12,3.35235015425529e-19,1.0727463921864821e-19,8.782462204621628e-14,2.9375687585182545e-14,2.2847936584561214e-15,1.0845308874475387e-15,8.253648493752768e-16,4.670084975669731e-16,2.8533816192820574e-09,1.5542855518869671e-09,8.751578786376025e-15,4.59572529201117e-15,3.031045360900667e-15,1.0874564879744864e-15,2.1984895510063175e-15,7.522397000639007e-16,5.178367813689617e-13,1.7718409665433256e-13,8.106761044518432e-10,2.773826008782671e-10,6.609195213582214e-15,2.3156678285950963e-15,0.010328644042869536,0.005427763414057756,9.999999999999945e-31,3.684986824882405e-31,1.4273679365150522e-07,4.8766573838029975e-08,2.1757450292843803e-05,7.263595961183161e-06,4.334908519595196e-09,1.4825520437497177e-09,6.049742620321707e-07,2.021687996050476e-07
0.009000000000000001,1423.3183475270212,5.302991763697475,0.2651077985754804,0.04111784620640095,0.04739725951242827,0.34473290422488273,8.104742941726553e-07,1.1789591217040272e-05,7.910754187135975e-12,7.25011817616363e-12,5.574658860542468e-12,2.5545564035129758e-12,5.01827490539386e-07,4.326600251086165e-07,0.3042965044072416,0.24767531909602822,4.779968472313074e-14,2.1234995386699936e-14,4.5681140330034025e-12,1.969242787091946e-12,7.258969928963105e-15,8.861675942695344e-15,6.76523662282604e-13,7.619481139971909e-13,6.16732809191077e-09,6.446920132851298e-09,1.430146778742403e-10,1.4949816068485276e-10,0.0001386728263525816,0.0001352408740656785,0.21343235695048915,0.19507189867074654,0.2633679008603199,0.13786999748024617,0.08713338448905865,0.02903107497286534,1.329405639261979e-07,6.717537113491733e-08,7.69850814489083e-06,3.7594916755621115e-06,1.1775966901029398e-08,5.5638940928127645e-09,2.023659160873402e-10,9.561359458360666e-11,9.176098723578364e-06,4.19912202741945e-06,6.707573758224593e-09,3.929385530545285e-09,0.03720567731541546,0.02095181383960724,6.900055410262555e-06,3.7408437511882317e-06,0.035069411876181206,0.018329631090030073,9.355703610829832e-06,4.72031510161275e-06,0.0015202755027094886,0.0007413254392187645,1.0435752751048744e-08,3.7295195083885925e-09,4.44142670556643e-05,1.549211881341754e-05,9.143142133204698e-06,3.189214944784424e-06,1.3371538495195795e-15,1.399768720665394e-15,5.0435238761285796e-15,4.9252556603974264e-15,3.6700767892504314e-14,3.358546399711005e-14,4.578888401299932e-10,3.9422117141555475e-10,1.2063935740310875e-11,6.095112298941297e-12,2.1963092657606167e-12,1.0732611846739153e-12,2.968875535181943e-19,9.462523915074255e-20,8.328029835774102e-14,2.7744783151311815e-14,2.117887832234739e-15,1.0013022841981287e-15,8.201585437382648e-16,4.622148967073277e-16,2.927794274765975e-09,1.5884692752892934e-09,8.94843362829201e-15,4.680389392725142e-15,2.805537584885129e-15,1.0025426449288154e-15,1.892439412167234e-15,6.449427117804816e-16,5.139096718285789e-13,1.7514024239210445e-13,8.170482576291819e-10,2.78449769933409e-10,6.478258224199185e-15,2.260753691016633e-15,0.010328643979936703,0.005406151571563277,9.99999999999994e-31,3.6703142558341183e-31,1.3466571752136286e-07,4.582586469050597e-08,2.1015937604683703e-05,6.988110440252502e-06,4.0827423532681135e-09,1.390750728565005e-09,5.849079333881592e-07,1.946848052443389e-07
