param,case,REF_value,CODE_value,status,file
PSR.V_m3,all,0.016136,,OK exact,config.yaml:geometry.caseA.psr.volume_L
PFR_A.L_m,A,2.32,2.32,OK exact,hp_pox_physics/config_cases.py
PFR_A.D_m,A,0.49,0.49,OK exact,hp_pox_physics/config_cases.py
PFR_B.L_m,B,1.0,1.0,OK exact,config.yaml:geometry.caseB.pfr.length_m
PFR_B.D_m,B,0.387,0.387,OK exact,config.yaml:geometry.caseB.pfr.diameter_m
A1.burner_kW,A_case1_richter,34.29,34.29,OK exact,hp_pox_physics/config_cases.py
A1.wall_W_per_m,A_case1_richter,7974.1,7974.137931034484,OK exact,hp_pox_physics/config_cases.py
A4.burner_kW,A_case4_richter,36.36,36.36,OK exact,hp_pox_physics/config_cases.py
A4.wall_W_per_m,A_case4_richter,9879.3,9879.310344827587,OK exact,hp_pox_physics/config_cases.py
B1.wall_W_per_m,B_case1_134L,18500.0,18500.0,OK exact,hp_pox_physics/config_cases.py
B4.wall_W_per_m,B_case4_134L,22920.0,22920.0,OK exact,hp_pox_physics/config_cases.py
case1.pressure_Pa,case1,5101325.0,,OK exact (handled in CaseConstants.PRESSURE),CaseConstants.PRESSURE
case1.target_T_out_C,case1,1200,1201,OK exact,config.yaml:inlet
case1.primary_steam.m_dot_kg_per_h,case1,78.02,78.02,OK exact,config.yaml:inlet
case1.primary_steam.T_C,case1,289.6,289.6,OK exact,config.yaml:inlet
case1.secondary_steam.m_dot_kg_per_h,case1,23.15,23.15,OK exact,config.yaml:inlet
case1.secondary_steam.T_C,case1,240.2,240.2,OK exact,config.yaml:inlet
case1.oxygen.m_dot_kg_per_h,case1,265.37,265.37,OK exact,config.yaml:inlet
case1.oxygen.T_C,case1,240.2,240.2,OK exact,config.yaml:inlet
case1.nitrogen.m_dot_kg_per_h,case1,4.72,4.72,OK exact,config.yaml:inlet
case1.nitrogen.T_C,case1,25.0,25.0,OK exact,config.yaml:inlet
case1.natural_gas.m_dot_kg_per_h,case1,224.07,224.07,OK exact,config.yaml:inlet
case1.natural_gas.T_C,case1,359.1,359.1,OK exact,config.yaml:inlet
case4.pressure_Pa,case4,5101325.0,,OK exact (handled in CaseConstants.PRESSURE),CaseConstants.PRESSURE
case4.target_T_out_C,case4,1400,1401,OK exact,config.yaml:inlet
case4.primary_steam.m_dot_kg_per_h,case4,64.39,64.39,OK exact,config.yaml:inlet
case4.primary_steam.T_C,case4,277.5,277.5,OK exact,config.yaml:inlet
case4.secondary_steam.m_dot_kg_per_h,case4,22.77,22.77,OK exact,config.yaml:inlet
case4.secondary_steam.T_C,case4,239.9,239.9,OK exact,config.yaml:inlet
case4.oxygen.m_dot_kg_per_h,case4,280.25,280.25,OK exact,config.yaml:inlet
case4.oxygen.T_C,case4,239.9,240.2,X mismatch,config.yaml:inlet
case4.nitrogen.m_dot_kg_per_h,case4,4.79,4.79,OK exact,config.yaml:inlet
case4.nitrogen.T_C,case4,25.0,25.0,OK exact,config.yaml:inlet
case4.natural_gas.m_dot_kg_per_h,case4,195.9,195.9,OK exact,config.yaml:inlet
case4.natural_gas.T_C,case4,355.2,355.2,OK exact,config.yaml:inlet
case1.NG.CH4_volpct,case1,95.97,95.97,OK exact,config.yaml:inlet.natural_gas.composition_volpct
case1.NG.CO2_volpct,case1,0.34,0.34,OK exact,config.yaml:inlet.natural_gas.composition_volpct
case1.NG.C2H6_volpct,case1,2.26,2.26,OK exact,config.yaml:inlet.natural_gas.composition_volpct
case1.NG.C3H8_volpct,case1,0.46,0.46,OK exact,config.yaml:inlet.natural_gas.composition_volpct
case1.NG.nC4H10_volpct,case1,0.05,0.05,OK exact,config.yaml:inlet.natural_gas.composition_volpct
case1.NG.iC4H10_volpct,case1,0.06,0.06,OK exact,config.yaml:inlet.natural_gas.composition_volpct
case1.NG.N2_volpct,case1,0.86,0.86,OK exact,config.yaml:inlet.natural_gas.composition_volpct
case4.NG.CH4_volpct,case4,96.2,96.2,OK exact,config.yaml:inlet.natural_gas.composition_volpct
case4.NG.CO2_volpct,case4,0.26,0.26,OK exact,config.yaml:inlet.natural_gas.composition_volpct
case4.NG.C2H6_volpct,case4,2.09,2.09,OK exact,config.yaml:inlet.natural_gas.composition_volpct
case4.NG.C3H8_volpct,case4,0.47,0.47,OK exact,config.yaml:inlet.natural_gas.composition_volpct
case4.NG.nC4H10_volpct,case4,0.05,0.05,OK exact,config.yaml:inlet.natural_gas.composition_volpct
case4.NG.iC4H10_volpct,case4,0.06,0.06,OK exact,config.yaml:inlet.natural_gas.composition_volpct
case4.NG.N2_volpct,case4,0.87,0.87,OK exact,config.yaml:inlet.natural_gas.composition_volpct
case1.targets_present,case1,True,True,OK exact,config.yaml:targets_dry_basis_volpct
case4.targets_present,case4,True,True,OK exact,config.yaml:targets_dry_basis_volpct
