cell,z,T,p,u,dz,dt_try,used_fallback,substeps,halvings,dt_min,dt_effective,X_H2,X_CO,X_CO2,X_CH4,X_H2O,X_O2,X_N2,X_O,X_OH,X_H,X_HO2,X_H2O2,H2_CO
0,0.0,1852.1697542640352,5100000.0,0.18491182510090215,0.001,0.0054079829640658345,0,55,0,1e-08,0.0054079829640658345,0.44012089091080625,0.24409888839862512,0.03347357498492274,0.02937417010482757,0.24273363167620177,4.2958948310352013e-11,0.006509688001516101,1.7555352278765217e-10,2.088310682152101e-06,5.1088478763818815e-05,3.3711047238536977e-13,1.2647439949122765e-11,1.803043405064868
1,0.001,1834.808377362978,5100000.0,0.18492189134637754,0.001,0.005407688579860446,0,55,0,1e-08,0.005407688579860446,0.44833796902302575,0.24754689171550961,0.03293406002826988,0.026457609901712878,0.23586446203787342,2.9053768130486733e-11,0.006456760013240764,1.2495279906367635e-10,1.6840833130758713e-06,4.486458100280333e-05,2.2723931073958048e-13,9.392452594890804e-12,1.8111234033924892
2,0.002,1822.0797519991709,5100000.0,0.18469014657952554,0.001,0.005414474017808043,0,55,0,1e-08,0.005414474017808043,0.45390592618535497,0.24964414184210962,0.03259757486244311,0.024268717518758604,0.23141382052336457,2.1826593003189688e-11,0.006421169448853551,9.695317019724219e-11,1.439088015998487e-06,4.069907540185953e-05,1.7046709113058551e-13,7.57166990502839e-12,1.81821180675825
3,0.003,1812.175353066607,5100000.0,0.18442545670727511,0.001,0.005422244943046155,0,55,0,1e-08,0.005422244943046155,0.4580362876854214,0.25108735467984,0.032363168014744335,0.022545728613582765,0.2282066058649757,1.746617784038301e-11,0.006394912663146932,7.938217895511391e-11,1.2732389576971248e-06,3.7680859589154195e-05,1.363180724641011e-13,6.407549023811644e-12,1.8242108937324253
4,0.004,1804.148694192452,5100000.0,0.18417606398881778,0.001,0.005429587202280069,0,55,0,1e-08,0.005429587202280069,0.46127812849901545,0.2521599818445517,0.03218801114372566,0.02114085856657919,0.22573888128709516,1.4573137062824593e-11,0.006374388340840507,6.739819114626742e-11,1.1526832184588372e-06,3.5372500138639894e-05,1.1369998505115364e-13,5.597643603456325e-12,1.8293074306428931
5,0.005,1797.4481745478595,5100000.0,0.18395066889081077,0.001,0.005436240085615448,0,55,0,1e-08,0.005436240085615448,0.463922844446643,0.25299978354098024,0.032050673348593475,0.01996427381985409,0.22375428568934108,1.2522895949667375e-11,0.006357697275199852,5.87273248325121e-11,1.0605776789479988e-06,3.353662144554669e-05,9.768770455557923e-14,5.000311862548547e-12,1.833688701047833
6,0.006,1791.7273419102,5100000.0,0.1837486144949285,0.001,0.005442217905961954,0,55,0,1e-08,0.005442217905961954,0.4661419461650316,0.25368224401827494,0.03193916313943731,0.01895806820056263,0.2221067787547581,1.099800791372525e-11,0.0063437275213678035,5.217175125784661e-11,9.875751305539e-07,3.2032755710623644e-05,8.578623181585243e-14,4.5405528036409805e-12,1.8375032433545144
7,0.007,1786.7560013737832,5100000.0,0.18356713247005566,0.001,0.005447598306647432,0,55,0,1e-08,0.005447598306647432,0.4680441164750609,0.25425247019639347,0.03184620404371116,0.018083102600061202,0.22070615931780588,9.821276034989024e-12,0.006331777558433328,4.7044674795998414e-11,9.280603122096539e-07,3.0772178290908055e-05,7.660595735349582e-14,4.17498984087129e-12,1.840863595596642
8,0.008,1782.3742917360212,5100000.0,0.18340328431430164,0.0010000000000000009,0.005452465062110241,0,55,0,1e-08,0.005452465062110241,0.46970216330438885,0.2547392438961602,0.031767100065565455,0.017311872124624445,0.2194932247956237,8.886504482960085e-12,0.006321379159980225,4.2925734424067176e-11,8.784495593313052e-07,2.969591074463477e-05,6.931536642803209e-14,3.876804355502837e-12,1.8438547438566408
9,0.009000000000000001,1778.4671569471125,5100000.0,0.18325446466767312,0.0009999999999999992,0.0054568929701847724,0,55,0,1e-08,0.0054568929701847724,0.47116703011852096,0.2551618968097381,0.03169867028461559,0.016624411346673612,0.21842723448543136,8.126394569209363e-12,0.006312205731320113,3.9543941036622213e-11,8.363438615501318e-07,2.8763102857750487e-05,6.338809972766628e-14,3.6285234149389533e-12,1.846541493888672
10,0.01,1774.9493078066578,5100000.0,0.18311848542105416,0.0009999999999999992,0.005460945123593861,0,55,0,1e-08,0.005460945123593861,0.4724756321704,0.25553395885712293,0.03163867434676023,0.01600582674522874,0.2174790687455869,7.496332706549287e-12,0.006304021243572926,3.6717067533266723e-11,8.000738493019651e-07,2.7944488115155343e-05,5.847551284569059e-14,3.418271981466685e-12,1.8489739457078422
