cell,z,T,p,u,dz,dt_try,used_fallback,substeps,halvings,dt_min,dt_effective,X_H2,X_CO,X_CO2,X_CH4,X_H2O,X_O2,X_N2,X_O,X_OH,X_H,X_HO2,X_H2O2,H2_CO
0,0.0,2069.208265248514,5100000.0,0.061430671995085624,0.001,0.0162785131193095,1,16,16,1e-08,0.0162785131193095,0.44242910790746076,0.2628705318821765,0.031517716501127536,6.9756682137071384e-06,0.2560664020706365,1.5231115897955034e-09,0.006719231517949811,6.147134812518491e-09,1.573054580899312e-05,0.00024088383063794108,1.2475468481626732e-11,1.654556769957912e-10,1.6830684852335056
1,0.001,2069.1853275794415,5100000.0,0.19540834335269272,0.001,0.005117488756327559,0,52,0,1e-08,0.005117488756327559,0.4424299219423347,0.26287024179755514,0.03151807458346936,6.806065605478054e-06,0.25606575987415314,1.5226119623554986e-09,0.0067192571357614795,6.145132537897715e-09,1.5727609176623056e-05,0.00024084941294329985,1.2471339895322784e-11,1.654168084034201e-10,1.6830734392638642
2,0.002,2069.1632943194595,5100000.0,0.19540625135844084,0.001,0.005117543543505491,0,52,0,1e-08,0.005117543543505491,0.4424303931820613,0.2628698600160746,0.0315184548307939,6.802121567840722e-06,0.2560653592574036,1.5221303462102686e-09,0.0067192849593246924,6.143189839879309e-09,1.572477017504039e-05,0.00024081569949894162,1.246733644584459e-11,1.6537909543821912e-10,1.683077676364291
3,0.003,2069.14128707213,5100000.0,0.19540417949779018,0.001,0.005117597804561335,0,52,0,1e-08,0.005117597804561335,0.4424308545127515,0.2628694755905033,0.03151883573582095,6.802936648707565e-06,0.2560649655883237,1.5216493863665242e-09,0.006719312809110068,6.141249412255928e-09,1.5721934421659814e-05,0.00024078201019988452,1.2463337763478856e-11,1.6534142332280498e-10,1.6830818927107687
4,0.004,2069.1192806044924,5100000.0,0.1954021082041287,0.001,0.005117652051918193,0,52,0,1e-08,0.005117652051918193,0.4424313154969581,0.26286909107896617,0.031519216680735644,6.803888851772752e-06,0.2560645721268325,1.5211685844511413e-09,0.006719340622586895,6.139309609449786e-09,1.5719099205965e-05,0.0002407483255165057,1.2459340391837439e-11,1.6530376004662136e-10,1.6830861083019122
5,0.005,2069.0972741900973,5100000.0,0.195400036915367,0.001,0.005117706300296795,0,52,0,1e-08,0.005117706300296795,0.4424317764100475,0.2628687065550628,0.031519597647744646,6.804845148150525e-06,0.25606417867891246,1.5206879260797881e-09,0.006719368398027135,6.137370383936199e-09,1.5716264449862006e-05,0.00024071464488611242,1.2455344231090936e-11,1.6526610468663985e-10,1.6830903237140244
6,0.006,2069.075267807882,5100000.0,0.19539796561533537,0.001,0.005117760550120678,0,52,0,1e-08,0.005117760550120678,0.442432237260088,0.26286832202090293,0.031519978636323526,6.80580170939852e-06,0.2560637852389325,1.5202074107948413e-09,0.006719396135453509,6.135431734175822e-09,1.5713430151015234e-05,0.00024068096829192264,1.2451349277995803e-11,1.6522845721446644e-10,1.6830945389642895
7,0.007,2069.0532614570707,5100000.0,0.19539589430358256,0.001,0.005117814801401716,0,52,0,1e-08,0.005117814801401716,0.44243269804745516,0.2628679374765358,0.03152035964644582,6.806758425143255e-06,0.2560633918066847,1.5197270385392285e-09,0.006719423834938862,6.133493659951374e-09,1.5710596309267966e-05,0.00024064729573285224,1.2447355532085675e-11,1.6519081762742192e-10,1.6830987540538211
8,0.008,2069.031255137476,5100000.0,0.19539382298010835,0.0010000000000000009,0.005117869054139975,0,52,0,1e-08,0.005117869054139975,0.4424331587723027,0.26286755292195135,0.0315207406780982,6.807715292620056e-06,0.2560629983821189,1.519246809267548e-09,0.006719451496557437,6.1315561610842424e-09,1.5707762924526797e-05,0.000240613627208269,1.244336299297573e-11,1.651531859235887e-10,1.6831029689832682
9,0.009000000000000001,2069.0092488489227,5100000.0,0.1953917516449264,0.0009999999999999992,0.005117923308335137,0,52,0,1e-08,0.005117923308335137,0.44243361943477577,0.26286716835713997,0.03152112173126816,6.808672312108624e-06,0.25606260496518796,1.5187667229345167e-09,0.006719479120383235,6.1296192373961865e-09,1.5704929996699023e-05,0.00024057996271755315,1.2439371660281203e-11,1.6511556210104738e-10,1.6831071837532443
10,0.01,2068.9872425912326,5100000.0,0.19538968029804915,0.0009999999999999992,0.005117977563986953,0,52,0,1e-08,0.005117977563986953,0.44243408003502527,0.26286678378209116,0.03152150280594307,6.809629480981827e-06,0.2560622115558446,1.518286779494955e-09,0.006719506706489912,6.1276828887094265e-09,1.5702097525692935e-05,0.00024054630226008156,1.2435381533619466e-11,1.650779461578958e-10,1.6831113983643902
11,0.011,2068.9652363642595,5100000.0,0.19538760893948998,0.0010000000000000009,0.00511803182109513,0,52,0,1e-08,0.00511803182109513,0.44243454057318826,0.2628663991967924,0.03152188390211134,6.810586803286143e-06,0.25606181815404594,1.5178069789043086e-09,0.006719534254951271,6.125747114848171e-09,1.569926551141902e-05,0.0002405126458352639,1.2431392612611075e-11,1.6504033809226342e-10,1.6831156128173077
12,0.012,2068.9432301678016,5100000.0,0.1953855375692632,0.0010000000000000009,0.0051180860796593295,0,52,0,1e-08,0.0051180860796593295,0.44243500104941913,0.2628660146012339,0.03152226501976033,6.811544274780262e-06,0.25606142475974225,1.5173273211168926e-09,0.006719561765840568,6.123811915632849e-09,1.5696433953782715e-05,0.00024047899344245056,1.242740489686909e-11,1.650027379022118e-10,1.6831198271126464
