cell,z,T,p,u,dz,dt_try,used_fallback,substeps,halvings,dt_min,dt_effective,X_H2,X_CO,X_CO2,X_CH4,X_H2O,X_O2,X_N2,X_O,X_OH,X_H,X_HO2,X_H2O2,H2_CO
0,0.0,1852.1852228873297,5100000.0,0.1849244968350745,0.001,0.005407612388378448,0,55,0,1e-08,0.005407612388378448,0.44012600289550075,0.24410275622832617,0.0334734477061091,0.0293628591438691,0.2427353152875001,4.297115053916008e-11,0.0065125387242790074,1.756057228088149e-10,2.0886388305519456e-06,5.109502012040891e-05,3.3720548787735754e-13,1.2649934605013101e-11,1.8030357776207184
1,0.001,1834.8255185435614,5100000.0,0.18493417582113011,0.001,0.005407329367651377,0,55,0,1e-08,0.005407329367651377,0.44834144772156537,0.24754960415440427,0.03293408471099592,0.02644650819532337,0.23586787742401255,2.9063551257203784e-11,0.006459598424483595,1.249946544963681e-10,1.6843979679963634e-06,4.48709517003041e-05,2.2731591984670672e-13,9.394720576841448e-12,1.811117611167421
2,0.002,1822.09830344723,5100000.0,0.18470228791130416,0.001,0.005414118099501885,0,55,0,1e-08,0.005414118099501885,0.45390835665299206,0.24964620049239847,0.03259768875738338,0.024257832149500856,0.23141826792838202,2.1834842542227045e-11,0.006423999165000865,9.698878661653879e-11,1.4393902356430723e-06,4.070535558221355e-05,1.7053183929785975e-13,7.573751137105626e-12,1.818206548938898
3,0.003,1812.1951127354187,5100000.0,0.1844375358729878,0.001,0.005421889829891493,0,55,0,1e-08,0.005421889829891493,0.45803795826718374,0.2510889883178473,0.03236334118627676,0.022535045213985864,0.2282117582463533,1.7473375273006436e-11,0.006397735821032444,7.941357630469583e-11,1.2735306794007812e-06,3.768708187480701e-05,1.3637462636026757e-13,6.409483498509573e-12,1.8242056783763247
4,0.004,1804.1695051698,5100000.0,0.18418811555994316,0.001,0.005429231940182127,0,55,0,1e-08,0.005429231940182127,0.4612792073016471,0.2521613134546595,0.032188226985825706,0.02113035890089291,0.22574455761593082,1.4579567289718412e-11,0.0063772063219964875,6.742651942486579e-11,1.1529661005124364e-06,3.537868039731904e-05,1.137505417839955e-13,5.599461026463456e-12,1.8293020486847544
5,0.005,1797.4699137970513,5100000.0,0.183962709791928,0.001,0.005435884267692378,0,55,0,1e-08,0.005435884267692378,0.46392344016172943,0.2530008868070214,0.03205092168105032,0.019953940599744435,0.22376037422385403,1.2528740758789957e-11,0.006360511034157043,5.875330603836822e-11,1.0608530386872522e-06,3.35427687086422e-05,9.77336753801181e-14,5.002033882282302e-12,1.8336830594415705
6,0.006,1791.7499118733183,5100000.0,0.18376065377823203,0.001,0.005441861353012112,0,55,0,1e-08,0.005441861353012112,0.46614213407232796,0.2536831666142791,0.0319394372625553,0.0189478862885132,0.22211320512606136,1.1003390433679465e-11,0.006346537752019361,5.219587143543177e-11,9.878440146993467e-07,3.2038875905557985e-05,8.582857636654434e-14,4.542195510035854e-12,1.8374973014314706
7,0.007,1786.7793235538275,5100000.0,0.18357917528740655,0.001,0.005447240943502591,0,55,0,1e-08,0.005447240943502591,0.4680439514009409,0.2542532448134185,0.031846499304185164,0.018073059059454687,0.2207128711764455,9.82628361062457e-12,0.0063345847851503465,4.706727835515269e-11,9.283235621342946e-07,3.0778275733688305e-05,7.664535808994159e-14,4.176565481648068e-12,1.8408573379050122
8,0.008,1782.3983019836662,5100000.0,0.18341533372787605,0.0010000000000000009,0.005452106864105756,0,55,0,1e-08,0.005452106864105756,0.4697016867527522,0.2547398939942698,0.03176741309142333,0.017301955950301873,0.2195001836554124,8.891201386040401e-12,0.0063241837912372395,4.294707516400408e-11,8.787078603783714e-07,2.9701988800812485e-05,6.935232638398177e-14,3.878322464414666e-12,1.8438481675874367
9,0.009000000000000001,1778.4918020564337,5100000.0,0.18326652254946746,0.0009999999999999992,0.005456533938052316,0,55,0,1e-08,0.005456533938052316,0.4711662744852245,0.2551624398495465,0.0316989985475936,0.016614613147815076,0.21843441105702932,8.130829518136435e-12,0.00631500809317525,3.9564211874960954e-11,8.365977792654708e-07,2.8769164271126228e-05,6.342300066507611e-14,3.629991562217225e-12,1.8465346026752296
10,0.01,1774.9745430851663,5100000.0,0.18313055293183114,0.0009999999999999992,0.005460585270947339,0,55,0,1e-08,0.005460585270947339,0.4724746233644324,0.2555344082240898,0.03163901589784675,0.015996138466765057,0.21748644011302457,7.50054355381632e-12,0.006306821601655244,3.6736418881465356e-11,8.003238564057402e-07,2.7950535197349893e-05,5.850865164132458e-14,3.4196962859630067e-12,1.848966746388603
11,0.011,1771.7817221838961,5100000.0,0.18300561803134233,0.0010000000000000009,0.005464313121954193,0,55,0,1e-08,0.005464313121954193,0.47365426035054475,0.2558655901792481,0.03158583622130094,0.015435161863257817,0.21663480568622037,6.96964266808673e-12,0.006299448645568421,3.433676331909648e-11,7.686865815046609e-07,2.722453297735072e-05,5.436950968836505e-14,3.23907942713126e-12,1.8511838970559642
12,0.012,1768.8630478076948,5100000.0,0.18289023068188753,0.0010000000000000009,0.005467760613957362,0,55,0,1e-08,0.005467760613957362,0.4747262164898669,0.25616327501889585,0.03153824264981878,0.014922827285294824,0.21586326680412474,6.516338539995962e-12,0.006292755280408797,3.227420640453481e-11,7.408005971391629e-07,2.6574877131454972e-05,5.083549211809612e-14,3.0820864394533735e-12,1.8532173140542834
13,0.013000000000000001,1766.1787753676065,5100000.0,0.1827831629732875,0.0009999999999999992,0.005470963428650932,0,55,0,1e-08,0.005470963428650932,0.47570689243491776,0.25643301977438454,0.03149530522131674,0.014452116222811976,0.21515926334176946,6.124754309969801e-12,0.006286637238236675,3.048179187812451e-11,7.159972637945126e-07,2.5989023656286824e-05,4.778270785823268e-14,2.944221109783189e-12,1.8550921907539646
