generation,individual,pv_error,delay_diff,size_penalty,tau_mismatch,spec_err,reason,keep_count,delta_T,delta_Y,delay_red,fitness
0,0,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
0,1,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
0,2,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-3.59, max|ΔY|=0.000769",22,0.0,0.0,0.0,-1000000.0
0,3,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
0,4,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
0,5,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
0,6,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
0,7,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
0,8,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
0,9,0.9999956111847,3.2762601142950647,0.04955500177999287,145.581571540593,71759305298.003,,22,1.7629159445223195,0.0009248138520246141,0.005,-143518610775.39975
0,10,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
0,11,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
0,12,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-2.66e-06, max|ΔY|=3.08e-10",22,0.0,0.0,0.0,-1000000.0
0,13,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
0,14,1.0,1.0,0.0,0.0,0.0,"no_reaction: dT=-1.14e-06, max|ΔY|=1.05e-10",22,0.0,0.0,0.0,-1000000.0
