species,mean_res,max_res
H2,0.0001284573935704058,0.001153972414409261
H,5.9737039232392414e-05,0.0005267388605682576
O,0.00048040492321223396,0.00395172849925695
O2,0.004030943685788725,0.0368392363731387
OH,0.0005037909473209761,0.006116939182234035
H2O,0.0028810749352712723,0.02098370635554382
HO2,3.326066099219793e-07,2.8919901377676623e-06
H2O2,1.5079827365834097e-08,4.278554027544296e-08
CH2(S),3.616320914413745e-08,7.147416476283028e-06
CH3,1.2101215015141446e-06,0.00024488912682429556
CH4,1.3855040512485083e-06,0.0002837645103961196
CO,0.0038037866562114267,0.038728571956361875
CO2,0.004093484515666776,0.033845938844768345
CH2O,0.005914966146772526,0.05540993864414536
CH3O,5.415021038865389e-09,3.77475750169255e-07
HCCOH,5.679966625724028e-11,1.1643925834376355e-08
N,6.02671089286522e-08,2.653198346175929e-07
NH,7.809005015587696e-09,1.3367772852380441e-07
NH2,9.715582031702331e-10,4.669584177412626e-08
NO,0.00041800328435213967,0.000535812643773489
CN,4.3038747749121186e-10,8.419679574834348e-08
HCN,2.3967250781614243e-08,4.72323819514396e-06
N2,0.00019594878806224067,0.00025111926194398837
C3H8,9.811876126375077e-22,2.01143460590689e-19
