species,mean_res,max_res
H2,9.805802378891184e-06,0.0006995140404427629
H,1.0999491679683163e-05,0.0007117904957429687
O,0.0001258650841424686,0.009308036951735071
O2,0.001088197871854668,0.08733299225218288
OH,0.0001472597529433715,0.012803693678157434
H2O,0.00046673228274408366,0.044694593983252644
HO2,2.8333923327553903e-06,0.00032164237499062175
H2O2,7.14503435987837e-08,9.35410778262213e-06
CH2,2.6788138546340133e-07,3.546627686299126e-05
CH2(S),4.19777915731507e-08,4.859847480319438e-06
CH3,2.294062214549493e-05,0.00278201205388534
CH4,0.0001291330124155121,0.017926562262954592
CO,0.0005412052759446209,0.04211751700789408
CO2,0.0007636200332236749,0.04540796275518582
HCO,5.941368753715672e-07,7.29324746393592e-05
CH2O,1.9540642050791665e-05,0.0024774161633761968
CH3O,1.6271865596480773e-07,1.9351035824833024e-05
C2H2,7.063607001782649e-07,9.27896475564068e-05
C2H4,6.606797290798714e-05,0.006970379371379307
C2H5,6.249172079281585e-07,7.375613673530544e-05
C2H6,4.17031857761332e-06,0.0006852242895098064
HCCO,2.3411984997406972e-07,4.1143763716583086e-05
HCCOH,1.3257449368840466e-08,1.6479872822812013e-06
N,9.07441655158763e-09,2.783914776504896e-07
NO,0.00020540182723705188,0.00033177316608291613
NO2,8.571590936178617e-08,1.3729781089566348e-07
N2O,1.3829910270349057e-07,1.7509642576294087e-07
CN,2.7704985171745287e-10,5.9300702253969575e-08
NCO,1.5969933240427437e-09,3.296490385293367e-07
N2,9.595439266545574e-05,0.00015505467329901546
AR,0.0,0.0
