species,mean_res,max_res
H2,2.9136046372479187e-05,0.0008530636280041767
H,3.8593639888145707e-05,0.0008125882585309762
O,0.000449279797624621,0.009744506529633903
O2,0.004138690989467214,0.12517973999492135
OH,0.0005181887318425719,0.014086446942955452
H2O,0.0018550634519361,0.06013292472123947
HO2,1.3454675005686644e-05,0.00045240445642927545
H2O2,5.644267072799256e-07,2.4154813087899028e-05
C,9.6315697970095e-09,2.099681505937873e-06
CH3,6.452750419145519e-05,0.0033247767845465234
CH4,0.0006899637643156792,0.02896126183082097
CO,0.0012479949401116152,0.05475533709715395
CO2,0.0027505845246560637,0.06763766370039499
HCO,1.462108374960065e-06,9.338737643697733e-05
CH2O,0.000123492459814294,0.004554429982714681
CH3O,7.009321459308048e-07,2.4647319903767057e-05
C2H,8.823202810478525e-09,1.9234582115405976e-06
C2H3,4.525793663934757e-06,0.000442503519304759
C2H4,0.00011443459366251237,0.003887801540710263
C2H5,1.9314044660437054e-06,7.291462703038467e-05
C2H6,2.938743875582448e-05,0.0014209300252553576
CH2CO,7.491030505238633e-06,0.0010887386568408822
N,1.391006244489781e-08,2.7840274621779574e-07
NH,3.4895865252909127e-09,9.037682246396394e-08
NNH,2.0710469154173538e-09,4.420383474170475e-08
NO,0.00021443409862187128,0.0002668316822139168
H2CN,2.754610195996866e-09,3.4287998403944264e-08
HNCO,2.6399420361731943e-09,4.859026129049515e-07
N2,0.00010105902505880537,0.00012596518651863953
C3H7,9.650637044526286e-10,7.593462559219271e-08
CH3CHO,2.6341228632874495e-06,0.00014655214989898395
